entity_id,f1,f2,f3,f4,f5
E0000,3.025784,0.982564,3.553501,3.921736,3.159739
E0001,10.93801,2.201334,5.972185,7.629329,4.460071
E0002,7.85675,2.325772,7.116469,18.204754,5.660219
E0003,6.147657,2.746839,15.618778,10.4986,9.283523
E0004,12.188802,3.56998,19.361473,5.470689,2.292029
E0005,6.018258,1.411102,16.425702,0.924027,12.957276
E0006,14.412429,2.20354,7.802301,9.632231,3.197113
E0007,15.540607,1.247525,4.374844,4.820884,8.835404
E0008,2.576177,2.005256,25.464712,17.730161,6.972042
E0009,9.829396,2.082472,3.830729,6.75404,2.009248
E0010,5.749508,2.273086,38.186114,8.893344,5.412324
E0011,20.369537,2.301763,7.416641,8.543255,2.636381
E0012,3.761705,1.811977,8.220188,6.038841,6.620453
E0013,9.955709,3.572868,15.237093,1.927797,8.667972
E0014,8.836665,2.723966,6.430114,30.470606,1.135133
E0015,5.694949,2.996314,20.824704,10.919036,6.723359
E0016,6.527625,3.621462,19.235663,3.078835,2.971072
E0017,3.00332,1.652164,19.059732,5.658739,14.087827
E0018,8.59403,2.620216,15.093103,14.276455,5.862691
E0019,2.601132,1.776628,1.878641,3.39472,42.557133
E0020,8.769567,2.887141,14.580689,6.935463,4.333536
E0021,6.993393,1.538761,15.207176,3.318814,3.374868
E0022,2.956912,2.039264,10.545191,3.287551,4.253081
E0023,4.894682,3.155432,38.278283,50.171166,11.681467
E0024,14.117939,2.017496,22.10146,7.463956,57.884555
E0025,13.863503,1.238547,9.224544,3.422492,3.097618
E0026,4.538035,0.96362,9.350754,8.670488,15.364894
E0027,15.33151,2.514143,13.126677,3.349044,6.983278
E0028,7.856873,1.491117,6.193156,6.531889,6.898028
E0029,14.305347,2.09473,24.232178,46.605926,6.627434
E0030,11.51224,1.465703,3.982961,2.594594,22.627747
E0031,45.299943,1.789541,3.647322,1.916641,4.459773
E0032,3.09087,1.365268,26.553987,14.66385,16.498852
E0033,1.669363,1.436888,6.525181,10.556532,7.666962
E0034,9.164601,2.755727,4.310774,2.814507,4.659361
E0035,6.054286,2.426502,4.611251,2.043609,15.866113
E0036,9.794355,2.183433,6.97629,13.334489,21.050327
E0037,16.983567,2.17955,8.94321,9.505524,12.922786
E0038,2.285628,3.110528,9.227874,1.016148,7.649637
E0039,5.104955,2.418819,4.087898,1.771571,3.940207
E0040,6.819321,2.445961,11.033393,7.204898,9.3863
E0041,3.115711,2.932796,4.896908,17.204096,1.889286
E0042,7.373139,3.571763,5.384993,5.902349,9.879349
E0043,7.576498,3.220067,8.122125,4.145538,66.95195
E0044,3.384554,1.256372,16.405146,21.715252,19.71901
E0045,9.222325,1.880843,1.875933,7.661843,10.676268
E0046,21.931351,1.626709,5.545019,4.680568,1.314054
E0047,11.159334,1.705243,6.399918,4.892517,9.363294
E0048,11.135816,2.394749,27.617948,5.239086,12.675228
E0049,7.240544,2.309143,14.223592,6.907754,2.654137
E0050,29.418838,2.993697,37.547459,11.267659,17.339032
E0051,20.410555,1.703893,22.805926,5.469669,5.723277
E0052,2.534737,1.97679,10.629677,6.383657,11.70434
E0053,6.029576,2.519265,2.932428,7.21693,1.951401
E0054,7.374335,1.656253,2.553538,7.377807,8.136143
E0055,5.898128,1.631742,11.187138,4.132213,11.397104
E0056,3.086851,1.557307,8.119715,10.909196,6.192327
E0057,12.8917,1.177432,11.720395,14.753954,4.652898
E0058,6.352789,2.139249,4.375681,4.011383,4.814111
E0059,12.392411,2.319813,17.345462,18.513474,4.643083
E0060,3.936472,1.375492,6.343776,9.823627,20.019063
E0061,11.514664,1.549382,10.021914,0.998249,12.756321
E0062,2.286821,1.923014,8.796083,1.767472,14.815039
E0063,4.176395,3.495832,8.313882,14.610298,15.485176
E0064,11.314148,2.116583,4.112009,4.021894,4.262665
E0065,3.481671,1.755018,45.596704,5.316752,4.519965
E0066,3.548503,1.608206,34.056103,6.243326,6.316043
E0067,9.269847,1.994622,16.55355,7.166424,15.446494
E0068,5.819661,1.661721,2.071531,6.221087,18.380607
E0069,9.789067,2.129707,16.593021,6.119911,12.29916
E0070,1.873789,1.108527,6.172806,2.297479,6.773096
E0071,17.00528,2.051331,2.875347,5.959632,5.916231
E0072,43.029829,1.409963,4.323354,15.385528,10.56854
E0073,1.259969,2.66835,4.532984,16.44204,21.298967
E0074,5.874467,1.098004,14.829568,3.769094,12.898801
E0075,7.778252,2.625134,8.655196,4.653215,52.896694
E0076,5.547862,0.896601,4.698994,7.04756,13.965008
E0077,4.19268,2.347198,1.648375,13.213566,5.190621
E0078,16.001048,3.121109,3.231794,13.378459,2.44073
E0079,7.353236,2.686325,9.508481,1.50817,5.45398
E0080,4.03347,1.384552,10.005595,2.05221,3.403792
E0081,19.863187,1.742553,3.135066,17.412705,7.222754
E0082,9.207602,2.884478,8.317146,3.667754,2.966931
E0083,11.583262,2.610965,13.617041,7.666214,8.779977
E0084,4.515501,1.522989,2.509265,2.927552,3.944688
E0085,1.978504,2.516164,20.559404,10.171308,2.819416
E0086,8.530645,2.411362,9.647164,13.77645,9.895541
E0087,8.801841,1.508588,70.314422,12.189809,4.206381
E0088,7.981223,1.954814,10.710883,26.887539,6.994189
E0089,41.350249,2.236768,13.037426,7.041814,4.560656
E0090,8.429541,2.196101,43.04163,17.320518,9.986029
E0091,13.689548,2.866442,1.850618,4.34724,5.805226
E0092,3.623211,2.319753,11.427826,15.093921,7.308257
E0093,6.185135,1.931636,10.300076,24.892288,2.072097
E0094,7.784426,1.698629,15.441929,3.259954,36.849639
E0095,2.629769,1.705774,12.520776,7.88911,0.829035
E0096,6.820906,2.43343,1.472641,4.977816,4.152316
E0097,33.453116,2.683335,1.310745,5.367723,9.950058
E0098,37.691633,2.462907,6.252504,2.817907,15.989758
E0099,13.481029,0.950979,27.825494,47.227701,5.636048
E0100,6.724805,1.875572,2.445398,27.713087,12.645986
E0101,13.046956,1.179463,2.337519,1.080737,3.334892
E0102,3.428915,3.371091,7.335815,6.180837,4.905944
E0103,3.299443,1.667369,9.179106,11.939602,11.788038
E0104,43.312243,2.599806,13.273583,13.035134,3.41346
E0105,6.217745,1.402237,2.125363,4.244428,2.836412
E0106,4.301537,1.920486,8.514435,6.568468,3.424041
E0107,11.109243,1.913471,8.640271,15.170087,12.782322
E0108,12.039428,2.516506,18.310854,4.39194,7.300199
E0109,4.891655,2.258839,8.739682,13.440367,10.742253
E0110,6.457362,2.761031,15.149754,4.398113,17.161523
E0111,2.416764,1.402466,6.765069,24.606804,12.168966
E0112,2.370496,2.209763,9.94113,4.735645,11.118606
E0113,1.30283,2.365269,8.799577,6.414272,13.00671
E0114,3.774127,3.204429,21.660371,6.834507,6.109043
E0115,5.295417,1.305315,1.956344,1.996156,6.471184
E0116,7.068335,2.376881,22.669583,12.555408,9.142268
E0117,6.404566,1.43116,17.494359,11.121026,8.144256
E0118,3.698929,2.185278,10.219428,28.018413,0.741292
E0119,3.644221,1.507,5.869683,6.748941,10.606549
E0120,12.081431,3.507401,2.926201,12.103955,2.078415
E0121,31.972228,1.627394,41.847339,7.917662,16.160857
E0122,20.470898,2.674917,21.736061,8.076191,9.311531
E0123,2.163563,1.12444,7.33573,5.537857,7.443559
E0124,4.906216,2.909765,0.684346,4.91369,24.921807
E0125,16.586565,2.437856,6.171457,16.465881,11.493081
E0126,12.224094,2.490187,4.063519,5.010138,8.013624
E0127,5.986347,2.519913,5.30437,5.564592,2.457971
E0128,8.754751,1.519254,8.328753,8.818358,1.227011
E0129,7.474875,1.654158,8.086335,1.663691,3.299993
E0130,15.914505,2.9915,3.780375,5.539927,3.076732
E0131,2.303069,1.872314,15.749597,4.012864,16.477524
E0132,62.905873,2.729409,8.658758,3.952299,11.915691
E0133,2.278155,1.516404,1.567594,6.598747,13.665035
E0134,4.545747,1.818434,3.156047,4.379839,22.052861
E0135,2.573184,2.718267,4.757227,5.295732,3.208275
E0136,4.510992,2.158893,16.10636,19.353666,4.905259
E0137,10.004285,2.135942,8.505777,6.854062,9.155397
E0138,10.179019,1.362865,55.931181,6.036349,6.849455
E0139,3.374692,1.713741,7.29655,2.948917,9.086466
E0140,1.417692,1.787241,3.552068,28.055608,2.968455
E0141,41.460696,2.103656,9.17624,14.487824,24.725716
E0142,13.582844,1.879676,6.799932,2.706375,8.805982
E0143,42.374784,2.215575,1.829336,9.726928,7.857974
E0144,10.713422,2.381394,5.686994,11.82936,2.081844
E0145,9.268857,1.190392,13.331871,10.097731,27.911263
E0146,13.118125,1.819766,4.338716,5.445546,36.487691
E0147,6.192315,2.22006,7.268045,10.108545,7.25729
E0148,27.85356,1.976987,9.45845,9.423716,19.297977
E0149,3.759978,1.235589,6.789325,5.400087,10.764845
E0150,5.495269,2.290791,10.734543,12.992621,13.526595
E0151,5.678179,2.926517,10.390324,15.488805,17.984621
E0152,4.76609,1.831593,16.259925,33.415943,4.033066
E0153,8.449122,1.931559,3.341329,19.12934,8.750401
E0154,7.679836,1.605985,13.320109,10.840855,7.360499
E0155,2.52685,0.951792,3.942481,2.381839,4.824329
E0156,4.691264,1.491039,9.741326,18.037331,24.639559
E0157,8.534494,1.984931,11.788793,30.721103,2.878714
E0158,13.335592,2.742244,34.619565,2.618672,3.233581
E0159,4.132314,2.043106,6.345951,22.452029,12.612292
E0160,3.294321,2.218572,7.979613,7.04119,22.157576
E0161,9.974577,2.410625,10.408602,15.023672,3.003261
E0162,12.31699,4.090124,3.26383,41.310998,6.000651
E0163,38.372122,1.197863,7.519214,4.699919,1.85055
