row_id,f1,f2,f3,f4
R00400,-0.524199,4.376237,3.00299,7.228882
R00401,-2.715217,-0.496951,2.61607,5.447831
R00402,0.208563,2.328183,-2.65013,6.036379
R00403,0.701669,3.047273,-0.468508,6.269283
R00404,-4.647534,3.613723,1.04381,8.415443
R00405,0.040908,1.940304,0.217416,5.601035
R00406,-3.066613,3.942578,-0.617069,7.777577
R00407,-2.951714,4.311419,1.295485,7.545994
R00408,-1.622687,2.614961,0.234457,6.267212
R00409,0.737285,-0.269374,1.824833,6.553209
R00410,-7.203317,1.356081,2.668748,6.446187
R00411,-2.744445,3.612317,0.195113,6.734653
R00412,0.897496,0.373814,0.755411,6.055977
R00413,-0.170712,3.659827,-3.588859,6.406559
R00414,-3.201604,4.449775,0.743818,7.01895
R00415,0.204366,5.134089,-0.127697,5.834585
R00416,-2.698678,5.177218,0.107734,7.413058
R00417,-5.6394,6.029397,0.880812,7.688813
R00418,-3.706798,0.759301,0.822831,6.897829
R00419,-2.819231,2.293499,-0.053341,7.436991
R00420,-2.13556,2.798783,-0.516385,5.038736
R00421,-0.95475,1.93157,2.529332,6.340659
R00422,-2.363343,5.985074,-2.154717,6.102626
R00423,-2.831762,4.937234,0.861601,5.770779
R00424,1.732812,0.474716,-0.209452,7.674232
R00425,-2.445578,3.0217,1.367761,7.038259
R00426,-1.052602,1.476906,0.289935,6.027655
R00427,-1.522281,4.917737,1.461185,7.104066
R00428,-8.046929,0.743025,-1.332362,7.184784
R00429,-0.474036,2.877161,0.425859,8.386531
R00430,1.060977,4.380416,0.990606,6.806212
R00431,-0.632107,4.824554,-3.591342,5.657004
R00432,-9.302272,4.169772,-0.602798,7.102983
R00433,-2.792591,1.20748,2.02495,6.036735
R00434,1.922046,3.817484,-0.890185,7.503814
R00435,0.41224,4.725472,-0.793109,5.992245
R00436,-0.386542,3.629543,-1.458274,7.194761
R00437,-3.259391,5.988917,-1.230052,6.864457
R00438,-2.441699,3.586627,0.214997,6.569417
R00439,1.156627,5.048501,-2.905139,7.928754
R00440,-3.243728,4.625375,-1.601707,7.345253
R00441,0.2484,3.934112,-1.389797,6.868534
R00442,-2.103907,1.486136,2.072027,6.52589
R00443,-0.068659,3.474116,0.263417,6.289488
R00444,1.533228,2.709796,1.060723,7.451718
R00445,0.786471,2.326176,0.648904,6.456109
R00446,-6.148383,2.935873,0.258287,7.295173
R00447,-1.663256,3.354311,-1.299401,6.350649
R00448,3.667866,3.022534,0.370404,8.274824
R00449,-1.599278,1.667616,-1.328838,6.312204
R00450,-2.407927,2.614818,-1.204553,5.945257
R00451,-1.543184,3.865253,1.795743,5.831634
R00452,3.295807,4.458626,3.655357,7.035268
R00453,-1.140218,7.407678,-0.691052,7.681271
R00454,-2.179747,1.925128,0.672897,7.595934
R00455,1.600991,4.918315,-1.157262,6.337141
R00456,0.546369,0.376007,-1.278762,5.929267
R00457,-1.244926,1.68445,1.525719,6.940428
R00458,-4.738078,4.081215,-0.065555,6.513235
R00459,-3.295582,3.63457,0.493367,8.557556
R00460,-1.585907,3.794879,-0.674347,6.060101
R00461,-3.525439,1.044776,0.143325,6.405334
R00462,-5.426177,2.470268,0.625539,5.839104
R00463,-2.740055,7.072779,-0.781288,6.717877
R00464,-2.994861,3.914622,0.416154,6.243908
R00465,-1.064549,3.797555,-0.881062,6.796874
R00466,-2.938925,5.365552,-0.877685,6.35097
R00467,-0.463359,6.594661,-1.143004,6.829855
R00468,-3.230584,2.476964,-1.242387,7.311015
R00469,0.430309,1.236841,-1.854401,6.346466
R00470,1.542146,1.441379,0.813858,6.263515
R00471,-3.227055,2.989699,-0.488443,6.509227
R00472,-4.43857,2.053483,0.903319,6.666287
R00473,-2.625346,5.795646,1.846174,7.09001
R00474,4.491932,2.048421,1.690837,6.663812
R00475,-1.732712,2.410383,-1.602547,7.118914
R00476,3.28304,4.433453,-1.482266,6.562897
R00477,-2.41867,3.299902,1.199434,7.688917
R00478,-1.956452,5.716089,-1.742841,6.123171
R00479,-5.648699,0.239982,1.321401,7.142846
R00480,1.191379,2.535696,1.501186,6.874593
R00481,-4.355889,0.461191,0.007599,8.840333
R00482,-3.25379,-1.474742,0.855386,8.720884
R00483,-5.923656,7.546844,0.730733,6.172143
R00484,-3.933165,4.622521,0.383019,6.737217
R00485,-3.782484,4.389899,1.110086,6.655014
R00486,-2.785216,3.186169,-0.456582,7.313886
R00487,-3.891452,2.505563,-0.113344,5.891533
R00488,-3.421477,2.37453,-0.953354,6.725279
R00489,3.895889,5.753935,0.123703,7.439851
R00490,4.009125,0.945564,-1.136648,6.371338
R00491,-6.098778,4.382395,-3.298855,7.922945
R00492,2.961074,5.979134,1.726887,7.108725
R00493,-2.181342,2.5306,0.014196,6.381198
R00494,1.19328,6.189134,-1.93181,6.692034
R00495,-5.382845,2.726238,1.956152,5.490776
R00496,2.572048,1.750614,-0.51087,8.06307
R00497,-2.320619,3.466406,2.445871,6.902981
R00498,-3.046632,2.910369,1.034286,7.828876
R00499,0.033844,3.875646,0.324801,6.831953
R00500,-8.303059,2.939892,0.531665,6.439349
R00501,-5.145615,0.098537,-1.050763,7.113766
R00502,1.607778,3.373356,-0.564963,6.543363
R00503,-4.725085,6.321406,0.474845,6.689805
R00504,2.495186,4.097521,-2.190659,8.126985
R00505,-3.116718,1.098211,-1.665476,6.878418
R00506,-5.163462,2.880114,0.316427,6.224487
R00507,-3.174806,1.374841,-1.049295,7.78841
R00508,0.521489,3.544695,0.690394,7.663723
R00509,-2.370354,1.797827,-4.027488,5.610158
R00510,-1.020375,5.157777,1.491845,7.147748
R00511,1.821939,2.408991,1.259963,5.86673
R00512,-5.840332,3.630976,0.522608,7.01952
R00513,-4.431322,2.505296,-0.370231,6.23196
R00514,-8.095141,3.633817,1.649969,6.6903
R00515,-0.660192,4.574151,-2.260644,6.728267
R00516,0.032707,5.233296,-1.739436,5.737718
R00517,-3.540315,3.978507,2.355014,6.178372
R00518,4.452835,3.704829,-0.685103,5.274755
R00519,-3.489376,4.493162,-0.057733,5.724991
R00520,0.249265,1.998638,0.290289,5.880504
