row_id,account_id,event_time,amount,category
R00000,A0078,1772411400000,27.98,travel
R00001,A0130,1772413920000,138.37,other
R00002,A0092,1772415540000,37.85,salary
R00003,A0000,1772416020000,6.89,rent
R00004,A0099,1772419500000,52.71,salary
R00005,A0112,1772419920000,8.0,salary
R00006,A0034,1772420040000,29.42,travel
R00007,A0027,1772421540000,20.68,other
R00008,A0072,1772422500000,15.45,grocery
R00009,A0019,1772423460000,21.99,travel
R00010,A0030,1772424000000,30.58,travel
R00011,A0052,1772425140000,51.88,salary
R00012,A0055,1772426520000,12.47,travel
R00013,A0066,1772426820000,5.56,rent
R00014,A0098,1772427060000,30.0,rent
R00015,A0000,1772427060000,5.96,rent
R00016,A0108,1772428020000,2.24,salary
R00017,A0043,1772428800000,50.63,travel
R00018,A0129,1772429040000,5.69,other
R00019,A0147,1772429040000,26.08,grocery
R00020,A0020,1772429460000,32.0,travel
R00021,A0089,1772430000000,9.21,salary
R00022,A0066,1772431980000,0.73,travel
R00023,A0128,1772432700000,4.95,travel
R00024,A0000,1772433480000,8.52,grocery
R00025,A0078,1772434140000,13.85,rent
R00026,A0105,1772434920000,39.33,salary
R00027,A0002,1772434980000,30.6,salary
R00028,A0004,1772435940000,12.86,salary
R00029,A0147,1772436660000,10.73,grocery
R00030,A0011,1772436780000,10.91,travel
R00031,A0122,1772436840000,10.65,other
R00032,A0093,1772437680000,97.02,rent
R00033,A0034,1772438100000,87.76,other
R00034,A0144,1772439600000,11.34,grocery
R00035,A0094,1772440620000,7.28,travel
R00036,A0037,1772441100000,17.71,rent
R00037,A0118,1772443620000,10.67,other
R00038,A0072,1772443980000,45.31,other
R00039,A0121,1772444160000,43.39,other
R00040,A0005,1772444280000,22.44,grocery
R00041,A0147,1772445480000,56.11,rent
R00042,A0033,1772446320000,30.07,other
R00043,A0142,1772449380000,26.43,grocery
R00044,A0059,1772450520000,11.31,salary
R00045,A0070,1772450640000,10.69,salary
R00046,A0101,1772450880000,9.43,other
R00047,A0055,1772452740000,15.82,other
R00048,A0102,1772452740000,9.7,salary
R00049,A0017,1772453820000,38.29,salary
R00050,A0082,1772454300000,9.35,grocery
R00051,A0100,1772456100000,48.06,rent
R00052,A0033,1772456220000,27.8,travel
R00053,A0003,1772456640000,2.63,travel
R00054,A0022,1772457000000,12.52,other
R00055,A0006,1772457480000,6.15,rent
R00056,A0100,1772457540000,12.99,grocery
R00057,A0025,1772457720000,42.36,travel
R00058,A0108,1772457840000,28.61,other
R00059,A0012,1772458320000,8.21,grocery
R00060,A0039,1772459040000,19.09,grocery
R00061,A0106,1772460360000,14.92,travel
R00062,A0023,1772460780000,27.23,travel
R00063,A0149,1772460960000,48.91,grocery
R00064,A0123,1772461680000,7.42,travel
R00065,A0106,1772463840000,55.25,rent
R00066,A0083,1772464320000,19.52,salary
R00067,A0058,1772464440000,23.36,salary
R00068,A0043,1772469660000,21.17,other
R00069,A0111,1772470140000,15.99,other
R00070,A0053,1772470440000,29.16,salary
R00071,A0125,1772473680000,13.62,other
R00072,A0009,1772474580000,18.83,grocery
R00073,A0043,1772474880000,18.45,travel
R00074,A0035,1772476620000,9.65,salary
R00075,A0075,1772477400000,19.67,grocery
R00076,A0140,1772479440000,9.45,grocery
R00077,A0118,1772479440000,30.78,grocery
R00078,A0137,1772479560000,10.77,travel
R00079,A0052,1772479980000,59.4,rent
R00080,A0109,1772482740000,13.81,travel
R00081,A0105,1772483340000,134.73,rent
R00082,A0071,1772484300000,5.89,salary
R00083,A0124,1772484420000,7.51,other
R00084,A0095,1772486100000,2.29,rent
R00085,A0034,1772486820000,21.34,rent
R00086,A0109,1772486880000,7.16,rent
R00087,A0113,1772487060000,124.64,rent
R00088,A0063,1772488320000,42.49,grocery
R00089,A0038,1772488920000,25.07,other
R00090,A0017,1772489760000,20.43,grocery
R00091,A0036,1772489760000,26.86,other
R00092,A0076,1772490180000,15.97,grocery
R00093,A0043,1772490360000,8.8,other
R00094,A0138,1772490840000,19.06,other
R00095,A0142,1772492280000,22.47,grocery
R00096,A0006,1772493360000,35.7,travel
R00097,A0139,1772493420000,22.35,other
R00098,A0012,1772493960000,204.39,travel
R00099,A0098,1772494080000,50.07,salary
