row_id,f1,f2,f3,f4
R00400,6.902666,2.691984,-0.453624,6.621349
R00401,5.509182,7.74164,1.772055,2.194482
R00402,7.591456,2.661427,0.875255,1.798096
R00403,7.023037,5.528679,2.621441,-0.766626
R00404,6.382277,4.785907,0.595503,0.333845
R00405,6.825651,5.525557,-2.258871,3.903599
R00406,6.647689,0.866286,2.68722,3.071649
R00407,6.634765,0.836541,1.709247,6.046116
R00408,7.57769,2.315331,3.093393,1.364873
R00409,6.287183,3.915344,2.222684,6.368982
R00410,5.988293,4.308278,0.770511,-0.435599
R00411,6.115889,1.732256,0.465096,2.387141
R00412,7.23079,0.803968,2.391626,7.14484
R00413,6.930087,-1.286651,-0.062399,4.517393
R00414,6.725798,4.914647,0.621003,8.623494
R00415,6.726862,1.31692,2.506018,1.88707
R00416,5.904898,1.626971,1.657852,3.104195
R00417,6.215297,2.244659,0.741181,3.004402
R00418,6.764418,-1.708985,-2.301017,-1.289243
R00419,5.991514,0.920589,1.329456,-0.694786
R00420,6.384129,1.930396,2.581536,-1.437087
R00421,6.465107,5.384796,1.004051,1.156469
R00422,6.794893,3.432834,-0.937403,3.992686
R00423,6.371286,4.030491,0.256157,1.111984
R00424,6.830067,5.733943,-0.864765,1.171069
R00425,7.061039,0.651981,1.284331,6.515462
R00426,6.682595,4.321501,2.585158,2.996166
R00427,6.676722,5.715718,0.184232,0.016236
R00428,6.971048,2.189732,-1.177989,3.214916
R00429,6.148561,4.583303,4.570044,-0.565632
R00430,6.209694,2.211989,-0.171451,-2.22567
R00431,6.32344,5.487543,0.052205,1.50608
R00432,6.760931,7.286295,-0.368401,2.425096
R00433,6.755196,-1.905644,4.116277,5.02262
R00434,6.655014,2.685357,0.780963,1.073949
R00435,6.793266,3.181045,-0.389779,2.189837
R00436,6.505534,2.066076,3.88702,6.827181
R00437,6.256835,2.965283,-0.807073,4.761052
R00438,7.199548,1.915185,-1.386091,-1.666043
R00439,5.349077,5.434675,1.124206,-0.408943
R00440,6.892063,9.022294,-4.249763,2.11644
R00441,6.638806,4.026391,0.260702,0.790524
R00442,6.797196,4.58906,-0.549968,3.797617
R00443,6.830714,3.830939,0.252538,7.220354
R00444,6.419181,-1.41276,2.647703,4.925792
R00445,6.992675,4.366808,2.727605,1.098743
R00446,6.916905,0.053271,-1.475645,6.355939
R00447,6.316061,4.865136,-0.295666,-0.582777
R00448,6.544929,0.357273,-0.719557,7.321535
R00449,6.652527,4.020998,-1.489447,5.9958
R00450,6.079914,6.108617,4.269267,1.767697
R00451,6.353923,2.909408,1.180498,5.167367
R00452,7.297523,2.836914,0.132362,1.627729
R00453,6.880993,2.20206,-2.181981,2.818537
R00454,7.133851,3.634868,3.106759,0.232057
R00455,7.544128,4.703513,3.542999,0.617155
R00456,5.76236,2.291335,2.150588,4.326184
R00457,5.952791,3.931777,-1.026683,4.979228
R00458,6.530719,2.707462,3.270321,0.748821
R00459,7.014091,4.176989,0.941997,1.459188
R00460,7.038594,1.732427,1.8188,5.591042
R00461,7.419323,-0.232962,-3.580366,3.103276
R00462,6.520791,3.229521,-3.225181,2.229513
R00463,6.847035,0.988381,2.26768,3.391827
R00464,6.261331,0.646478,1.038072,2.278292
R00465,6.141653,5.751292,4.026451,2.471612
R00466,6.546068,4.249935,1.455262,7.076003
R00467,6.186648,-0.685421,0.980814,4.031223
R00468,6.52913,-1.908672,1.080346,0.671081
R00469,7.070622,2.27399,-0.150676,3.650858
R00470,6.574885,1.043446,3.147182,-3.444716
R00471,6.631367,2.028284,2.688419,1.506313
R00472,7.882881,4.373417,2.428195,2.341512
R00473,6.966082,1.890578,4.219168,-6.00162
R00474,7.499662,2.902372,2.623846,1.055385
R00475,7.182001,4.143581,-0.882075,3.946663
R00476,7.456259,5.862479,3.556457,2.534705
R00477,7.463894,7.941671,-0.267056,2.126836
R00478,6.269054,2.782207,2.757249,-0.439287
R00479,6.463475,9.671286,1.471922,4.20253
R00480,5.669673,1.463564,-1.477005,2.423785
R00481,6.974942,3.449257,1.495593,-1.690025
R00482,8.437879,-1.643735,2.149818,-1.064989
R00483,6.058418,2.804542,0.530999,3.96052
R00484,6.319192,3.222032,2.932938,-0.511955
R00485,6.138137,2.911114,-0.754151,3.906113
R00486,6.584146,4.731129,-0.117791,1.051054
R00487,6.682608,-0.429985,0.508358,3.690241
R00488,6.733108,3.585101,3.485485,-2.270431
R00489,6.041828,2.099012,-0.89065,5.924896
R00490,7.422638,3.400711,-1.42561,2.713023
R00491,6.301976,2.382149,1.257276,4.998813
R00492,7.412203,7.944323,5.211426,1.612433
R00493,6.782844,-0.364663,0.050956,0.055644
R00494,6.59229,-1.424311,0.746544,3.143156
R00495,5.934182,4.176898,0.600358,4.818663
R00496,6.574415,-0.076672,2.988734,2.851079
R00497,6.765229,1.435417,-0.706646,2.735506
R00498,7.130828,3.093215,3.032263,0.967752
R00499,6.329264,4.242039,2.733576,2.049414
R00500,6.733794,2.80608,1.711652,-1.310348
R00501,6.560397,0.229883,2.79626,2.155244
R00502,6.393066,3.126087,1.120257,0.665913
R00503,7.538279,3.712759,-0.393881,1.548641
R00504,6.784683,5.045806,0.542626,-1.029305
R00505,6.19337,1.191031,-0.226628,0.997363
R00506,7.165452,0.851472,-0.290247,6.003676
R00507,6.977765,-1.147594,1.702814,1.05482
R00508,7.423894,5.944327,2.325978,1.664705
R00509,6.54993,3.886685,0.158986,3.962878
R00510,6.545183,2.337919,2.329707,1.790832
R00511,7.197209,5.151284,-0.89174,1.174306
R00512,6.824577,1.393014,-0.199948,2.034802
R00513,6.882058,1.506342,0.694738,2.912513
R00514,6.5718,3.117676,-1.504316,5.651076
R00515,6.840211,6.030217,1.068548,1.878209
R00516,6.440615,5.735654,-0.210564,1.352248
R00517,7.322288,3.981038,-0.990709,2.853839
R00518,5.752275,3.874643,2.107391,2.649283
R00519,6.012087,-0.416358,0.689476,1.34027
R00520,6.304747,6.800046,1.928111,2.371939
R00521,6.483636,-0.199818,2.642382,-1.048659
R00522,7.489726,5.568829,6.930899,1.617052
R00523,7.253608,-1.879662,1.075323,4.6432
R00524,6.895707,0.400086,2.659005,3.726479
R00525,6.299489,2.095111,1.549327,4.229692
R00526,5.711034,2.188995,-3.653225,3.945838
