user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,0.1274,-0.4269,0.8005,-0.4843,1.2586,-0.4266,1.4156,1.1402
U0001,0.5322,1.6774,1.0237,0.4586,-0.087,0.3191,-0.1982,0.4913
U0002,-0.5797,-2.134,-0.5762,0.8273,-1.6897,0.6116,1.7437,-0.5116
U0003,-1.6223,1.295,-0.2932,-1.1553,1.509,-0.7479,0.7228,0.7347
U0004,-2.1918,0.8845,-1.1959,0.9278,-2.2497,0.0144,0.1734,1.8698
U0005,0.2707,0.566,-0.0507,-0.0867,0.3049,0.0416,-0.1867,-0.5861
U0006,-1.5493,0.7207,2.0053,-0.5933,-0.5292,1.8639,1.909,-1.2366
U0007,-0.8368,0.5313,-0.3427,0.8983,0.325,-0.804,1.3564,0.0089
U0008,-0.7618,0.5422,0.5464,-2.2524,0.6085,-0.7586,-0.1929,0.6734
U0009,-1.8014,0.9189,-1.3427,0.6563,-0.0651,-0.1482,-0.5808,0.6448
U0010,-0.9039,-1.7994,-0.2145,1.8551,-0.4222,-1.9494,-0.4488,-0.5668
U0011,-1.578,-1.2094,0.7802,-0.9936,-0.638,-0.9747,-1.3523,0.8216
U0012,1.8718,-0.199,0.2709,-0.5707,0.4715,0.7339,-0.8073,1.5703
U0013,-0.9862,0.6261,1.0021,-0.3965,1.2314,-0.2006,0.5261,0.0676
U0014,0.2641,-0.316,0.3052,-0.6246,0.0246,-0.0065,-0.0592,-1.6135
U0015,-1.4807,-0.4027,0.2255,-0.4162,-1.6294,1.2074,-0.275,-0.465
U0016,0.9864,-0.4692,-0.1977,0.0216,0.1319,-2.0473,0.0072,-0.0635
U0017,-1.0748,0.175,1.2122,1.0482,-0.1632,-1.0983,-1.1788,0.5146
U0018,-1.2417,-1.4161,0.6561,-0.1487,-0.3557,0.1869,0.9884,-1.6334
U0019,-0.0915,0.3004,1.4869,1.1438,-0.1302,0.0107,-0.4547,-1.1182
U0020,-0.5922,0.1741,-1.2737,0.2151,0.8979,-1.245,0.8004,-0.7766
U0021,0.6512,0.1109,0.1629,0.2345,0.999,0.641,1.2805,0.0971
U0022,-0.5961,-1.2115,0.3436,1.0,-0.3031,1.3338,0.2516,-0.9251
U0023,0.92,1.5282,-0.5601,-0.564,-1.5942,0.2377,-0.2514,-0.2149
U0024,0.1218,-1.0349,0.8895,0.5846,0.4362,0.5244,3.7133,-0.4426
U0025,1.2449,-0.346,-0.0428,-0.1839,0.1266,0.4417,0.0587,-0.8544
U0026,0.338,0.3169,-0.596,-1.1652,1.0036,-0.9548,-0.7686,-1.5554
U0027,0.8503,0.1461,1.1289,0.302,-1.4152,2.2421,-0.8459,1.8704
U0028,-1.0176,1.3913,-0.2,0.3671,1.8016,-0.7216,-1.1543,0.573
U0029,2.7087,-1.0594,-1.1435,0.3599,-0.4515,1.017,-0.8785,0.4746
U0030,-1.9331,-0.5761,1.2605,0.3378,-0.1001,0.2375,-0.125,0.6814
U0031,-1.106,0.5689,-0.0636,-0.7616,1.0666,-2.4335,-1.4239,0.0157
U0032,-0.0833,0.0525,1.623,1.0954,0.2745,-0.0047,-0.6288,1.088
U0033,-2.0207,-0.1433,-0.7497,1.2504,0.3644,0.2856,2.4133,-1.487
U0034,0.2447,0.2977,-0.9687,0.4908,2.0488,-1.2214,0.5391,0.4578
U0035,-0.7605,1.6572,-0.4559,0.5269,-0.7282,1.3416,-1.4389,0.4631
U0036,-0.1464,-2.0492,-0.4018,0.6677,0.757,-0.2234,-0.0875,-0.4883
U0037,-0.6855,-0.1624,1.2157,1.0539,-0.9671,-0.0806,1.8762,-0.3802
U0038,-1.7446,0.8652,-1.089,0.1304,0.4375,0.3024,0.5506,0.0299
U0039,-1.296,0.0185,-0.6263,-0.1633,-0.8924,-0.2597,0.1939,1.085
