account_id,event_time,sessions_7d
A0000,1767382934000,35
A0000,1767990655000,34
A0000,1768529360000,38
A0000,1769190803000,34
A0000,1769780547000,28
A0000,1770387539000,21
A0000,1770994702000,19
A0000,1771535755000,35
A0000,1772157772000,14
A0000,1772786715000,21
A0000,1773388433000,24
A0000,1774022137000,22
A0000,1774563690000,12
A0001,1767294050000,7
A0001,1767955124000,5
A0001,1768513204000,22
A0001,1769119218000,33
A0001,1769774929000,30
A0001,1770387662000,19
A0001,1770956429000,12
A0001,1771530406000,0
A0001,1772171481000,12
A0001,1772733163000,35
A0001,1773335705000,5
A0001,1773999927000,19
A0001,1774584239000,26
A0002,1767368689000,13
A0002,1767960889000,20
A0002,1768514167000,38
A0002,1769180477000,13
A0002,1769758188000,35
A0002,1770330425000,36
A0002,1770949225000,7
A0002,1771563346000,7
A0002,1772214928000,28
A0002,1772807771000,23
A0002,1773347429000,16
A0002,1774013778000,3
A0002,1774578435000,14
A0003,1767374079000,1
A0003,1767959268000,20
A0003,1768520689000,1
A0003,1769179477000,0
A0003,1769739238000,18
A0003,1770338406000,25
A0003,1770981131000,0
A0003,1771605925000,18
A0003,1772209475000,21
A0003,1772833794000,27
A0003,1773428255000,16
A0003,1773995568000,16
A0003,1774644199000,4
A0004,1767384611000,17
A0004,1767932771000,7
A0004,1768561568000,16
A0004,1769157063000,32
A0004,1769774905000,2
A0004,1770335777000,11
A0004,1770968753000,9
A0004,1771597357000,0
A0004,1772192487000,12
A0004,1772799485000,37
A0004,1773440071000,3
A0004,1774012574000,11
A0004,1774573049000,23
A0005,1767383989000,4
A0005,1767944534000,33
A0005,1768561762000,30
A0005,1769121011000,30
A0005,1769736819000,35
A0005,1770398572000,7
A0005,1770961626000,30
A0005,1771605556000,13
A0005,1772178861000,12
A0005,1772796801000,24
A0005,1773411931000,0
A0005,1773983805000,4
A0005,1774569814000,8
A0006,1767316449000,7
A0006,1767922283000,26
A0006,1768498901000,0
A0006,1769088045000,15
A0006,1769694690000,36
A0006,1770313004000,36
A0006,1770889453000,34
A0006,1771495824000,28
A0006,1772153317000,28
A0006,1772696511000,0
A0006,1773295620000,19
A0006,1773965513000,25
A0006,1774579654000,35
A0007,1767333156000,1
A0007,1767901855000,29
A0007,1768558981000,24
A0007,1769129325000,5
A0007,1769750018000,8
A0007,1770372222000,9
A0007,1770921340000,28
A0007,1771590787000,26
A0007,1772136149000,26
A0007,1772783602000,22
A0007,1773389387000,9
A0007,1773961993000,8
A0007,1774602479000,8
A0008,1767250703000,1
A0008,1767871080000,5
A0008,1768539042000,30
A0008,1769077392000,9
A0008,1769706060000,31
A0008,1770329052000,29
A0008,1770904757000,19
A0008,1771488407000,1
A0008,1772104449000,27
A0008,1772751166000,36
A0008,1773313227000,9
A0008,1773911116000,26
A0008,1774576914000,0
A0009,1767342569000,37
A0009,1767974040000,33
A0009,1768551873000,14
A0009,1769172910000,10
A0009,1769740808000,17
A0009,1770355028000,33
A0009,1770974530000,3
A0009,1771577074000,26
A0009,1772190608000,17
A0009,1772744606000,4
A0009,1773408203000,30
A0009,1773997312000,18
A0009,1774641026000,28
A0010,1767316379000,1
A0010,1767887304000,11
A0010,1768467908000,19
A0010,1769085920000,20
A0010,1769724118000,24
A0010,1770328664000,26
A0010,1770959959000,30
A0010,1771495246000,3
A0010,1772165004000,3
A0010,1772708964000,25
A0010,1773334081000,16
A0010,1773973830000,23
A0010,1774557259000,35
A0011,1767248233000,10
A0011,1767907720000,36
A0011,1768465966000,19
A0011,1769121196000,24
A0011,1769690813000,37
A0011,1770275657000,35
A0011,1770913089000,28
A0011,1771511697000,27
A0011,1772099210000,28
A0011,1772691944000,25
A0011,1773314684000,4
A0011,1773968806000,11
A0011,1774511435000,23
A0012,1767313209000,4
A0012,1767869598000,19
