entity_id,f1,f2,f3,f4,f5
E0000,13.252084,1.409846,34.478997,1.840869,14.344044
E0001,18.264625,1.910569,8.287843,4.192455,12.325502
E0002,5.791192,3.222728,23.592229,15.876168,7.135394
E0003,20.93439,2.355797,5.179465,17.483366,8.419419
E0004,10.342227,1.705394,2.877924,11.389441,19.34303
E0005,11.507252,2.272098,6.400149,10.80124,10.648072
E0006,4.51283,2.662964,3.691047,15.313074,7.266597
E0007,2.467616,2.028942,13.459883,8.053309,23.013138
E0008,6.804752,3.357166,49.961757,2.589285,16.829278
E0009,18.467866,2.765666,7.409817,18.319227,7.973907
E0010,4.068148,1.974141,6.296257,8.342941,6.294482
E0011,9.81574,3.46697,4.586636,8.590231,6.868655
E0012,7.799479,1.773665,24.231326,8.821341,32.319384
E0013,11.809277,3.870828,7.105979,2.77885,13.475254
E0014,4.569522,2.22648,5.415787,4.024169,4.250463
E0015,2.848456,2.668326,22.343898,10.394694,4.381551
E0016,12.370177,3.496007,12.168598,2.944466,4.5363
E0017,16.172572,1.685558,8.323242,39.812258,23.23604
E0018,13.199757,2.118321,11.587323,6.571832,6.872298
E0019,7.818592,0.98382,4.933187,3.480451,2.15379
E0020,3.218891,1.76283,4.229678,14.788387,3.368072
E0021,5.800012,0.973751,44.228689,14.199983,13.656137
E0022,4.884547,1.99209,3.827676,22.859241,8.88509
E0023,13.34223,1.312343,7.314883,4.300465,15.07139
E0024,9.469522,1.666641,5.602726,3.557646,17.622957
E0025,20.089706,1.665929,11.569299,23.269362,5.408002
E0026,1.663378,2.570192,6.88917,9.548996,8.367877
E0027,2.334697,2.718055,17.727853,2.22364,15.572285
E0028,13.036869,1.741107,5.113949,3.768654,13.581021
E0029,2.523048,3.698503,32.574832,12.823663,3.615265
E0030,43.890835,2.856811,14.140133,1.846869,17.049082
E0031,14.036759,1.708579,2.740951,5.671904,2.092872
E0032,10.59817,2.078135,18.621227,1.201814,2.1447
E0033,2.834388,2.572989,7.126323,3.377754,18.630605
E0034,5.377642,2.742781,18.129175,5.359941,21.812952
E0035,13.33557,3.493166,16.953646,10.115256,3.546792
E0036,3.565605,2.396826,3.677623,3.654602,3.079527
E0037,6.170409,2.489746,1.874305,6.525142,5.371357
E0038,10.415215,3.345729,3.970264,12.091814,9.540937
E0039,5.843405,1.68646,26.118834,8.105036,17.458824
E0040,7.136754,2.735124,3.529503,7.250066,7.263071
E0041,30.557817,1.719819,3.640775,4.098546,4.19082
E0042,3.594059,1.98486,5.152341,4.93528,3.747568
E0043,2.507363,2.838149,6.989859,2.810921,14.160828
E0044,3.472674,1.019191,2.207127,6.601024,1.457693
E0045,54.23125,1.087041,2.706478,6.759175,11.124027
