account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773617348000,41.67,4323.02,798,bronze,24,6.82,1
A0001,1772159183000,19.25,3518.84,698,gold,0,88.29,0
A0002,1773395897000,119.27,6852.11,849,bronze,16,9.06,1
A0003,1773182319000,37.99,7627.39,386,gold,27,10.79,1
A0004,1772165260000,22.7,8493.06,567,silver,0,89.68,0
A0005,1773542356000,31.98,5918.86,824,silver,0,10.14,1
A0006,1772688961000,23.38,4709.01,640,silver,28,12.26,1
A0007,1773553489000,121.18,7795.14,705,silver,9,13.75,1
A0008,1772966780000,14.39,3054.97,738,bronze,36,94.69,0
A0009,1773004033000,15.93,5154.04,429,bronze,4,10.86,1
A0010,1772818464000,12.76,7135.93,756,silver,25,92.15,0
A0011,1772784087000,93.9,4851.48,723,silver,25,89.19,0
A0012,1773045349000,14.83,1876.94,534,bronze,35,94.88,0
A0013,1772092937000,23.07,1653.34,691,bronze,12,93.28,0
A0014,1772767621000,22.86,1004.85,616,bronze,31,5.46,1
A0015,1773124683000,97.73,1076.87,379,gold,35,9.17,1
A0016,1772872700000,34.14,2355.61,575,gold,8,5.38,1
A0017,1772369858000,21.06,5455.64,428,bronze,23,8.37,1
A0018,1772218554000,89.89,3323.65,783,bronze,11,91.14,0
A0019,1773331766000,28.97,3618.97,508,gold,26,8.08,1
A0020,1772386707000,43.08,4021.86,816,silver,26,86.24,0
A0021,1772595355000,50.28,7433.21,434,gold,6,86.25,0
A0022,1772587979000,69.53,4716.28,749,gold,27,94.13,0
A0023,1772630153000,33.52,3272.41,447,bronze,10,91.92,0
A0024,1772243734000,117.89,118.94,781,silver,7,9.37,1
A0025,1772358784000,20.91,6002.79,721,silver,30,90.66,0
A0026,1772274679000,32.78,4032.36,842,silver,4,90.85,0
A0027,1772692109000,39.72,5809.08,670,bronze,1,10.44,1
A0028,1773015045000,2.6,8083.92,748,silver,26,85.26,0
A0029,1773081336000,75.29,8531.77,458,bronze,26,88.49,0
A0030,1772946999000,3.72,5311.87,553,silver,28,90.57,0
A0031,1772147555000,23.98,4344.24,826,gold,14,86.32,0
A0032,1773054687000,50.44,4661.77,661,gold,33,11.56,1
A0033,1772780849000,46.2,3469.69,368,silver,16,6.37,1
A0034,1773297760000,42.87,6064.18,399,silver,29,88.71,0
A0035,1773117366000,16.57,6831.62,850,bronze,11,9.32,1
A0036,1772161482000,94.09,7295.06,373,bronze,14,88.99,0
A0037,1773485197000,8.29,3939.01,514,bronze,32,93.29,0
A0038,1773601483000,28.19,5739.86,380,bronze,32,90.03,0
A0039,1772154415000,26.4,8687.58,726,gold,7,85.35,0
A0040,1772583084000,15.53,7982.23,781,bronze,33,90.11,0
A0041,1771979981000,10.17,2387.1,423,bronze,26,91.53,0
A0042,1773334481000,13.26,3129.05,324,bronze,38,92.11,0
A0043,1772636540000,54.83,4445.5,322,bronze,30,89.82,0
A0044,1773479229000,85.34,10386.39,356,silver,19,86.1,0
A0045,1773052728000,26.28,4238.69,462,silver,5,89.48,0
A0046,1773673238000,8.28,2559.02,638,silver,19,10.32,1
A0047,1772165990000,55.31,9177.49,450,silver,38,6.76,1
A0048,1772263473000,38.26,1333.7,811,bronze,23,14.24,1
A0049,1772103274000,8.37,4478.79,339,silver,29,14.95,1
A0050,1773433075000,29.57,4062.42,517,gold,36,88.61,0
A0051,1772352461000,11.43,3266.53,376,gold,34,93.81,0
A0052,1772154929000,11.0,2971.2,406,bronze,7,93.14,0
A0053,1772604602000,19.3,2692.34,481,bronze,34,10.47,1
A0054,1773437937000,292.1,4088.18,561,gold,21,87.16,0
A0055,1773221054000,18.82,5828.77,584,bronze,38,89.91,0
A0056,1772245118000,13.15,6641.57,517,gold,21,11.72,1
A0057,1773158886000,32.4,1426.78,800,silver,10,11.5,1
A0058,1772615563000,53.05,7346.05,350,gold,4,87.07,0
A0059,1773453791000,41.88,4760.05,452,gold,10,88.25,0
A0060,1773561141000,8.87,4350.78,672,gold,1,9.36,1
A0061,1773334601000,100.47,3242.44,738,bronze,12,6.71,1
A0062,1772374724000,4.78,3689.55,739,silver,26,90.49,0
A0063,1772465118000,322.83,7422.41,656,bronze,23,94.07,0
A0064,1773387199000,23.32,1390.06,313,silver,21,10.44,1
A0065,1772558183000,74.18,3067.96,661,gold,33,87.59,0
A0066,1772906672000,104.97,4964.52,682,gold,30,6.96,1
A0067,1772067216000,11.72,1961.15,529,silver,19,92.0,0
