entity_id,f1,f2,f3,f4,f5
E0042,3.594059,6.278026,5.152341,4.93528,3.747568
E0168,6.224715,12.053406,8.142733,10.00969,4.770755
E0117,10.425108,7.264326,4.98604,21.598635,3.49556
E0069,10.753782,8.628111,9.119644,7.131352,2.328383
E0244,14.809971,46.70634,3.688881,7.044902,8.254827
E0101,4.324686,2.756375,8.870812,3.553389,44.921536
E0199,24.830033,7.769775,10.721574,3.221568,14.060035
E0219,14.030767,6.031011,9.312657,2.195937,3.848655
E0289,2.147498,6.880444,9.058687,12.436727,4.10106
E0253,17.80629,9.415759,3.822349,7.80855,17.879599
E0251,5.764214,11.07837,4.442888,9.07937,9.961764
E0155,4.677831,1.523498,8.27906,4.497652,1.623148
E0108,5.667427,1.625299,4.426005,15.91401,24.666014
E0246,3.160057,9.761515,8.211879,4.471019,3.994112
E0184,17.869016,1.968059,10.86867,38.387074,26.502415
E0270,4.683479,17.49436,16.44161,26.373675,18.504686
E0254,5.338274,10.95701,10.434555,3.921026,3.346786
E0128,6.354459,16.016439,10.277798,3.448244,7.028467
E0051,18.475519,17.280142,6.610521,2.549272,13.154054
E0054,1.919194,9.572944,5.687961,7.110134,13.621748
E0004,10.342227,4.503553,2.877924,11.389441,19.34303
E0288,12.390601,17.451365,4.277492,5.396046,20.650655
E0041,30.557817,4.583517,3.640775,4.098546,4.19082
E0035,13.33557,31.889923,16.953646,10.115256,3.546792
E0040,7.136754,14.411652,3.529503,7.250066,7.263071
E0021,5.800012,1.647858,44.228689,14.199983,13.656137
E0116,2.792989,6.20523,4.287671,8.798688,3.318658
E0266,6.248978,8.580445,14.276622,5.740719,20.689756
E0027,2.334697,14.150827,17.727853,2.22364,15.572285
E0060,7.393921,7.101455,4.443889,11.189408,4.259985
E0172,4.607809,13.546338,5.980928,28.351055,6.520921
E0250,1.987607,5.831124,5.116285,37.700687,10.475867
E0239,21.380245,8.100546,7.337949,6.153795,3.336039
E0096,18.861136,7.657782,1.338864,10.452088,4.195231
E0227,4.640777,22.971926,40.894605,5.17505,4.09987
E0176,28.177503,3.001056,14.117668,5.252586,34.833045
E0218,22.163802,6.504793,11.622136,6.57893,4.872704
E0135,6.989135,7.060017,6.063177,4.465239,4.545277
E0190,10.542563,4.531227,19.379783,11.903231,17.367548
E0220,25.975046,2.634631,8.327768,9.000139,7.373193
E0252,2.126321,8.877896,5.745335,13.098087,8.496209
E0028,13.036869,4.703654,5.113949,3.768654,13.581021
E0298,19.037489,6.730047,16.916657,22.667033,17.986313
E0191,6.654296,2.810224,28.138822,4.731877,6.032886
