row_id,account_id,event_time,amount,category
R00000,A0081,1772410440000,5.39,salary
R00001,A0106,1772411400000,2.9,other
R00002,A0020,1772411640000,2.87,salary
R00003,A0089,1772412240000,20.76,other
R00004,A0061,1772413080000,71.89,travel
R00005,A0066,1772413620000,69.34,travel
R00006,A0023,1772414100000,4.67,other
R00007,A0088,1772414520000,59.04,other
R00008,A0127,1772415000000,34.92,other
R00009,A0040,1772415720000,119.76,grocery
R00010,A0087,1772415780000,24.64,grocery
R00011,A0023,1772415900000,12.99,rent
R00012,A0021,1772416200000,6.86,grocery
R00013,A0093,1772417940000,3.7,travel
R00014,A0106,1772418780000,14.34,travel
R00015,A0133,1772419200000,3.78,grocery
R00016,A0076,1772419440000,15.89,rent
R00017,A0021,1772419500000,16.66,travel
R00018,A0133,1772419800000,14.11,grocery
R00019,A0026,1772419800000,23.05,salary
R00020,A0069,1772420160000,3.7,travel
R00021,A0097,1772422560000,57.14,travel
R00022,A0099,1772422800000,8.55,other
R00023,A0055,1772422860000,1.83,travel
R00024,A0030,1772423400000,14.04,other
R00025,A0009,1772423400000,159.58,grocery
R00026,A0078,1772423580000,5.48,travel
R00027,A0051,1772424360000,4.0,grocery
R00028,A0110,1772425380000,8.86,rent
R00029,A0144,1772425920000,2.33,travel
R00030,A0053,1772426040000,38.23,salary
R00031,A0015,1772427180000,15.62,travel
R00032,A0120,1772427840000,8.97,travel
R00033,A0046,1772429340000,9.09,rent
R00034,A0126,1772429940000,12.99,rent
R00035,A0060,1772430000000,41.28,grocery
R00036,A0132,1772430240000,33.35,salary
R00037,A0080,1772430600000,25.36,grocery
R00038,A0059,1772430600000,41.27,grocery
R00039,A0071,1772430660000,26.74,other
R00040,A0021,1772430960000,101.31,other
R00041,A0020,1772432580000,27.15,salary
R00042,A0147,1772433600000,57.87,grocery
R00043,A0056,1772433720000,12.09,other
R00044,A0098,1772434980000,24.88,travel
R00045,A0115,1772435460000,7.5,rent
R00046,A0027,1772435940000,61.82,rent
R00047,A0142,1772436420000,24.36,other
R00048,A0049,1772437500000,38.92,grocery
R00049,A0103,1772437980000,12.54,other
R00050,A0063,1772438280000,3.47,other
R00051,A0137,1772438340000,60.0,other
R00052,A0007,1772439420000,20.62,rent
R00053,A0122,1772439840000,27.51,grocery
R00054,A0006,1772440440000,6.47,other
R00055,A0047,1772441520000,6.06,grocery
R00056,A0053,1772444700000,11.8,salary
R00057,A0038,1772446560000,8.27,other
R00058,A0045,1772447160000,82.4,rent
R00059,A0011,1772447520000,35.46,salary
R00060,A0120,1772448480000,144.88,grocery
R00061,A0129,1772448840000,32.96,other
R00062,A0050,1772449320000,11.07,rent
R00063,A0059,1772450340000,16.11,salary
R00064,A0012,1772451480000,82.06,other
R00065,A0148,1772454360000,75.96,other
R00066,A0120,1772454420000,3.73,other
R00067,A0096,1772454900000,17.61,other
R00068,A0004,1772455200000,26.49,rent
R00069,A0016,1772455440000,8.53,rent
R00070,A0008,1772456220000,49.9,salary
R00071,A0094,1772456520000,1.38,other
R00072,A0143,1772457000000,32.4,other
R00073,A0053,1772457300000,22.32,rent
R00074,A0111,1772457360000,9.36,salary
R00075,A0091,1772457780000,111.66,rent
R00076,A0107,1772458080000,1.61,grocery
R00077,A0116,1772458800000,50.66,grocery
R00078,A0082,1772459100000,4.84,other
R00079,A0129,1772461860000,80.03,salary
R00080,A0077,1772463120000,206.5,other
R00081,A0119,1772463960000,13.81,other
R00082,A0009,1772465940000,10.67,salary
R00083,A0068,1772466060000,75.5,rent
R00084,A0131,1772466300000,8.45,grocery
R00085,A0136,1772466420000,18.77,grocery
R00086,A0113,1772466900000,39.28,rent
R00087,A0054,1772467320000,20.06,other
R00088,A0004,1772467800000,19.95,other
R00089,A0002,1772468460000,18.31,rent
R00090,A0104,1772470320000,26.42,travel
R00091,A0084,1772470680000,10.47,other
R00092,A0137,1772470860000,12.02,rent
R00093,A0141,1772471040000,29.12,rent
R00094,A0148,1772472840000,13.63,salary
R00095,A0011,1772472960000,12.14,salary
R00096,A0033,1772473260000,16.17,travel
R00097,A0126,1772473440000,12.56,salary
R00098,A0010,1772474640000,18.23,other
R00099,A0088,1772474880000,19.36,grocery
R00100,A0037,1772476440000,5.05,grocery
R00101,A0050,1772477040000,53.23,travel
R00102,A0077,1772477460000,6.88,grocery
R00103,A0038,1772478300000,3.21,travel
R00104,A0022,1772478420000,13.54,grocery
R00105,A0071,1772478960000,2.86,rent
R00106,A0066,1772478960000,104.24,grocery
R00107,A0089,1772479740000,43.01,grocery
R00108,A0078,1772479920000,34.04,travel
R00109,A0055,1772480460000,17.45,grocery
R00110,A0088,1772481900000,69.26,travel
R00111,A0055,1772482980000,12.95,other
R00112,A0127,1772483100000,5.1,rent
R00113,A0046,1772483520000,9.21,other
R00114,A0110,1772483580000,54.18,salary
R00115,A0004,1772485560000,12.13,salary
R00116,A0123,1772486940000,13.13,grocery
R00117,A0071,1772487120000,13.67,other
R00118,A0016,1772487480000,12.56,grocery
R00119,A0021,1772489160000,54.1,travel
R00120,A0107,1772489400000,36.11,salary
R00121,A0136,1772490540000,20.15,travel
R00122,A0124,1772490840000,3.71,travel
R00123,A0015,1772493180000,20.39,other
R00124,A0120,1772493300000,4.21,grocery
R00125,A0001,1772493720000,22.65,rent
R00126,A0100,1772494020000,7.19,travel
R00127,A0108,1772495220000,16.64,rent
