account_id,f1,f2,f3,f4
A0000,-0.7969,2.5725,-5.1727,3.5964
A0001,-0.7165,4.0083,-2.3462,2.1914
A0002,0.0156,3.4843,-3.2918,0.3887
A0003,-1.4192,1.2582,-4.5724,3.763
A0004,-0.292,5.5763,-4.1181,-0.2137
A0005,0.6857,2.4569,-4.4107,4.9278
A0006,0.1624,2.0786,-2.5537,6.0667
A0007,0.1083,4.0257,-4.1972,3.912
A0008,0.0049,0.7212,-3.2338,5.8764
A0009,1.2978,0.6803,-1.6004,2.3078
A0010,-0.6873,1.2357,-6.4798,3.6137
A0011,0.9314,0.3344,-3.8778,8.8572
A0012,0.774,2.0714,-0.5922,-0.9413
A0013,-1.1006,0.867,-2.6144,2.3677
A0014,0.9447,4.8954,-2.9411,2.4636
A0015,-0.6141,4.7826,-1.7608,1.6132
A0016,0.3166,3.0979,-4.1048,3.7691
A0017,-0.4755,5.6926,-5.087,1.2888
A0018,0.2939,3.3948,-3.5036,0.4365
A0019,0.3172,5.75,-5.1337,0.3674
A0020,-0.4202,6.3341,-2.4105,1.3712
A0021,0.9654,3.3806,-3.3133,2.1754
A0022,1.0385,3.3985,-3.0831,5.5979
A0023,-0.0699,3.713,-2.3885,1.5123
A0024,-0.4698,4.5482,0.0084,5.2244
A0025,0.2151,5.4331,-3.9718,7.4728
A0026,0.2929,2.1074,-1.0887,3.2341
A0027,0.2353,1.7902,-2.9999,5.8208
A0028,0.2566,2.0468,-2.4149,4.0236
A0029,0.1407,3.7869,-1.8571,0.53
A0030,-0.1301,3.5268,-0.6849,5.891
A0031,0.3791,2.1383,-1.821,3.6962
A0032,0.1336,3.751,-2.4511,10.1455
A0033,-0.5868,4.6823,-2.6407,1.1873
A0034,0.1924,0.7059,-1.3421,5.8003
A0035,1.3963,1.4966,-4.5306,4.512
A0036,1.1872,3.3373,-4.6279,8.8226
A0037,-0.113,1.5694,-1.1324,1.8996
A0038,0.9324,1.7561,-1.8022,-1.3705
A0039,0.0694,4.8557,-2.7429,2.2185
A0040,-1.2749,3.103,-4.3236,1.576
A0041,0.279,4.2918,-2.7447,4.1782
A0042,0.2228,3.7102,-4.8867,0.8148
A0043,0.7573,3.8513,-4.8978,3.1013
A0044,0.0728,3.3719,-5.0743,4.7509
A0045,0.3427,4.6548,-1.8781,2.0816
A0046,-0.0676,-0.137,-2.6794,1.1273
A0047,-0.0137,2.7694,-3.4936,5.9041
A0048,1.0248,3.316,-3.0626,1.8278
A0049,0.8182,3.7964,-2.1055,5.1801
A0050,-0.3312,4.0646,-0.8644,4.148
A0051,-1.0715,2.4539,-4.0022,1.6007
A0052,0.318,3.5513,-3.8636,4.7013
A0053,0.2915,5.8991,-3.9239,6.9853
A0054,-0.6582,2.3505,-0.5975,4.5371
A0055,0.7024,-0.1668,-3.6131,2.8157
A0056,-0.9623,4.3598,-4.3361,5.2952
A0057,-0.3596,3.9418,-5.6649,2.2832
A0058,0.9871,2.4721,-4.5268,6.4608
A0059,0.3881,2.8029,-1.4085,2.5996
A0060,-0.6873,3.4729,-1.4864,3.0265
A0061,-0.2503,2.8803,-3.4981,7.8981
A0062,-0.0867,2.3342,-3.5756,5.5245
