row_id,f1,f2,f3,f4
R00000,0.922717,-0.833121,-2.188439,3.734066
R00001,3.812874,-1.18794,-5.429382,3.686119
R00002,3.220765,0.811486,-1.955215,4.174141
R00003,4.400785,-0.152375,-4.592214,6.150445
R00004,-3.95625,0.665703,-3.612482,-0.961983
R00005,-3.019763,0.983838,-2.43674,11.567626
R00006,-1.062057,-2.284512,-4.257284,1.967845
R00007,2.127003,0.642286,-3.608923,2.453936
R00008,7.588032,-0.893508,-3.116766,6.43937
R00009,-0.157166,1.233726,-2.102456,9.216628
R00010,5.664536,-2.514253,-3.18793,0.216741
R00011,0.007008,-0.733459,-2.57587,4.901823
R00012,3.454062,2.862038,-2.291131,6.828391
R00013,5.375333,-0.520753,-1.278622,5.46361
R00014,-1.245449,-1.539384,-3.69208,0.477705
R00015,0.492088,-1.348863,-4.474967,6.916444
R00016,1.67601,0.041417,-0.986588,4.191731
R00017,5.050502,-1.644984,-5.931689,3.059412
R00018,-2.109278,-1.509114,-5.49105,5.798685
R00019,2.188826,-3.060539,-4.13396,7.209672
R00020,3.331956,0.417632,-2.358046,7.363978
R00021,-1.933665,-1.848551,-2.699489,4.645565
R00022,3.024879,-0.120576,-3.795627,8.187008
R00023,0.060035,1.018709,-6.243844,5.156219
R00024,6.469957,1.031032,-2.404058,7.551594
R00025,1.489001,-0.897438,-0.810741,4.256934
R00026,6.069419,-0.401617,-1.183548,2.066425
R00027,1.572512,0.158773,-3.29121,3.863757
R00028,1.938797,0.985835,-2.006609,4.716087
R00029,5.067429,-0.15164,-4.786352,6.640567
R00030,-0.184005,-1.690068,-0.976547,0.030695
R00031,4.976651,0.670932,-1.813682,5.634795
R00032,-2.471376,0.808203,-0.250041,1.485511
R00033,5.36064,0.122308,-2.943215,5.667963
R00034,5.961629,0.200778,-3.037534,5.439275
R00035,-4.217114,2.715168,-4.114447,2.826081
R00036,2.581104,0.410315,-2.201004,3.777093
R00037,6.071263,2.436349,-2.369559,-0.882974
R00038,0.905557,2.443882,-3.693611,4.327072
R00039,7.560561,3.169865,-2.313574,2.53753
R00040,4.635261,-0.546927,-1.234795,5.585129
R00041,2.683458,0.511484,-3.119179,8.809246
R00042,1.666626,1.604833,-4.8386,0.584026
R00043,3.748618,1.000827,-1.676615,4.164924
R00044,-0.271781,-1.198373,-4.174355,4.179068
R00045,1.823294,-1.038104,-3.171701,3.170936
R00046,3.409954,1.04031,-1.599041,2.184299
R00047,1.122456,-1.00106,-3.142131,0.230214
R00048,1.737285,-0.101912,-0.891567,2.747926
R00049,3.066606,1.110186,-2.44214,5.654988
R00050,7.603428,1.023013,-4.896718,1.395463
R00051,-3.458493,0.33048,-2.627474,11.167057
R00052,2.643292,0.846005,-2.446211,0.787879
R00053,-1.570405,-1.444207,-1.89927,4.71199
R00054,-0.133083,-0.67439,-2.243386,6.634084
R00055,-1.661406,-1.604503,-4.64084,5.529246
R00056,1.173632,-1.480395,-2.970356,0.991266
R00057,5.368335,0.953171,-1.638078,2.408945
R00058,2.013385,0.711371,-3.771593,3.696632
R00059,7.217169,-1.96663,-4.034435,1.483554
R00060,5.097745,0.257369,-4.100115,5.762538
R00061,-5.582981,1.312038,-4.835199,7.848402
R00062,0.9772,-0.087597,-2.743865,5.78958
R00063,0.873209,-1.709282,-4.902748,4.42506
R00064,4.388267,-0.094808,-4.623908,2.405764
R00065,4.829001,-0.322331,-3.876435,2.24676
R00066,3.1239,-0.494207,-4.383563,11.745793
R00067,2.639273,-0.822246,-0.334662,3.582985
R00068,4.396814,0.667298,-4.168452,3.355684
R00069,1.272134,-0.699655,-5.113752,7.83387
R00070,6.127266,0.320993,-1.041933,4.82603
R00071,0.092213,1.559513,-2.261688,6.263635
R00072,-1.42408,-0.762495,-3.226341,7.184918
R00073,5.021673,-0.363821,-4.421834,2.287294
R00074,6.091916,0.638055,-4.888567,5.917063
R00075,2.120632,0.83779,-4.160436,5.706044
R00076,3.673712,-0.392987,-2.765076,2.201492
R00077,4.20453,0.726282,-7.896504,5.289627
R00078,0.60925,-0.656739,0.059632,9.081515
R00079,3.189936,-1.076737,-0.770321,6.275345
R00080,0.488691,-0.972126,-3.353979,1.268947
R00081,5.200275,-0.39608,-3.258825,6.522259
R00082,2.381228,-0.43598,-2.183639,2.305967
R00083,-0.624833,-1.314068,-2.786469,3.023868
R00084,6.8325,0.756698,-4.435274,2.185262
R00085,2.060646,0.352143,-3.174022,7.67613
R00086,-3.372401,-2.001963,-5.367054,5.045
R00087,2.396095,0.780474,-3.262608,7.401968
R00088,5.1362,0.199073,-0.625259,6.015455
R00089,2.750408,2.789517,-6.081919,2.969255
R00090,3.238708,0.549932,-3.241216,2.514029
R00091,4.337802,0.478933,-0.991991,3.397476
R00092,1.774555,0.347318,-3.787187,3.162101
R00093,5.678194,0.537707,-4.798756,1.549609
R00094,2.773961,0.654428,-3.807591,8.452469
R00095,2.711289,-1.628367,-5.091691,5.581486
R00096,4.33931,0.535597,-4.491161,0.412381
R00097,2.018811,0.414598,-5.258807,0.294461
R00098,-0.730563,-0.58017,-2.321263,3.781343
R00099,6.722584,-0.4191,-2.863117,1.226624
R00100,8.934139,0.600248,-2.602817,8.538343
R00101,0.951628,-0.499151,-2.417556,5.865014
R00102,5.484149,-1.322367,-2.402619,5.820757
R00103,5.318295,-1.532117,-4.660665,6.22391
R00104,3.096134,-0.804624,-4.556422,4.264104
R00105,3.602408,2.22493,-2.702718,3.062588
R00106,0.284355,0.488909,-5.102052,2.962985
R00107,1.648372,0.50333,-4.060568,1.983362
R00108,0.806813,-2.301667,-1.383317,0.776125
R00109,2.111111,-1.624501,-3.110475,0.964436
R00110,1.463933,-2.170267,-4.399296,3.456331
R00111,5.173381,1.415961,-2.124564,5.703544
R00112,0.882319,1.346088,-6.198447,3.975766
R00113,0.961786,0.149188,-4.912194,1.350252
R00114,3.46204,0.848598,-2.926816,5.638242
R00115,1.182375,1.697714,-5.953265,3.991535
R00116,-1.237951,0.735348,-3.199767,-1.604578
R00117,4.201561,0.210298,-2.111291,0.415413
R00118,2.929465,0.60351,-4.197093,-1.464576
R00119,5.328283,-0.581552,-2.559503,-4.16737
R00120,6.729474,0.463282,-3.694394,4.042039
R00121,3.253555,0.214319,-1.905699,3.93716
R00122,-1.021488,0.731976,-1.333392,3.26564
R00123,4.430811,0.946221,-2.762265,2.595175
R00124,6.565963,-1.398341,-3.579305,-1.32887
R00125,3.180183,0.978503,-4.475854,2.372957
R00126,2.621595,0.241902,-4.755633,5.702202
R00127,5.211446,0.159489,-2.792248,5.873695
R00128,3.476752,1.28072,-3.450135,3.123756
R00129,2.857296,1.633129,-3.884974,2.576539
R00130,1.720892,0.301969,-3.855786,3.831947
R00131,2.800193,1.57022,-2.749746,8.750865
