row_id,f1,f2,f3,f4,f5,label
T00000,1.58048,-1.745568,-0.03327,-1.547052,0.751279,0
T00001,-1.074469,0.027188,0.405784,0.161542,-0.632602,0
T00002,0.165318,0.704747,-0.64723,0.203587,-1.002871,1
T00003,-0.478687,0.364059,1.155407,0.850924,0.337251,0
T00004,0.529487,0.572029,-0.726518,2.152804,0.826492,1
T00005,-2.630519,-1.361696,-0.496385,-1.951256,0.204111,0
T00006,1.89054,1.336184,0.638421,2.107042,-0.880554,1
T00007,0.282656,-0.901924,-1.493937,-0.754151,0.190581,1
T00008,0.123193,-0.627248,0.808321,-0.223079,-0.064761,0
T00009,-0.447351,-1.25857,0.766964,0.050074,-0.878619,1
T00010,0.819288,-0.905124,2.094347,1.768646,-0.587725,1
T00011,-0.733252,0.289777,0.0031,-0.471958,0.347036,0
T00012,0.01145,-1.369545,0.457975,-1.063703,-0.814125,0
T00013,-0.262417,0.519232,-0.74021,-3.203836,0.252708,0
T00014,1.436207,1.343847,0.199185,0.52432,0.941686,0
T00015,-0.249525,-0.985597,0.451386,0.107407,-0.389574,0
T00016,0.317134,0.343633,1.344021,1.108079,-1.284651,0
T00017,1.07915,-0.856533,-0.08724,0.326822,-1.539932,0
T00018,0.491422,1.056818,0.851404,1.02726,0.152447,1
T00019,1.231905,1.150972,0.032779,2.186894,-0.761596,1
T00020,1.443098,0.497525,1.908671,-0.333758,0.262596,0
T00021,-1.275204,1.223622,-0.550442,1.94359,-1.222734,1
T00022,0.827571,-0.497252,-0.522286,1.242713,1.629507,1
T00023,-1.324477,0.637898,0.177637,-0.224608,-0.415265,1
T00024,1.623901,0.431846,-0.04212,0.152756,0.384178,0
T00025,-1.205892,0.633327,-0.074668,0.966264,1.611205,0
T00026,-1.328615,-0.419107,-1.007819,1.004704,-0.221339,1
T00027,1.22458,0.041538,0.195637,0.306819,-0.173024,1
T00028,0.240859,0.027612,-0.253404,1.564519,-0.392334,1
T00029,-0.015932,-0.539487,-1.013389,-0.306795,-0.003691,0
T00030,0.381122,-0.143735,0.269802,-0.419205,0.94324,0
T00031,0.360954,-1.255807,0.662958,-1.164558,-0.980387,1
T00032,-0.085499,-0.170737,0.328352,0.33251,-0.00434,1
T00033,0.128064,2.11155,0.763639,-1.884344,-1.497293,0
T00034,-0.118582,-0.08193,-0.646212,0.900778,-0.3198,1
T00035,-0.059235,1.313737,0.549308,1.183143,-0.287844,0
T00036,-0.734804,-2.018638,1.006154,-1.942629,1.666541,0
T00037,1.030358,0.266513,-0.46277,-0.257713,1.274257,1
T00038,-0.331806,1.079839,-0.596036,-0.194726,0.494033,0
T00039,-0.581019,0.540995,-1.521392,-1.520447,1.123267,0
T00040,0.480063,1.025787,0.143041,-0.215178,0.381956,0
T00041,-1.408939,0.180737,-1.025568,1.862818,-0.443097,1
T00042,-0.469909,1.169022,0.517869,-0.183861,-0.754558,1
T00043,0.074753,2.002134,0.618096,0.60144,0.265881,0
T00044,-2.156983,-0.320299,1.039729,-0.739774,1.658339,0
T00045,-0.186391,0.309431,0.273265,-1.239616,1.791719,0
T00046,-2.133289,-0.672044,0.760719,-0.567512,-1.679048,1
