row_id,a_val
R00000,10.0788
R00002,6.1671
R00004,13.5399
R00005,10.6623
R00006,13.0811
R00008,8.2875
R00009,11.7345
R00010,10.5916
R00011,2.3012
R00012,11.5315
R00013,1.1047
R00016,11.6041
R00020,11.689
R00021,6.5767
R00022,6.4896
R00023,6.4
R00025,10.1937
R00026,10.5547
R00027,5.5305
R00028,12.7501
R00029,14.7473
R00030,9.1844
R00031,13.5548
R00032,7.8851
R00033,12.2911
R00034,13.5057
R00037,12.7064
R00038,7.4451
R00039,16.7428
R00040,14.7009
R00041,13.3123
R00042,12.9941
R00043,13.6231
R00045,5.744
R00047,14.1045
R00048,4.375
R00049,9.5547
R00051,13.9367
R00052,11.478
R00053,6.524
R00054,3.5623
R00056,9.8149
R00057,5.6416
R00058,10.5688
R00059,5.1158
R00060,6.5001
R00061,5.9263
R00062,12.46
R00063,14.9409
R00064,14.2302
R00066,4.9234
R00068,12.9743
R00069,18.9173
R00070,7.6728
R00071,17.7054
R00072,9.6218
R00073,13.1984
R00075,15.2652
R00076,7.5488
R00078,16.9859
R00079,15.33
R00080,10.1788
R00081,3.8463
R00082,7.9246
R00083,8.7592
R00084,11.4825
R00086,1.4739
R00087,12.0172
R00088,9.1849
R00089,14.2948
R00090,16.9523
R00092,10.9026
R00093,9.3015
R00094,9.1499
R00095,12.8151
R00096,12.6662
R00097,13.3036
R00098,12.945
R00100,9.9854
R00102,13.1467
R00103,10.4602
R00107,5.2491
R00108,3.0874
R00109,5.2652
R00110,5.1172
R00111,13.6396
R00113,15.0077
R00114,4.5254
R00115,15.6349
R00116,10.0576
R00117,12.8317
R00118,8.7485
R00119,12.0753
R00121,3.4606
R00124,4.6167
R00125,5.7011
R00126,6.0899
R00127,9.8272
R00128,13.9023
R00129,13.5766
R00130,8.3994
R00131,11.6156
R00133,10.1661
R00134,9.3172
R00136,6.6076
R00137,8.902
R00138,9.6287
R00139,7.9789
R00141,9.1825
R00143,9.3711
R00144,8.0382
R00147,8.0135
R00148,14.8877
R00149,9.6782
R00150,6.817
R00152,14.4045
R00153,10.3213
R00155,13.7284
R00156,18.0569
R00157,12.3062
R00159,5.6386
R00160,13.7681
R00161,8.212
R00162,7.7232
R00163,6.7845
R00165,16.5881
R00166,6.4487
R00167,10.7134
R00168,14.6927
R00170,11.807
R00171,9.642
R00172,12.3793
R00173,16.0212
R00174,10.5785
R00175,15.0579
R00176,13.0312
R00178,6.5119
R00182,7.9619
R00183,8.0676
R00184,14.1826
R00185,17.1611
R00186,8.7129
R00187,6.7206
R00188,5.759
R00191,6.511
R00192,9.6479
R00193,11.3889
R00194,6.8508
R00196,11.2421
R00197,8.7266
R00198,6.5366
R00199,11.0452
R00200,13.2853
R00201,12.8467
R00202,18.2515
R00204,6.7942
R00205,15.7297
R00206,10.7817
R00207,13.4252
R00208,15.5492
R00209,14.3193
R00211,2.0428
R00212,8.3671
R00213,9.1144
R00214,4.9449
R00215,15.4991
R00216,9.7069
R00218,8.7772
R00219,9.2422
R00220,13.5025
R00221,10.4522
R00223,12.6178
R00225,7.4229
R00226,4.9926
R00227,10.4332
R00229,9.1889
R00232,11.7447
R00233,17.6376
R00234,9.5991
R00235,12.2808
R00236,11.604
R00237,13.8791
R00238,14.237
R00239,17.8241
R00240,8.7931
R00241,10.199
R00242,11.678
R00243,12.1053
R00244,7.8822
R00245,6.008
R00247,11.9184
R00248,3.995
R00250,9.655
R00252,9.9341
R00253,11.2163
R00254,7.0337
R00255,7.1934
R00256,11.5645
R00257,15.0506
R00258,11.8404
R00260,13.7112
R00261,11.4629
R00262,6.6472
R00263,6.3123
R00264,10.7298
R00265,7.9955
R00267,9.6826
R00268,14.5581
R00269,15.8093
R00270,16.3679
R00271,9.8701
R00272,10.0589
R00273,8.5318
R00275,12.2098
R00276,20.7567
R00277,9.3864
R00279,11.4888
R00280,11.4639
R00281,10.5074
R00282,12.753
R00283,7.7739
R00284,9.7663
R00285,10.1141
R00286,13.6696
R00287,12.9427
R00288,6.955
R00290,10.8982
R00291,13.0898
R00292,13.5896
R00294,10.1172
R00295,14.3581
R00297,12.9717
R00298,8.0883
R00300,23.2702
R00301,12.9908
R00303,13.443
R00304,4.9248
R00305,11.8194
R00306,18.0885
R00308,7.8383
R00309,7.312
R00310,13.1243
R00311,7.6986
R00312,14.2063
R00313,13.4421
R00314,4.8579
R00315,7.936
R00316,0.9768
R00317,15.3027
R00319,13.2709
