row_id,status,balance,updated_at
R00135,active,7379.83,1770442320000
R00089,closed,4635.94,1770458520000
R00002,active,2997.26,1770250140000
R00378,active,6671.21,1770161160000
R00166,closed,2822.49,1770358080000
R00126,active,5083.11,1770515760000
R00192,dormant,5312.74,1769973420000
R00242,closed,3329.62,1770154620000
R00045,active,5923.15,1770204720000
R00295,dormant,2241.17,1770056820000
R00229,active,8910.48,1770350040000
R00246,closed,6069.08,1770604020000
R00301,closed,1726.58,1770435900000
R00333,dormant,1281.02,1770407820000
R00015,active,3923.12,1770481200000
R00153,dormant,6111.6,1770500700000
R00113,closed,4305.05,1770238320000
R00370,active,3035.8,1770512460000
R00291,closed,3745.08,1770317820000
R00003,active,5897.07,1769996400000
R00352,dormant,7878.66,1770301140000
R00062,active,5397.15,1770416460000
R00225,dormant,6029.28,1770239940000
R00057,dormant,3939.41,1770392160000
R00071,active,4961.38,1770699060000
R00022,closed,7541.53,1770667500000
R00124,closed,6634.7,1770227940000
R00202,closed,6091.44,1770479880000
R00303,closed,2995.56,1770318180000
R00011,active,4462.66,1770731520000
R00297,closed,7269.14,1770398820000
R00152,active,8181.18,1770126720000
R00257,closed,3170.51,1770498660000
R00129,closed,4012.41,1770295140000
R00081,active,1583.09,1770092400000
R00075,closed,6390.56,1770324480000
R00185,closed,6831.77,1770440280000
R00157,dormant,-568.46,1770271680000
R00318,closed,7932.55,1770022860000
R00139,closed,4691.02,1770345240000
R00342,dormant,6041.56,1770099240000
R00244,active,5007.01,1770664320000
R00329,dormant,4933.65,1770423600000
R00190,closed,8638.09,1770408300000
R00066,dormant,4770.62,1770358620000
R00009,closed,4870.95,1770233100000
R00386,dormant,2240.04,1770356040000
R00356,dormant,3218.1,1769969880000
R00189,closed,2906.5,1770277980000
R00168,dormant,7611.87,1770295920000
R00000,active,2591.65,1770407280000
R00374,active,4972.07,1770560700000
R00220,dormant,3669.46,1770397020000
R00086,dormant,8324.86,1770253080000
R00111,active,4596.98,1770170040000
R00173,active,4313.97,1770461160000
R00251,closed,5723.67,1770282000000
R00316,active,4701.94,1770487920000
R00165,active,1068.78,1770730020000
R00351,active,8455.25,1770609780000
R00324,active,4121.86,1770374040000
R00155,dormant,5345.55,1770063960000
R00341,dormant,3379.79,1770358620000
R00205,dormant,5285.71,1770290040000
R00222,closed,8559.12,1770128640000
R00134,dormant,4110.97,1769989440000
R00350,active,1023.87,1770618600000
R00232,dormant,3826.99,1770440820000
R00239,closed,3565.48,1770411180000
R00046,closed,5825.77,1770696660000
R00287,closed,6496.29,1770101160000
R00039,dormant,3328.86,1770648180000
R00380,closed,5159.26,1770051360000
R00201,active,8409.73,1770018960000
R00100,active,8365.85,1770018720000
R00187,closed,5643.43,1770069300000
R00027,active,6682.31,1770340620000
R00065,closed,4141.42,1770241260000
R00317,dormant,9774.35,1770391020000
R00150,dormant,6650.47,1770382620000
R00265,closed,4664.7,1770443580000
R00340,active,4917.95,1770254460000
R00078,active,3506.38,1770386460000
R00369,dormant,7307.55,1770636480000
R00247,active,1695.47,1770449820000
R00347,closed,3254.27,1770319620000
R00105,dormant,10410.54,1770436740000
R00098,active,6562.29,1770327720000
R00212,dormant,7380.84,1770448140000
R00334,closed,4434.05,1770335100000
