user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,-0.007,-0.7775,0.8904,1.4488,-0.7662,0.3893,0.2313,1.8536
U0001,0.1353,1.33,2.7641,0.143,0.7009,-0.4293,-1.9727,-1.2642
U0002,0.856,0.8126,2.1279,-2.6281,-0.2461,-0.6538,2.0687,-1.8293
U0003,-0.1858,-0.1766,-0.8607,0.5532,0.1158,-0.0156,0.1546,0.787
U0004,0.9788,0.3829,-0.7802,-0.8836,0.0235,-1.6302,1.5196,0.0632
U0005,-1.6007,0.4502,-0.272,-1.2968,-0.7231,1.6072,-0.3437,1.2979
U0006,-2.1079,-0.8617,0.7613,-1.2282,-0.3114,0.0498,0.7071,-0.276
U0007,0.3244,-1.5945,0.2878,-0.5349,0.6279,-1.4603,-1.9146,0.8584
U0008,-0.116,-0.366,0.0313,1.6882,0.1548,-0.424,0.7076,-0.0779
U0009,0.5097,-0.3783,-2.0055,0.1168,-2.1117,-0.0055,-0.4879,-0.6073
U0010,-0.3151,1.0982,0.3123,-0.0033,0.2078,0.2145,0.4125,0.3915
U0011,-0.3431,-0.6726,1.0194,-0.0746,-0.7417,-0.499,0.4633,0.0248
U0012,0.6147,0.1961,0.5263,0.1337,-1.4882,-0.9624,-1.3961,-1.6302
U0013,-1.9499,0.3736,0.1777,-0.7309,0.7735,0.0454,1.8597,2.2201
U0014,-0.2095,-1.0095,-0.2402,0.0812,-1.2619,-0.5144,-0.4535,-1.047
U0015,1.1869,-0.4462,-0.6786,1.0954,-0.9464,1.4363,-1.1317,0.7572
U0016,-0.6159,-1.268,0.6269,1.6348,0.9634,0.7163,1.1058,0.6293
U0017,0.4593,0.0347,-0.7666,-0.0542,-1.3767,-0.8301,0.755,-0.7594
U0018,1.7239,0.659,0.2775,-0.07,-0.1931,1.9663,2.9622,-0.0724
U0019,1.5321,0.6438,0.3654,0.061,-0.4343,-0.468,-1.5377,0.8518
U0020,-0.8314,-0.4612,-0.8327,-1.1313,0.8703,-0.1586,0.1214,-0.3543
U0021,-1.9341,0.7139,1.2278,-1.012,0.761,0.1631,0.2565,-0.5804
U0022,-1.051,-0.0925,-0.7463,-1.5408,1.0307,-0.0226,-0.2299,-1.5905
U0023,-0.8431,-1.5436,-0.1232,-0.3975,0.9909,-0.5406,0.3585,0.6607
U0024,-0.1263,0.9369,0.8438,0.6497,-0.4134,-1.1777,0.0543,-1.2119
U0025,-0.2157,-1.1398,0.983,-0.2306,1.4265,-1.3732,-1.8316,-0.8197
U0026,-0.2864,1.0773,1.9165,-0.438,2.3765,0.5711,-0.6194,-0.0552
U0027,-1.1243,-0.595,1.715,-0.4014,2.2516,-1.8127,-0.8322,0.8129
U0028,-0.3856,0.4746,-1.2393,1.4337,-1.179,-0.5124,-1.1018,1.3265
U0029,-1.1987,-0.478,0.0114,-0.1774,2.4883,2.4995,1.487,-1.9058
U0030,-0.2009,-1.0658,1.2564,1.7123,-1.0816,0.3316,0.5027,0.2759
U0031,0.663,0.1843,0.6686,1.4607,-1.9148,0.5112,0.641,0.143
U0032,-0.0394,-0.6234,-0.0929,0.6941,0.2524,1.3016,-0.3266,0.2195
U0033,-1.5551,0.1982,-1.1169,1.6512,0.4326,0.7955,-0.8267,0.4768
U0034,-1.3274,-0.1169,-0.1381,0.1597,0.1591,-1.1003,1.0513,0.131
U0035,0.3149,0.7442,-0.8733,-1.4492,-0.6314,-1.1916,0.8787,0.7231
U0036,-0.1,-1.3042,0.6463,0.4861,0.1335,-1.4879,0.6838,-0.0066
U0037,-0.0725,1.3896,-0.8382,-0.2681,-0.7808,-1.0501,-0.2171,0.0556
U0038,2.1101,0.8684,1.3342,1.1389,-0.3029,1.7054,-0.6291,0.292
U0039,0.6898,0.2656,-0.6145,-0.4686,-1.1563,1.78,-0.5107,-1.1576
