row_id,f1,f2,f3,f4,f5
S00000,0.786097,-1.305628,1.102243,1.652655,0.255265
S00001,-0.15442,1.453882,-0.770316,1.105532,0.335842
S00002,-0.541205,2.6485,0.453649,-2.613063,-0.538577
S00003,-0.85342,-0.413908,-0.652664,-1.928993,0.191576
S00004,-0.760018,-0.841231,1.824874,-0.722049,0.538775
S00005,0.654891,0.594424,0.915737,-0.920966,-0.347775
S00006,-0.819367,-0.616568,-0.059916,1.262743,1.255943
S00007,-1.833017,0.912461,-1.003597,-0.112899,0.539501
S00008,-1.123577,-0.531018,0.119329,-0.759942,0.596412
S00009,-1.14316,-0.234465,1.057876,-0.602149,-1.59376
S00010,1.493294,-0.111095,1.858038,0.516948,0.582688
S00011,0.248078,0.074732,-2.407802,-0.487307,-0.741633
S00012,1.391932,0.05604,0.663371,-0.72235,0.489312
S00013,-0.440925,0.350531,-1.306426,-1.111316,-0.172801
S00014,-0.229187,-1.003304,-1.426114,-0.122939,0.304102
S00015,0.496568,1.192784,-0.042107,0.196363,0.459834
S00016,-0.075477,-0.199245,-0.732351,-0.560859,0.359029
S00017,0.730113,0.019199,0.699461,-0.451065,1.245011
S00018,-0.594826,-0.043724,0.526842,-0.674443,1.045781
S00019,0.508901,0.143626,1.433307,-0.847356,0.620199
S00020,0.07773,-0.577877,-1.335065,-1.333967,-0.385841
S00021,-1.035655,-0.112737,1.54593,0.638842,0.621958
S00022,-1.151439,-0.99936,-0.893389,1.580346,-0.755277
S00023,0.14257,2.137089,0.057144,1.981639,-0.913104
S00024,-0.395436,-0.485526,1.600119,0.412856,-0.182454
S00025,-1.565735,0.084753,-1.253244,0.273848,-0.528574
S00026,0.14048,1.287369,0.658098,-1.475183,-1.386107
S00027,-0.275829,0.748349,-1.530779,-1.199337,0.849287
S00028,0.793375,-0.630914,1.986016,0.475936,-0.948418
S00029,0.255778,1.131337,0.273856,-0.454377,-0.459182
S00030,1.105601,-0.12869,-0.623319,-1.165913,0.002705
S00031,0.138407,0.217954,-0.37646,-1.718937,0.005963
S00032,0.617965,-0.239758,-0.146391,-0.0595,0.518834
S00033,1.930812,-0.233038,1.193914,-1.452372,1.579077
S00034,-2.105092,0.611361,-1.323062,-1.72389,0.352647
S00035,0.3103,1.097877,0.667363,0.51056,-0.069633
S00036,-0.014886,-1.221327,0.107071,-1.598126,-0.358267
S00037,0.012018,-0.180534,-1.085419,0.499073,-0.315249
S00038,-1.375288,-0.603095,-0.659117,-0.890875,0.471399
S00039,-0.21629,0.536706,0.37418,0.473724,0.226741
S00040,0.400646,-0.42347,0.445582,-0.596712,0.193089
S00041,0.551126,-0.223802,-0.655815,-1.643984,-0.291974
S00042,0.396168,-2.270114,0.561968,0.094032,-0.894413
S00043,1.894319,0.679145,-1.229954,-0.798167,0.873979
S00044,-0.567762,0.420341,-0.285588,-0.839775,-0.832329
S00045,0.172985,0.638021,-0.754508,-0.140371,0.489495
S00046,-0.558437,-0.579878,0.42761,0.446845,2.253746
S00047,0.467462,0.017411,0.246691,1.438454,1.150666
S00048,-0.664458,1.21354,0.740866,0.757854,0.640002
S00049,0.594519,0.4409,-0.829495,0.698622,-0.860226
S00050,0.382489,-1.0182,-0.357924,0.473698,-0.606349
S00051,0.266886,-1.16561,0.308969,0.624018,0.98686
S00052,0.447719,0.722931,-0.283387,1.041747,-1.210023
S00053,-0.441331,0.803697,-0.210148,-0.348802,0.900831
S00054,-0.130074,-0.917904,-0.355465,-0.649775,2.149483
S00055,0.792342,-1.16935,0.426349,0.20309,1.596869
S00056,-0.094286,0.307993,1.81641,-1.59559,0.681388
S00057,-0.013163,0.364564,-1.436675,0.62422,0.325655
S00058,0.079038,-0.859442,0.791988,0.401995,-0.350711
S00059,1.06076,-0.273837,0.323701,1.138982,-1.28665
S00060,0.596352,0.986966,-1.022356,-0.449881,0.791297
S00061,0.543907,0.580803,-2.192108,0.07825,-0.366176
S00062,0.037841,0.557078,-1.926137,-1.78123,-0.799883
S00063,-0.233122,-1.131094,-0.303987,-0.464823,-0.117697
S00064,1.081063,0.792904,-0.678177,0.071994,0.195831
S00065,0.722899,-0.140414,-0.358407,-0.181658,2.701708
S00066,1.570102,-2.381901,0.783948,1.096655,1.507344
S00067,-1.421931,0.295255,-0.627544,-0.89064,-0.716
S00068,0.989885,-0.817723,-0.55244,0.367809,-0.058012
S00069,-1.285971,-0.951759,-0.13858,-0.689327,-0.33118
S00070,-1.730371,0.036758,1.64403,-1.030912,-0.165688
S00071,0.313657,0.088107,0.430183,0.772772,0.602932
S00072,0.566974,-0.803043,-0.286679,-0.483135,0.651975
S00073,1.564346,-0.282895,1.729038,-0.161956,1.169253
S00074,-0.90847,1.762213,0.287463,2.622082,-1.381164
S00075,-0.642871,0.041852,0.796017,0.392223,-0.181485
