account_id,event_time,credit_score,tier,amount,balance,sessions_7d,health_score,churned,source
A0000,1767247071000,729,gold,\N,\N,\N,\N,\N,profiles
A0000,1774819108000,806,silver,\N,\N,\N,\N,\N,profiles
A0001,1767272523000,301,bronze,\N,\N,\N,\N,\N,profiles
A0001,1771066141000,322,bronze,\N,\N,\N,\N,\N,profiles
A0002,1767276850000,314,silver,\N,\N,\N,\N,\N,profiles
A0002,1770787039000,394,gold,\N,\N,\N,\N,\N,profiles
A0003,1767283936000,635,silver,\N,\N,\N,\N,\N,profiles
A0003,1774040922000,556,bronze,\N,\N,\N,\N,\N,profiles
A0004,1767267710000,808,gold,\N,\N,\N,\N,\N,profiles
A0005,1767305100000,622,bronze,\N,\N,\N,\N,\N,profiles
A0005,1774436048000,674,gold,\N,\N,\N,\N,\N,profiles
A0006,1767228175000,306,silver,\N,\N,\N,\N,\N,profiles
A0006,1768936739000,364,silver,\N,\N,\N,\N,\N,profiles
A0007,1767266306000,789,gold,\N,\N,\N,\N,\N,profiles
A0008,1767290614000,320,gold,\N,\N,\N,\N,\N,profiles
A0009,1767290639000,433,bronze,\N,\N,\N,\N,\N,profiles
A0009,1774020700000,390,bronze,\N,\N,\N,\N,\N,profiles
A0010,1767299957000,662,gold,\N,\N,\N,\N,\N,profiles
A0010,1769580672000,648,silver,\N,\N,\N,\N,\N,profiles
A0011,1767305411000,739,gold,\N,\N,\N,\N,\N,profiles
A0011,1773491277000,728,bronze,\N,\N,\N,\N,\N,profiles
A0012,1767249234000,530,bronze,\N,\N,\N,\N,\N,profiles
A0012,1767443938000,574,bronze,\N,\N,\N,\N,\N,profiles
A0013,1767242990000,318,bronze,\N,\N,\N,\N,\N,profiles
A0013,1773181556000,300,gold,\N,\N,\N,\N,\N,profiles
A0014,1767230411000,646,silver,\N,\N,\N,\N,\N,profiles
A0015,1767268164000,695,silver,\N,\N,\N,\N,\N,profiles
A0015,1769909093000,756,gold,\N,\N,\N,\N,\N,profiles
A0016,1767246164000,667,gold,\N,\N,\N,\N,\N,profiles
A0016,1773660746000,661,silver,\N,\N,\N,\N,\N,profiles
A0017,1767293585000,627,bronze,\N,\N,\N,\N,\N,profiles
A0017,1770944584000,699,gold,\N,\N,\N,\N,\N,profiles
A0018,1767242653000,536,silver,\N,\N,\N,\N,\N,profiles
A0018,1770804273000,496,silver,\N,\N,\N,\N,\N,profiles
A0019,1767243123000,678,gold,\N,\N,\N,\N,\N,profiles
