account_id,event_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned,source
A0000,1767230146000,6.74,1196.05,\N,\N,\N,\N,\N,transactions
A0000,1767230146000,6.74,1196.05,\N,\N,\N,\N,\N,transactions
A0000,1767418190000,37.85,1424.53,\N,\N,\N,\N,\N,transactions
A0000,1768783091000,9.11,1010.21,\N,\N,\N,\N,\N,transactions
A0000,1770176841000,13.64,1040.31,\N,\N,\N,\N,\N,transactions
A0000,1770669207000,23.02,1566.83,\N,\N,\N,\N,\N,transactions
A0000,1771100276000,21.14,1426.14,\N,\N,\N,\N,\N,transactions
A0000,1772717625000,143.64,600.05,\N,\N,\N,\N,\N,transactions
A0000,1774293312000,20.5,837.27,\N,\N,\N,\N,\N,transactions
A0001,1767230298000,25.28,7193.97,\N,\N,\N,\N,\N,transactions
A0001,1768362495000,7.64,7170.01,\N,\N,\N,\N,\N,transactions
A0001,1769430443000,5.6,7103.64,\N,\N,\N,\N,\N,transactions
A0001,1771574363000,12.62,7794.85,\N,\N,\N,\N,\N,transactions
A0001,1772498649000,41.95,8031.18,\N,\N,\N,\N,\N,transactions
A0001,1772860516000,85.67,7566.48,\N,\N,\N,\N,\N,transactions
A0001,1774117914000,21.51,7421.25,\N,\N,\N,\N,\N,transactions
A0001,1774800960000,27.45,7644.44,\N,\N,\N,\N,\N,transactions
A0002,1767249839000,96.22,4174.94,\N,\N,\N,\N,\N,transactions
A0002,1768454133000,26.61,4228.62,\N,\N,\N,\N,\N,transactions
A0002,1771098379000,25.77,3760.77,\N,\N,\N,\N,\N,transactions
A0002,1771752812000,42.3,3487.04,\N,\N,\N,\N,\N,transactions
A0002,1772430349000,15.01,2553.92,\N,\N,\N,\N,\N,transactions
A0002,1772678797000,78.88,1991.51,\N,\N,\N,\N,\N,transactions
A0002,1774401405000,179.8,1625.92,\N,\N,\N,\N,\N,transactions
A0003,1767274135000,22.96,596.85,\N,\N,\N,\N,\N,transactions
A0003,1769178582000,12.12,574.93,\N,\N,\N,\N,\N,transactions
A0003,1769368781000,29.15,629.78,\N,\N,\N,\N,\N,transactions
A0003,1770350566000,14.38,807.42,\N,\N,\N,\N,\N,transactions
A0003,1770770649000,22.76,981.82,\N,\N,\N,\N,\N,transactions
A0003,1774206073000,24.04,870.31,\N,\N,\N,\N,\N,transactions
A0003,1774206073000,24.04,870.31,\N,\N,\N,\N,\N,transactions
A0004,1767233658000,55.06,8714.93,\N,\N,\N,\N,\N,transactions
A0004,1767531848000,17.11,9009.85,\N,\N,\N,\N,\N,transactions
A0004,1768744117000,89.33,8941.12,\N,\N,\N,\N,\N,transactions
A0004,1770521652000,15.38,8916.02,\N,\N,\N,\N,\N,transactions
A0004,1773787412000,23.07,9030.42,\N,\N,\N,\N,\N,transactions
A0005,1767310980000,25.63,4562.85,\N,\N,\N,\N,\N,transactions
A0005,1768501426000,33.42,4787.26,\N,\N,\N,\N,\N,transactions
A0005,1771427024000,61.58,5060.23,\N,\N,\N,\N,\N,transactions
A0005,1771547234000,145.92,4889.91,\N,\N,\N,\N,\N,transactions
A0005,1773800449000,23.63,4997.82,\N,\N,\N,\N,\N,transactions
A0005,1774200432000,44.25,4684.88,\N,\N,\N,\N,\N,transactions
A0006,1767289672000,237.53,5864.41,\N,\N,\N,\N,\N,transactions
A0006,1767687860000,112.98,5881.84,\N,\N,\N,\N,\N,transactions
A0006,1768477922000,33.6,5589.22,\N,\N,\N,\N,\N,transactions
A0006,1769700976000,39.31,6124.41,\N,\N,\N,\N,\N,transactions
A0006,1770573672000,22.48,6135.51,\N,\N,\N,\N,\N,transactions
A0006,1770782160000,31.43,6547.24,\N,\N,\N,\N,\N,transactions
A0006,1773737032000,52.16,6492.43,\N,\N,\N,\N,\N,transactions
A0007,1767242441000,119.32,6590.68,\N,\N,\N,\N,\N,transactions
A0007,1769103175000,31.95,5813.5,\N,\N,\N,\N,\N,transactions
A0007,1769103175000,31.95,5813.5,\N,\N,\N,\N,\N,transactions
A0007,1769148512000,31.33,5359.38,\N,\N,\N,\N,\N,transactions
A0007,1769953632000,75.24,5896.76,\N,\N,\N,\N,\N,transactions
A0007,1770811845000,128.73,5926.03,\N,\N,\N,\N,\N,transactions
A0007,1771847954000,19.64,6210.39,\N,\N,\N,\N,\N,transactions
A0007,1772068154000,286.54,6572.13,\N,\N,\N,\N,\N,transactions
A0007,1773220606000,17.09,7355.24,\N,\N,\N,\N,\N,transactions
A0007,1774767191000,16.04,7157.01,\N,\N,\N,\N,\N,transactions
A0008,1767263615000,13.99,4898.25,\N,\N,\N,\N,\N,transactions
A0008,1770510479000,91.24,4839.94,\N,\N,\N,\N,\N,transactions
A0008,1771450015000,74.78,6079.19,\N,\N,\N,\N,\N,transactions
A0008,1771664326000,112.34,6492.41,\N,\N,\N,\N,\N,transactions
A0008,1772344550000,105.63,6173.01,\N,\N,\N,\N,\N,transactions
A0008,1772756769000,14.47,6267.98,\N,\N,\N,\N,\N,transactions
A0008,1773415439000,47.79,6388.12,\N,\N,\N,\N,\N,transactions
A0009,1767232812000,22.22,3612.1,\N,\N,\N,\N,\N,transactions
A0009,1767974149000,11.53,3189.32,\N,\N,\N,\N,\N,transactions
A0009,1767974149000,11.53,3189.32,\N,\N,\N,\N,\N,transactions
A0009,1768208051000,30.46,3089.86,\N,\N,\N,\N,\N,transactions
A0009,1772109281000,9.12,3382.1,\N,\N,\N,\N,\N,transactions
A0009,1773832904000,33.26,3410.56,\N,\N,\N,\N,\N,transactions
A0010,1767258807000,4.36,2594.53,\N,\N,\N,\N,\N,transactions
A0010,1767461629000,23.39,2538.51,\N,\N,\N,\N,\N,transactions
A0010,1768544099000,48.6,2967.89,\N,\N,\N,\N,\N,transactions
A0010,1772852794000,208.95,2621.68,\N,\N,\N,\N,\N,transactions
A0010,1774783929000,26.81,2961.48,\N,\N,\N,\N,\N,transactions
A0011,1770318929000,43.07,5994.25,\N,\N,\N,\N,\N,transactions
A0011,1771252753000,54.0,6029.16,\N,\N,\N,\N,\N,transactions
A0011,1772112528000,7.49,5710.99,\N,\N,\N,\N,\N,transactions
A0011,1773919619000,19.32,5573.61,\N,\N,\N,\N,\N,transactions
A0011,1774546051000,21.14,5133.6,\N,\N,\N,\N,\N,transactions
A0012,1767276122000,43.1,6181.91,\N,\N,\N,\N,\N,transactions
A0012,1767761757000,16.32,7438.36,\N,\N,\N,\N,\N,transactions
A0012,1769609643000,24.41,6699.42,\N,\N,\N,\N,\N,transactions
A0012,1770278528000,56.36,6804.3,\N,\N,\N,\N,\N,transactions
A0012,1770278528000,56.36,6804.3,\N,\N,\N,\N,\N,transactions
