entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-01T00:00:00Z,7.3951,9.1756,9.5749,9.6861,7.352,8.9503
E0001,2026-01-01T00:00:00Z,9.0167,8.161,5.5697,8.4888,8.3852,11.6782
E0002,2026-01-01T00:00:00Z,7.2659,8.7574,7.6072,6.2476,6.8399,9.2958
E0003,2026-01-01T00:00:00Z,8.1082,10.2364,8.3368,7.9734,4.4965,10.6474
E0004,2026-01-01T00:00:00Z,8.1223,7.7222,10.5811,5.5531,7.1871,8.1318
E0005,2026-01-01T00:00:00Z,7.9037,9.7418,8.4711,7.4657,6.2668,8.7781
E0006,2026-01-01T00:00:00Z,8.4802,10.0146,7.8707,8.7646,6.1479,9.8275
E0007,2026-01-01T00:00:00Z,7.3264,8.6037,8.2608,6.6012,7.1177,9.8456
E0008,2026-01-01T00:00:00Z,8.2309,8.9995,9.4845,8.0127,5.6513,9.8221
E0009,2026-01-01T00:00:00Z,8.1423,8.4966,9.0906,6.9556,4.7763,10.6018
E0010,2026-01-01T00:00:00Z,7.3588,10.3995,9.824,8.1659,6.3579,11.8587
E0011,2026-01-01T00:00:00Z,9.67,8.9765,9.1803,6.4578,6.4104,8.4765
E0012,2026-01-01T00:00:00Z,8.5948,8.9438,7.959,6.9062,8.2555,8.7189
E0013,2026-01-01T00:00:00Z,9.1367,8.5665,9.3882,7.9908,6.5777,9.2124
E0014,2026-01-01T00:00:00Z,9.3312,9.6101,7.7399,6.4933,5.9859,9.9073
E0015,2026-01-01T00:00:00Z,7.8747,8.47,7.0153,7.3172,6.4806,6.44
E0016,2026-01-01T00:00:00Z,9.0375,10.2314,8.0744,9.1056,7.1384,9.812
E0017,2026-01-01T00:00:00Z,7.6157,8.8309,8.471,6.2125,7.6375,9.9014
E0018,2026-01-01T00:00:00Z,9.3318,10.7971,9.1584,8.8866,6.6827,9.9809
E0019,2026-01-01T00:00:00Z,7.3138,9.5324,8.5832,8.1091,5.3535,11.3088
E0020,2026-01-01T00:00:00Z,8.8057,9.0835,8.6594,6.8751,5.0201,8.3951
E0021,2026-01-01T00:00:00Z,8.2735,8.8431,7.2667,7.9723,5.0945,9.9373
E0022,2026-01-01T00:00:00Z,7.8621,9.7486,7.2633,8.3295,6.2634,8.1943
E0023,2026-01-01T00:00:00Z,8.3935,8.789,7.8531,9.2943,7.1073,11.4413
