account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0001,1773482046000,85.67,7566.48,301,bronze,6,48.71,0
A0001,1773482046000,85.67,7566.48,322,bronze,6,48.71,0
A0002,1773533318000,78.88,1991.51,314,silver,10,49.18,1
A0002,1773533318000,78.88,1991.51,394,gold,10,49.18,1
A0005,1773584013000,34.22,4883.98,622,bronze,38,41.47,0
A0016,1773530553000,6.2,2372.35,667,gold,29,46.66,1
A0021,1773421617000,16.99,3959.37,405,gold,29,49.01,0
A0021,1773421617000,16.99,3959.37,368,silver,29,49.01,0
A0023,1773639389000,73.31,3105.09,788,silver,8,57.62,0
A0028,1773418467000,23.16,3941.34,683,gold,36,54.22,0
A0028,1773418467000,23.16,3941.34,621,bronze,36,54.22,0
A0036,1773600028000,171.57,5928.03,337,gold,37,51.98,1
A0036,1773600028000,171.57,5928.03,300,bronze,37,51.98,1
A0044,1773699927000,28.07,4668.45,544,bronze,0,43.05,1
A0044,1773699927000,28.07,4668.45,469,silver,0,43.05,1
A0060,1773429192000,65.92,9434.13,651,silver,23,51.8,1
A0070,1773605593000,36.32,3568.8,713,bronze,35,47.54,0
A0076,1773623548000,21.01,3969.39,391,gold,1,46.85,0
A0079,1773582000000,30.61,8362.03,650,silver,38,59.99,1
A0079,1773582000000,30.61,8362.03,707,silver,38,59.99,1
A0084,1773392158000,399.85,3735.35,435,silver,13,50.64,1
A0092,1773625211000,33.31,3774.71,302,gold,17,51.37,0
A0066,1773329133000,66.17,478.64,393,bronze,20,48.35,1
A0001,1773482046000,41.95,8031.18,301,bronze,6,48.71,0
A0001,1773482046000,41.95,8031.18,322,bronze,6,48.71,0
A0002,1773533318000,15.01,2553.92,314,silver,10,49.18,1
A0002,1773533318000,15.01,2553.92,394,gold,10,49.18,1
A0005,1773584013000,145.92,4889.91,622,bronze,38,41.47,0
A0016,1773530553000,42.28,2355.59,667,gold,29,46.66,1
A0021,1773421617000,10.81,3467.06,405,gold,29,49.01,0
A0021,1773421617000,10.81,3467.06,368,silver,29,49.01,0
A0023,1773639389000,30.03,3704.16,788,silver,8,57.62,0
A0028,1773418467000,32.43,3664.37,683,gold,36,54.22,0
A0028,1773418467000,32.43,3664.37,621,bronze,36,54.22,0
A0036,1773600028000,3.51,5334.17,337,gold,37,51.98,1
A0036,1773600028000,3.51,5334.17,300,bronze,37,51.98,1
A0044,1773699927000,86.18,4780.61,544,bronze,0,43.05,1
A0044,1773699927000,86.18,4780.61,469,silver,0,43.05,1
A0060,1773429192000,96.13,9614.79,651,silver,23,51.8,1
A0070,1773605593000,25.42,2987.05,713,bronze,35,47.54,0
A0076,1773623548000,30.93,3856.31,391,gold,1,46.85,0
A0079,1773582000000,15.67,8744.9,650,silver,38,59.99,1
A0079,1773582000000,15.67,8744.9,707,silver,38,59.99,1
A0084,1773392158000,7.05,4192.66,435,silver,13,50.64,1
A0092,1773625211000,32.27,4110.16,302,gold,17,51.37,0
A0012,1773351720000,17.5,7275.84,530,bronze,0,44.41,1
A0012,1773351720000,17.5,7275.84,574,bronze,0,44.41,1
A0066,1773329133000,56.31,1197.03,393,bronze,20,48.35,1
A0001,1773482046000,12.62,7794.85,301,bronze,6,48.71,0
A0001,1773482046000,12.62,7794.85,322,bronze,6,48.71,0
A0002,1773533318000,42.3,3487.04,314,silver,10,49.18,1
A0002,1773533318000,42.3,3487.04,394,gold,10,49.18,1
A0005,1773584013000,61.58,5060.23,622,bronze,38,41.47,0
A0016,1773530553000,26.94,2753.49,667,gold,29,46.66,1
A0021,1773421617000,70.01,3803.53,405,gold,29,49.01,0
A0021,1773421617000,70.01,3803.53,368,silver,29,49.01,0
A0023,1773639389000,24.9,3769.84,788,silver,8,57.62,0
A0028,1773418467000,148.46,3266.81,683,gold,36,54.22,0
A0028,1773418467000,148.46,3266.81,621,bronze,36,54.22,0
A0036,1773600028000,37.49,5486.17,337,gold,37,51.98,1
A0036,1773600028000,37.49,5486.17,300,bronze,37,51.98,1
A0044,1773699927000,166.02,4186.16,544,bronze,0,43.05,1
A0044,1773699927000,166.02,4186.16,469,silver,0,43.05,1
A0060,1773429192000,10.36,9539.55,651,silver,23,51.8,1
A0070,1773605593000,36.72,3275.93,713,bronze,35,47.54,0
A0076,1773623548000,19.7,3638.25,391,gold,1,46.85,0
A0079,1773582000000,23.84,8127.09,650,silver,38,59.99,1
A0079,1773582000000,23.84,8127.09,707,silver,38,59.99,1
A0084,1773392158000,50.36,4053.73,435,silver,13,50.64,1
A0092,1773625211000,71.39,3847.13,302,gold,17,51.37,0
A0012,1773351720000,56.36,6804.3,530,bronze,0,44.41,1
A0012,1773351720000,56.36,6804.3,574,bronze,0,44.41,1
A0066,1773329133000,139.38,860.11,393,bronze,20,48.35,1
A0001,1773482046000,5.6,7103.64,301,bronze,6,48.71,0
A0001,1773482046000,5.6,7103.64,322,bronze,6,48.71,0
A0002,1773533318000,25.77,3760.77,314,silver,10,49.18,1
A0002,1773533318000,25.77,3760.77,394,gold,10,49.18,1
A0005,1773584013000,33.42,4787.26,622,bronze,38,41.47,0
A0016,1773530553000,47.81,3370.43,667,gold,29,46.66,1
A0021,1773421617000,25.32,3978.28,405,gold,29,49.01,0
A0021,1773421617000,25.32,3978.28,368,silver,29,49.01,0
A0023,1773639389000,71.45,3816.88,788,silver,8,57.62,0
A0028,1773418467000,13.2,3983.59,683,gold,36,54.22,0
A0028,1773418467000,13.2,3983.59,621,bronze,36,54.22,0
A0036,1773600028000,18.9,5804.3,337,gold,37,51.98,1
A0036,1773600028000,18.9,5804.3,300,bronze,37,51.98,1
A0044,1773699927000,240.51,4736.34,544,bronze,0,43.05,1
