row_id,f1,f2,f3,f4
R00400,-1.434582,11.899789,7.085195,2.991048
R00401,-2.213101,6.341826,6.347313,-1.996127
R00402,-1.270762,7.348845,6.2793,0.083817
R00403,-1.251311,10.360436,5.993311,-5.082022
R00404,0.173574,7.473661,5.822255,5.001639
R00405,1.249501,8.744464,6.49208,1.898785
R00406,-1.018599,3.534423,6.375843,5.484132
R00407,-0.361097,-2.212983,6.202184,-0.882787
R00408,-2.854156,2.943469,6.497374,-1.633521
R00409,-2.951402,6.173105,5.888673,-2.852245
R00410,2.150555,7.89904,6.605337,3.033734
R00411,0.323778,4.669661,6.026189,-3.479097
R00412,-0.485693,6.089794,6.455435,0.766299
R00413,2.650661,7.654646,6.353202,1.921545
R00414,4.542198,6.071243,6.766204,2.266075
R00415,2.190531,6.941453,6.788673,-1.019668
R00416,1.478103,7.033133,6.291209,0.283222
R00417,-2.068841,9.979546,6.729785,-0.252505
R00418,2.436862,6.235048,7.305199,-1.294296
R00419,0.665792,5.908225,6.89915,-1.662133
R00420,-0.47917,7.268087,6.949637,4.171266
R00421,-2.820413,11.588249,5.546066,-0.864925
R00422,-0.777971,2.787097,8.181002,-1.740282
R00423,-1.602797,3.556268,5.955665,-2.890247
R00424,-1.439132,2.127615,6.032797,-1.783735
R00425,0.047707,5.553876,5.627382,3.809878
R00426,-1.017079,6.443536,5.620124,-1.56741
R00427,0.055109,6.532762,6.702988,-2.289865
R00428,-0.084244,8.459288,6.831269,-0.300691
R00429,-0.469287,10.285529,5.840178,1.722537
R00430,3.536129,11.379937,6.840562,-1.984742
R00431,-0.610291,7.268817,6.060443,-0.78015
R00432,4.879102,9.28839,7.147213,-5.02674
R00433,0.845135,9.246156,5.986526,2.860125
R00434,3.852293,7.192682,7.005869,0.039895
R00435,0.315191,8.403824,7.0742,0.753047
R00436,-1.769741,5.757974,6.202017,-1.862248
R00437,-4.141284,8.761642,6.133116,-1.87172
R00438,1.457781,8.345145,5.643298,0.05942
R00439,-2.637246,3.586056,6.364416,2.118591
R00440,-1.145969,3.809312,5.839374,-1.405501
R00441,-4.76649,1.487454,5.969673,-1.559009
R00442,-3.07195,5.469979,6.420242,-1.882336
R00443,-1.871008,3.057166,6.93629,-2.466549
R00444,2.764264,0.534269,5.993446,3.013976
R00445,2.987847,9.588286,7.263972,-6.031249
R00446,-0.352508,5.086344,6.393815,2.494748
R00447,-0.005142,2.656384,6.82995,-0.830003
R00448,-3.123345,8.798679,6.22131,1.827536
R00449,-1.971728,3.684495,6.270483,-1.791486
R00450,-0.186212,8.878462,6.025939,-0.75297
R00451,1.312146,5.396751,6.82289,-4.247579
R00452,-0.577394,9.565158,5.697672,-0.414074
R00453,2.25037,7.583797,5.435725,-0.329144
R00454,2.763346,6.186253,6.558039,0.638907
R00455,-0.137245,2.605189,6.62539,-2.695924
R00456,3.594204,4.756255,5.49327,-3.058026
R00457,-2.690927,6.240552,5.911535,-0.986856
R00458,-1.900049,1.103126,6.04713,-1.463085
R00459,3.069694,10.710339,6.666536,3.013196
R00460,2.291663,7.758757,6.450013,4.275912
R00461,2.435686,2.379053,6.147779,2.313451
R00462,-1.882505,3.559101,6.534577,-0.199502
R00463,0.452652,7.559758,6.511561,2.275286
R00464,1.492136,9.814208,6.051759,0.841797
R00465,3.607711,0.205431,6.269286,-1.164125
R00466,0.192269,8.924382,6.75577,0.993772
R00467,1.77923,9.619042,5.599037,-5.566005
R00468,-2.105668,8.205232,6.015254,-0.007367
R00469,-0.132326,0.2739,5.546629,-6.756276
R00470,0.488046,12.233658,6.36861,-3.34888
R00471,3.679181,9.612681,6.52629,-0.265713
R00472,-2.296913,8.727033,6.586159,-5.190597
R00473,1.947612,5.708153,6.208248,2.373246
R00474,-5.456335,8.657167,6.823983,-3.053656
R00475,-1.063136,6.36185,6.111813,-3.09796
R00476,-4.332929,5.125868,6.572259,2.920674
R00477,-0.137638,2.907293,6.360314,-0.937707
R00478,-0.515901,6.948303,6.55457,-5.053489
R00479,2.878085,4.552263,5.845966,1.887534
R00480,3.119149,7.506495,6.19563,1.952405
R00481,-1.258327,4.70756,7.076938,-1.739227
R00482,1.073831,4.028463,6.905417,-1.083071
R00483,-1.352202,7.003139,6.507303,4.110939
R00484,-3.251998,8.826576,5.955607,2.451512
R00485,-5.561505,6.222698,5.972364,-3.223031
R00486,-1.976059,7.334359,6.507331,-1.745755
R00487,-0.9262,8.706703,6.097107,-0.80335
R00488,2.979232,1.811834,5.223939,2.434683
R00489,3.096376,2.709175,6.458588,3.131922
R00490,0.356498,6.831221,6.687293,1.883783
R00491,-1.527808,8.870723,7.628492,8.740665
R00492,-1.348536,8.188468,6.525563,-1.758235
