date,pm25_lag1,temperature,humidity,wind_speed,pressure,precipitation
2025-04-07,3.6,5.8,63,16.5,1020.5,0.0
2025-04-11,3.3,5.5,61,18.6,1003.4,0.0
2025-04-18,8.7,10.1,90,10.0,1006.1,0.9
2025-04-21,2.8,7.0,87,9.7,1009.3,0.3
2025-04-23,4.9,7.5,89,12.7,1013.9,1.6
2025-04-28,3.4,11.9,67,26.2,1012.0,0.2
2025-05-05,1.6,7.0,54,21.3,1008.3,0.0
2025-05-07,2.4,5.6,59,14.5,1019.1,0.5
2025-05-10,3.5,6.6,68,9.4,1020.5,0.0
2025-05-13,4.2,11.8,65,8.2,1011.6,2.1
2025-05-19,2.9,14.5,48,16.7,1011.3,0.0
2025-05-22,2.4,6.8,84,20.0,998.3,1.3
2025-05-24,2.0,10.0,67,23.8,1008.9,0.1
2025-05-27,3.2,12.7,67,24.3,1006.8,2.2
2025-05-31,2.9,14.2,53,16.6,1007.7,0.0
2025-06-06,5.2,14.3,77,23.6,998.2,6.9
2025-06-23,2.3,14.6,82,24.9,996.0,11.8
2025-06-25,2.2,15.6,78,11.5,996.1,1.0
2025-06-28,3.2,16.5,74,20.1,1004.7,0.0
2025-07-01,2.4,19.7,63,16.2,1012.7,0.0
2025-07-03,6.0,17.0,76,42.0,1003.9,3.5
2025-07-05,2.3,14.1,90,14.1,1003.1,8.7
2025-07-08,3.7,14.4,78,16.5,1002.1,4.6
2025-07-10,4.1,18.1,66,13.3,1013.9,0.0
2025-07-19,7.7,21.1,69,10.6,1010.3,0.0
2025-07-24,8.5,22.2,76,13.3,1006.5,2.3
2025-07-29,5.5,20.3,82,34.4,995.8,21.3
2025-08-01,4.1,17.3,88,12.0,1002.9,8.4
2025-08-08,4.0,17.8,74,15.5,1009.3,2.1
2025-08-10,4.9,17.4,67,17.4,1011.6,0.1
2025-08-19,3.9,15.1,67,15.3,1008.0,0.4
2025-08-23,3.1,12.0,75,22.1,1002.5,5.1
2025-08-25,1.7,12.4,69,22.6,1005.7,0.5
2025-09-06,8.5,17.5,87,12.4,1015.7,1.6
2025-09-09,8.3,17.7,83,13.8,1019.1,0.0
2025-09-18,2.4,13.8,83,19.5,1002.6,1.7
2025-09-20,3.2,17.6,81,23.0,1004.0,1.2
2025-09-23,1.4,9.2,64,14.5,1017.7,0.0
2025-10-02,4.5,8.5,86,6.9,1029.4,0.2
2025-10-09,3.1,10.0,86,20.4,1006.2,2.9
2025-10-18,2.6,3.0,82,11.8,1019.9,0.0
2025-10-20,2.8,6.7,79,17.0,1009.4,0.0
2025-10-23,9.8,10.7,95,16.6,993.4,0.3
2025-10-26,5.8,7.0,93,10.3,984.0,0.5
2025-10-30,6.1,8.0,96,17.4,992.9,14.8
2025-11-01,2.1,7.2,86,19.5,1011.4,0.0
2025-11-04,5.1,10.3,92,19.0,1006.1,0.7
2025-11-07,7.9,9.0,93,9.5,1009.6,5.2
2025-11-15,2.5,-0.0,77,18.5,1011.5,0.0
2025-11-20,5.3,-1.8,89,18.8,1002.1,0.4
2025-11-24,8.9,-1.3,90,8.6,1000.7,0.0
2025-11-26,9.0,-3.2,98,9.4,1015.3,0.0
2025-11-28,4.9,5.9,96,23.3,999.0,2.6
2025-12-19,6.3,6.7,93,20.6,1006.4,1.2
2025-12-23,3.2,-1.6,84,13.1,1031.9,0.2
2025-12-26,3.5,1.5,92,13.9,1024.6,0.0
2026-01-04,2.5,-5.4,89,21.7,996.2,0.0
2026-01-11,1.8,-3.4,84,26.6,1014.0,1.1
2026-01-21,13.6,-0.5,91,22.2,1017.2,0.8
2026-01-26,5.6,-5.1,90,15.6,1009.0,0.2
2026-01-31,2.7,-5.2,81,14.3,1024.7,0.0
2026-02-04,3.6,-6.3,87,16.6,1022.5,0.0
2026-02-12,5.7,-7.4,88,16.2,991.6,0.0
2026-02-15,5.8,-11.3,85,13.6,1013.2,0.0
2026-02-17,4.4,-5.5,77,12.7,1009.2,0.0
2026-02-22,5.5,-4.5,84,17.3,1005.3,0.0
2026-02-26,5.9,2.9,92,23.8,1007.2,0.6
2026-03-09,9.9,4.8,80,18.4,1017.3,0.8
2026-03-11,15.9,4.6,93,17.2,1004.2,0.1
2026-03-15,4.1,2.1,94,13.3,1005.0,6.3
2026-03-18,8.1,5.5,76,16.4,1022.6,0.0
2026-03-20,11.2,4.5,69,12.4,1018.1,0.0
2026-03-25,6.1,6.2,88,27.6,980.7,7.4
2026-03-27,2.6,5.1,69,14.2,1008.4,0.0
2026-03-30,4.0,4.1,82,25.8,1004.2,0.7
2026-04-01,5.5,6.6,71,16.3,1015.8,0.0
2026-04-03,4.9,2.4,94,14.4,1004.4,7.9
2026-04-13,5.5,6.3,70,15.3,1025.1,0.0
2026-04-15,6.6,7.6,68,15.0,1021.2,0.9
2026-04-17,4.7,9.2,62,10.1,1020.2,0.0
2026-04-29,2.2,8.4,52,14.5,1024.5,0.0
2026-05-01,3.3,15.3,51,21.1,1016.9,0.0
2026-05-04,3.5,9.9,68,21.9,1000.8,5.3
2026-05-07,2.5,8.6,40,12.9,1013.9,0.0
2026-05-09,2.7,9.6,48,13.8,1021.5,0.0
2026-05-11,2.9,10.6,59,14.7,1000.4,1.9
2026-05-16,5.9,10.3,81,16.9,998.4,6.7
2026-05-18,2.7,12.0,67,11.2,1016.6,0.0
2026-05-22,5.2,15.9,68,15.3,1017.2,0.7
2026-05-26,2.7,14.9,61,24.2,1010.4,0.8
