row_id,status,balance,updated_at
R00323,dormant,6558.07,1770151980000
R00232,dormant,2320.83,1770408000000
R00303,dormant,6631.65,1770547620000
R00357,dormant,6975.68,1770291000000
R00261,dormant,6167.45,1770084060000
R00084,dormant,8010.74,1770288900000
R00153,active,3943.41,1770305760000
R00196,closed,5435.45,1770549780000
R00388,closed,4068.94,1770593760000
R00077,closed,4497.77,1770681540000
R00247,dormant,7003.98,1770333660000
R00167,active,8204.28,1770429240000
R00075,closed,5782.16,1770220920000
R00222,active,7691.21,1770612780000
R00225,dormant,5461.02,1770173340000
R00081,closed,4229.57,1770397740000
R00030,closed,4710.17,1770326880000
R00065,closed,4441.9,1770241440000
R00066,closed,5817.51,1770390360000
R00363,closed,3919.69,1770670380000
R00243,dormant,6543.99,1770190140000
R00012,active,5637.31,1770369540000
R00249,closed,6958.08,1770533640000
R00109,dormant,3933.23,1770445200000
R00045,dormant,6566.51,1770757200000
R00022,active,4309.25,1770169620000
R00091,dormant,6487.54,1770317580000
R00018,dormant,6837.29,1770653220000
R00372,closed,5868.13,1770401040000
R00218,closed,4549.88,1770394200000
R00293,dormant,6398.48,1770476760000
R00349,dormant,4072.73,1770501360000
R00008,dormant,5426.59,1770351120000
R00368,closed,6584.96,1770490620000
R00125,dormant,2923.34,1770124680000
R00172,active,4218.67,1770395640000
R00322,dormant,5770.86,1770309600000
R00330,closed,3750.14,1770453240000
R00381,closed,8725.11,1770178860000
R00384,closed,10072.61,1770484980000
R00069,active,6226.36,1770395280000
R00390,closed,7309.18,1770210180000
R00371,active,4703.43,1770705720000
R00242,active,4673.21,1770646980000
R00177,active,1220.6,1770583920000
R00024,active,-109.53,1770440880000
R00325,closed,3070.09,1770422400000
R00046,closed,3925.16,1770465780000
R00148,dormant,1982.2,1770337080000
R00124,closed,5578.5,1770117720000
R00333,closed,3236.34,1770619920000
R00206,dormant,3834.13,1770282120000
R00033,dormant,1530.73,1770370860000
R00037,closed,1102.63,1770299100000
R00240,closed,3680.06,1770502860000
R00324,dormant,9981.04,1770621420000
R00158,active,5470.69,1770257160000
R00229,active,7130.97,1770484380000
R00127,active,3674.9,1770089580000
R00181,active,2238.37,1770360300000
R00078,active,7640.65,1770290880000
R00059,closed,1815.53,1770706200000
R00205,closed,4804.25,1770048420000
R00378,dormant,3613.14,1770115260000
R00122,dormant,3849.75,1770185940000
R00391,dormant,5216.94,1770003120000
R00252,closed,6391.9,1770477300000
R00129,dormant,4448.39,1770116760000
R00279,dormant,7646.92,1770597960000
R00366,closed,2443.61,1770287460000
R00256,closed,4889.49,1770141120000
R00009,dormant,5382.31,1770232500000
R00317,active,3726.21,1770300000000
R00157,dormant,5618.02,1770379860000
R00290,active,7211.85,1770307380000
R00284,active,4027.37,1770384540000
R00283,dormant,5468.35,1770187620000
R00395,active,3948.6,1770166980000
R00288,active,7230.56,1770168660000
R00191,closed,4396.76,1770319080000
R00166,closed,2813.27,1770535080000
R00294,closed,7342.93,1770195000000
R00377,active,1297.88,1770540960000
R00255,active,7132.62,1770244980000
R00189,closed,-525.06,1770308700000
R00394,active,5876.7,1770074040000
R00176,dormant,5439.18,1769993220000
R00207,closed,1486.08,1770455100000
R00123,active,3497.88,1770025020000
R00102,closed,3887.39,1770462000000
