row_id,account_id,event_time,amount,category
R00339,A0088,1772669520000,17.82,grocery
R00340,A0098,1772669760000,10.86,salary
R00341,A0051,1772669940000,7.94,travel
R00342,A0064,1772670060000,8.51,travel
R00343,A0043,1772670900000,57.98,other
R00344,A0036,1772671200000,21.08,travel
R00345,A0139,1772675280000,61.98,rent
R00346,A0064,1772675520000,15.74,travel
R00347,A0016,1772676000000,44.42,grocery
R00348,A0122,1772677080000,66.93,rent
R00349,A0128,1772677320000,66.01,salary
R00350,A0099,1772677500000,19.05,travel
R00351,A0062,1772678700000,88.48,salary
R00352,A0071,1772678700000,7.35,grocery
R00353,A0129,1772678880000,21.68,salary
R00354,A0049,1772680740000,95.38,salary
R00355,A0029,1772680860000,18.68,rent
R00356,A0033,1772681280000,27.5,grocery
R00357,A0107,1772682900000,8.65,other
R00358,A0027,1772683200000,3.42,grocery
R00359,A0018,1772683680000,14.13,travel
R00360,A0060,1772683980000,19.77,grocery
R00361,A0078,1772685420000,1.78,grocery
R00362,A0136,1772685720000,19.76,travel
R00363,A0051,1772686140000,17.49,travel
R00364,A0146,1772686440000,14.27,grocery
R00365,A0070,1772686980000,23.94,salary
R00366,A0103,1772687580000,29.77,salary
R00367,A0087,1772689860000,6.45,salary
R00368,A0114,1772690100000,210.96,salary
R00369,A0137,1772691060000,8.35,grocery
R00370,A0104,1772691120000,37.01,rent
R00371,A0089,1772691240000,7.42,other
R00372,A0146,1772692260000,28.09,rent
R00373,A0110,1772692860000,83.9,rent
R00374,A0149,1772693280000,141.66,other
R00375,A0087,1772693400000,26.88,salary
R00376,A0052,1772693460000,21.98,salary
R00377,A0097,1772694060000,110.62,travel
R00378,A0116,1772694120000,18.45,travel
R00379,A0103,1772694300000,17.69,grocery
R00380,A0033,1772695200000,5.38,grocery
R00381,A0085,1772695260000,21.58,other
R00382,A0060,1772695620000,117.18,travel
R00383,A0065,1772696220000,31.93,rent
R00384,A0104,1772699880000,13.41,rent
R00385,A0084,1772700660000,39.27,travel
R00386,A0093,1772701200000,40.34,travel
R00387,A0131,1772702100000,10.14,grocery
R00388,A0102,1772702940000,5.33,salary
R00389,A0045,1772703360000,183.97,travel
R00390,A0144,1772703720000,17.81,other
R00391,A0072,1772704800000,44.01,rent
R00392,A0077,1772705400000,32.68,grocery
R00393,A0104,1772705400000,12.72,salary
R00394,A0019,1772706240000,3.5,rent
R00395,A0054,1772706240000,25.39,other
R00396,A0066,1772707080000,13.51,travel
R00397,A0080,1772707440000,10.65,other
R00398,A0147,1772707800000,23.94,other
R00399,A0108,1772708040000,8.67,travel
R00400,A0121,1772711100000,17.75,grocery
R00401,A0136,1772711760000,16.19,salary
R00402,A0113,1772712000000,23.18,travel
R00403,A0071,1772712360000,36.0,salary
R00404,A0105,1772712540000,12.93,travel
R00405,A0002,1772714580000,2.62,travel
R00406,A0020,1772714820000,22.62,other
R00407,A0126,1772715840000,17.87,travel
R00408,A0015,1772716620000,129.73,rent
R00409,A0118,1772716920000,50.81,travel
R00410,A0089,1772717640000,38.5,salary
R00411,A0063,1772719320000,2.57,travel
R00412,A0020,1772719500000,269.91,grocery
R00413,A0136,1772719800000,77.75,salary
R00414,A0037,1772719920000,33.15,other
R00415,A0091,1772721000000,21.24,grocery
R00416,A0136,1772721360000,23.67,grocery
R00417,A0096,1772727720000,38.66,salary
R00418,A0002,1772729700000,57.54,grocery
R00419,A0022,1772730600000,2.8,travel
R00420,A0072,1772731080000,49.27,other
R00421,A0002,1772731200000,74.31,travel
R00422,A0124,1772731740000,39.59,grocery
R00423,A0069,1772733780000,69.7,rent
R00424,A0042,1772734140000,16.52,other
R00425,A0033,1772734440000,44.91,other
R00426,A0057,1772734440000,46.53,other
R00427,A0049,1772734740000,1.39,grocery
R00428,A0107,1772734800000,17.31,grocery
R00429,A0106,1772734980000,25.64,other
R00430,A0135,1772734980000,12.17,other
R00431,A0011,1772735280000,12.66,travel
R00432,A0101,1772735820000,41.59,grocery
R00433,A0058,1772736240000,8.16,grocery
R00434,A0007,1772736480000,27.05,grocery
R00435,A0147,1772736540000,33.12,salary
R00436,A0011,1772737680000,91.24,rent
R00437,A0034,1772737740000,4.34,grocery
R00438,A0107,1772739360000,130.57,other
R00439,A0007,1772741280000,3.63,rent
R00440,A0078,1772741580000,4.8,grocery
R00441,A0056,1772742240000,15.15,other
R00442,A0085,1772743680000,60.63,rent
R00443,A0074,1772744100000,12.11,travel
R00444,A0025,1772744220000,35.61,rent
R00445,A0012,1772744400000,23.47,other
R00446,A0142,1772745840000,22.26,grocery
R00447,A0044,1772746800000,2.98,other
R00448,A0073,1772747280000,7.05,salary
R00449,A0136,1772749200000,51.08,salary
R00450,A0143,1772751120000,22.27,rent
R00451,A0132,1772751300000,30.36,other
R00452,A0098,1772751600000,21.54,rent
R00453,A0001,1772752620000,4.61,grocery
R00454,A0119,1772752740000,7.67,rent
R00455,A0018,1772753040000,8.29,rent
R00456,A0144,1772753100000,32.35,salary
R00457,A0007,1772753760000,49.92,travel
