account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772974022000,57.77,3546.9,818,bronze,21,11.48,1
A0001,1772248961000,33.03,8277.34,605,bronze,13,13.96,1
A0002,1772780416000,199.77,1827.71,366,silver,17,87.62,0
A0003,1773078206000,29.56,5078.51,648,bronze,5,10.87,1
A0004,1773629283000,99.11,5787.01,407,bronze,5,90.1,0
A0005,1772645674000,139.79,7790.74,546,silver,34,91.7,0
A0006,1772276546000,52.41,2268.0,514,gold,1,11.01,1
A0007,1772611597000,106.09,6112.94,530,gold,7,8.32,1
A0008,1773596072000,1735.53,4832.92,662,silver,18,90.02,0
A0009,1772652365000,44.48,6001.73,758,silver,16,5.45,1
A0010,1772882872000,20.91,1924.79,638,gold,15,6.12,1
A0011,1772244038000,31.88,6345.5,812,gold,24,12.28,1
A0012,1773580453000,16.51,9921.2,657,gold,2,86.63,0
A0013,1771990057000,99.34,3288.48,662,silver,20,87.37,0
A0014,1772152670000,15.46,1784.36,423,gold,37,88.73,0
A0015,1772214255000,9.29,2931.92,437,silver,19,92.43,0
A0016,1773171865000,48.82,1943.2,640,bronze,31,9.53,1
A0017,1772340173000,58.72,5723.37,510,silver,31,14.83,1
A0018,1772212574000,13.31,6994.12,504,bronze,15,5.01,1
A0019,1772072512000,181.19,891.52,507,bronze,7,8.19,1
A0020,1772550330000,45.1,2796.34,712,silver,30,91.45,0
A0021,1772999537000,5.72,5902.52,400,bronze,18,86.61,0
A0022,1772794281000,34.68,4642.86,369,silver,5,5.26,1
A0023,1772876883000,182.23,7969.27,353,silver,21,89.89,0
A0024,1772379587000,19.75,1045.31,530,silver,34,7.06,1
A0025,1772214908000,28.69,5726.33,642,silver,30,93.12,0
A0026,1773689925000,56.05,2879.62,416,silver,26,93.6,0
A0027,1772142351000,12.01,985.75,358,gold,3,93.75,0
A0028,1772760620000,10.77,-455.63,764,bronze,2,94.8,0
A0029,1773666205000,31.47,2119.46,752,gold,18,12.97,1
A0030,1772913600000,25.32,5146.06,811,bronze,11,86.17,0
A0031,1772635236000,13.38,8609.76,669,bronze,2,13.22,1
A0032,1772216295000,41.3,1577.89,673,bronze,16,90.88,0
A0033,1772193442000,55.18,3936.4,702,bronze,7,12.24,1
A0034,1772557369000,14.24,4047.62,460,bronze,8,87.38,0
A0035,1773228278000,125.67,3541.66,549,gold,33,90.79,0
A0036,1772517051000,98.45,2256.71,813,bronze,14,88.84,0
A0037,1773649545000,18.49,6435.86,537,bronze,27,8.26,1
A0038,1773344049000,16.11,8058.04,557,silver,8,5.02,1
A0039,1773405016000,57.4,2049.99,470,silver,9,91.4,0
A0040,1773684111000,89.39,5538.51,810,silver,0,92.69,0
A0041,1773547756000,36.99,1754.4,835,gold,10,85.09,0
A0042,1772881033000,4.63,7478.55,692,gold,21,89.73,0
A0043,1773607052000,29.37,4282.5,808,silver,32,93.52,0
A0044,1772508557000,69.31,7542.24,616,bronze,15,85.88,0
A0045,1772988469000,52.47,5634.35,560,bronze,17,86.06,0
A0046,1773370874000,120.09,8991.42,829,silver,31,11.76,1
A0047,1772122916000,51.21,3982.86,325,bronze,20,85.31,0
A0048,1772349292000,34.18,8927.95,300,silver,33,8.09,1
A0049,1772871807000,118.68,5098.24,422,bronze,38,14.3,1
A0050,1772081518000,300.94,6405.15,662,gold,29,7.84,1
A0051,1773531003000,25.46,2818.99,636,silver,28,91.41,0
A0052,1773613951000,75.5,4871.23,431,gold,6,86.0,0
A0053,1773346794000,130.59,7402.37,417,gold,8,11.55,1
A0054,1773026322000,5.79,7735.25,848,gold,11,87.34,0
A0055,1772162357000,31.55,1846.34,493,bronze,20,92.66,0
A0056,1772414725000,45.56,2545.18,403,gold,35,11.97,1
A0057,1772476000000,31.81,5046.89,449,bronze,17,10.23,1
A0058,1772347396000,89.61,6013.21,756,silver,6,87.72,0
A0059,1772880942000,68.1,6931.54,459,silver,3,93.25,0
A0060,1773413383000,9.28,7520.58,850,bronze,9,94.31,0
A0061,1772315591000,119.16,6141.95,692,gold,20,13.86,1
A0062,1772379211000,32.87,3702.71,738,gold,29,93.69,0
