user_id,item_id
U0000,I0006
U0000,I0014
U0000,I0034
U0000,I0039
U0000,I0057
U0000,I0059
U0001,I0003
U0001,I0014
U0001,I0032
U0001,I0042
U0001,I0043
U0001,I0049
U0001,I0050
U0002,I0012
U0002,I0022
U0002,I0044
U0002,I0053
U0003,I0017
U0003,I0033
U0003,I0044
U0003,I0046
U0003,I0055
U0003,I0057
U0004,I0026
U0004,I0028
U0004,I0032
U0004,I0036
U0004,I0040
U0004,I0041
U0004,I0055
U0005,I0007
U0005,I0026
U0005,I0028
U0005,I0031
U0005,I0036
U0005,I0037
U0005,I0043
U0006,I0000
U0006,I0003
U0006,I0010
U0006,I0028
U0006,I0037
U0006,I0046
U0006,I0055
U0007,I0000
U0007,I0012
U0007,I0018
U0007,I0026
U0007,I0034
U0008,I0009
U0008,I0018
U0008,I0027
U0008,I0031
U0008,I0032
U0008,I0033
U0008,I0037
U0008,I0045
U0008,I0046
U0008,I0049
U0009,I0008
U0009,I0013
U0009,I0017
U0009,I0030
U0009,I0041
U0009,I0045
U0009,I0052
U0009,I0053
U0010,I0000
U0010,I0007
U0010,I0015
U0010,I0016
U0010,I0018
U0010,I0031
U0010,I0050
U0010,I0056
U0011,I0001
U0011,I0010
U0011,I0018
U0011,I0022
U0011,I0027
U0011,I0035
U0011,I0045
U0011,I0049
U0011,I0055
U0012,I0010
U0012,I0023
U0012,I0028
U0012,I0036
U0012,I0045
U0012,I0046
U0012,I0048
U0012,I0050
U0012,I0052
U0013,I0012
U0013,I0015
U0013,I0023
U0013,I0035
U0013,I0036
U0013,I0052
U0013,I0055
U0014,I0010
U0014,I0020
U0014,I0024
U0014,I0025
U0014,I0027
U0014,I0042
U0014,I0048
U0014,I0051
U0014,I0058
U0014,I0059
U0015,I0003
U0015,I0012
U0015,I0020
U0015,I0022
U0015,I0031
U0015,I0032
U0015,I0033
U0015,I0036
U0016,I0004
U0016,I0005
U0016,I0026
U0016,I0029
U0016,I0033
U0016,I0045
U0016,I0046
U0017,I0003
U0017,I0012
U0017,I0014
U0017,I0024
U0017,I0025
U0017,I0035
U0017,I0036
U0017,I0037
U0017,I0039
U0018,I0013
U0018,I0014
U0018,I0020
U0018,I0027
U0018,I0032
U0018,I0035
U0018,I0049
U0018,I0055
U0019,I0016
U0019,I0023
U0019,I0044
U0019,I0057
U0019,I0058
U0020,I0004
U0020,I0008
U0020,I0011
U0020,I0017
U0020,I0023
U0020,I0032
U0020,I0050
U0020,I0056
U0021,I0000
U0021,I0023
U0021,I0033
U0021,I0039
U0022,I0001
U0022,I0004
U0022,I0028
U0022,I0033
U0022,I0044
U0022,I0047
U0022,I0050
U0023,I0009
U0023,I0019
U0023,I0024
U0023,I0033
U0023,I0034
U0023,I0050
U0023,I0056
U0023,I0057
U0024,I0009
U0024,I0033
U0024,I0037
U0024,I0038
U0024,I0041
U0024,I0045
U0024,I0046
U0024,I0057
U0025,I0007
U0025,I0012
U0025,I0026
U0025,I0027
U0025,I0031
U0025,I0036
U0025,I0051
U0025,I0052
U0025,I0055
U0025,I0058
U0026,I0026
U0026,I0042
U0026,I0044
U0026,I0049
U0026,I0054
U0027,I0000
U0027,I0012
U0027,I0015
U0027,I0018
U0027,I0019
U0027,I0040
U0027,I0042
U0027,I0049
U0028,I0015
U0028,I0028
U0028,I0031
U0028,I0032
U0028,I0051
U0028,I0054
U0028,I0059
U0029,I0019
U0029,I0021
U0029,I0046
U0029,I0050
U0030,I0005
U0030,I0006
U0030,I0012
U0030,I0014
U0030,I0019
U0030,I0038
U0030,I0040
U0030,I0052
U0031,I0013
U0031,I0017
U0031,I0031
U0031,I0046
U0031,I0054
U0031,I0055
U0032,I0009
U0032,I0013
U0032,I0018
U0032,I0027
U0032,I0034
U0032,I0036
U0032,I0039
U0032,I0048
U0032,I0054
U0032,I0059
U0033,I0005
U0033,I0017
U0033,I0026
U0033,I0041
U0033,I0047
U0033,I0053
U0033,I0059
U0034,I0008
U0034,I0016
U0034,I0022
U0034,I0023
U0034,I0026
U0034,I0045
U0034,I0055
U0034,I0057
U0035,I0002
U0035,I0008
U0035,I0012
U0035,I0013
U0035,I0020
U0035,I0030
U0035,I0039
U0035,I0041
U0036,I0014
U0036,I0017
U0036,I0025
U0036,I0033
U0036,I0038
U0036,I0046
U0037,I0019
U0037,I0021
U0037,I0033
U0037,I0038
U0037,I0053
U0038,I0004
U0038,I0016
U0038,I0031
U0038,I0032
U0038,I0048
U0038,I0051
U0039,I0011
U0039,I0018
U0039,I0023
U0039,I0034
U0039,I0039
U0039,I0047
