row_id,account_id,event_time,amount,category
R00000,A0121,1772409720000,4.28,other
R00001,A0015,1772410140000,8.27,grocery
R00002,A0057,1772410800000,30.8,salary
R00003,A0090,1772412540000,7.53,grocery
R00004,A0004,1772413560000,88.68,other
R00005,A0146,1772414040000,38.57,salary
R00006,A0079,1772414100000,18.84,other
R00007,A0093,1772414280000,34.32,rent
R00008,A0099,1772415120000,109.26,rent
R00009,A0082,1772415240000,12.73,grocery
R00010,A0061,1772417280000,43.83,other
R00011,A0038,1772417400000,42.58,other
R00012,A0015,1772419380000,30.96,other
R00013,A0068,1772419560000,133.09,other
R00014,A0134,1772420760000,25.47,other
R00015,A0099,1772421180000,25.68,other
R00016,A0145,1772421360000,1.58,grocery
R00017,A0138,1772422140000,52.37,salary
R00018,A0071,1772422320000,18.26,other
R00019,A0106,1772422440000,14.7,grocery
R00020,A0140,1772422740000,133.25,grocery
R00021,A0096,1772423100000,1.63,other
R00022,A0013,1772424900000,5.24,grocery
R00023,A0115,1772425080000,10.4,other
R00024,A0007,1772425800000,44.97,grocery
R00025,A0118,1772426640000,18.32,grocery
R00026,A0107,1772426700000,19.41,rent
R00027,A0021,1772426820000,6.56,other
R00028,A0056,1772426940000,6.93,grocery
R00029,A0017,1772427960000,5.38,other
R00030,A0025,1772428080000,21.92,travel
R00031,A0025,1772428440000,18.01,salary
R00032,A0010,1772429100000,16.56,travel
R00033,A0047,1772432400000,9.51,other
R00034,A0072,1772434020000,11.57,rent
R00035,A0022,1772435340000,3.5,rent
R00036,A0036,1772435820000,8.0,other
R00037,A0057,1772436540000,4.34,travel
R00038,A0005,1772436780000,57.64,travel
R00039,A0043,1772436840000,9.69,salary
R00040,A0052,1772437200000,25.83,other
R00041,A0091,1772438760000,64.47,rent
R00042,A0040,1772440860000,10.75,grocery
R00043,A0062,1772441700000,37.77,other
R00044,A0069,1772442240000,24.89,other
R00045,A0058,1772443980000,72.12,salary
R00046,A0084,1772444400000,28.23,rent
R00047,A0034,1772444760000,6.6,salary
R00048,A0044,1772445000000,15.16,travel
R00049,A0128,1772445480000,19.3,salary
R00050,A0033,1772446380000,9.79,grocery
R00051,A0031,1772446620000,16.1,travel
R00052,A0125,1772448360000,25.35,grocery
R00053,A0110,1772449440000,2.67,travel
R00054,A0117,1772449680000,42.96,rent
R00055,A0033,1772450820000,11.19,other
R00056,A0043,1772451600000,39.04,other
R00057,A0110,1772451660000,28.65,grocery
R00058,A0040,1772451660000,37.86,grocery
R00059,A0122,1772452320000,8.71,travel
R00060,A0010,1772452920000,31.21,grocery
R00061,A0094,1772453460000,22.8,other
R00062,A0144,1772456940000,25.47,travel
R00063,A0106,1772457300000,12.29,other
R00064,A0138,1772458140000,10.93,other
R00065,A0131,1772458440000,19.69,salary
R00066,A0010,1772459880000,113.92,travel
R00067,A0067,1772459940000,28.9,travel
R00068,A0021,1772460000000,7.47,travel
R00069,A0097,1772460360000,12.86,grocery
R00070,A0064,1772461140000,8.29,rent
R00071,A0029,1772461860000,61.74,salary
R00072,A0119,1772462160000,5.75,grocery
R00073,A0097,1772462820000,32.12,grocery
R00074,A0117,1772463180000,12.74,grocery
R00075,A0018,1772463420000,33.13,other
R00076,A0139,1772463720000,44.73,travel
R00077,A0125,1772463840000,20.52,other
R00078,A0016,1772464200000,33.44,rent
R00079,A0079,1772465580000,91.03,rent
R00080,A0002,1772465640000,142.09,other
R00081,A0089,1772466120000,14.14,grocery
R00082,A0000,1772467860000,12.55,other
R00083,A0019,1772468340000,5.31,grocery
R00084,A0085,1772468580000,82.41,grocery
R00085,A0003,1772468700000,15.99,rent
R00086,A0056,1772469120000,14.0,other
R00087,A0023,1772469480000,17.96,travel
R00088,A0138,1772469900000,9.15,travel
R00089,A0096,1772470200000,109.91,other
R00090,A0077,1772470920000,9.38,grocery
R00091,A0121,1772471340000,34.98,other
R00092,A0077,1772471400000,26.88,grocery
R00093,A0051,1772471400000,59.97,other
R00094,A0135,1772471580000,85.54,travel
R00095,A0025,1772472240000,44.51,grocery
R00096,A0057,1772472420000,8.53,travel
R00097,A0115,1772473380000,10.57,salary
R00098,A0050,1772473740000,29.98,travel
R00099,A0145,1772475600000,8.31,other
R00100,A0136,1772475720000,48.27,other
R00101,A0116,1772476560000,6.43,rent
R00102,A0110,1772477220000,6.35,grocery
R00103,A0084,1772477340000,21.02,rent
R00104,A0016,1772478300000,26.12,rent
R00105,A0130,1772481720000,18.17,other
R00106,A0057,1772483100000,17.19,grocery
R00107,A0088,1772483160000,18.87,travel
R00108,A0080,1772483340000,26.22,other
R00109,A0098,1772483340000,10.39,other
R00110,A0000,1772483340000,6.29,rent
R00111,A0029,1772483460000,58.95,grocery
R00112,A0062,1772486880000,8.5,grocery
R00113,A0013,1772488680000,3.44,other
R00114,A0087,1772489100000,4.1,rent
R00115,A0097,1772489460000,20.65,other
R00116,A0117,1772490300000,12.67,travel
R00117,A0074,1772490720000,103.41,travel
R00118,A0148,1772492340000,11.6,other
R00119,A0068,1772492640000,13.33,salary
R00120,A0066,1772494560000,179.64,travel
R00121,A0047,1772495400000,2.75,grocery
