entity_id,f1,f2,f3,f4,f5
E0000,1.513388,22.024934,8.073368,14.359332,10.992368
E0001,1.616323,29.353216,13.21352,14.369961,6.282405
E0002,2.161198,6.449692,3.957272,19.402389,3.223176
E0003,2.554911,16.732331,2.254927,20.479498,5.958418
E0004,0.72573,2.007305,2.533225,10.717042,7.743498
E0005,2.968047,13.092263,5.260814,12.624276,8.890076
E0006,1.300519,7.43563,1.996361,31.869138,7.585771
E0007,2.454685,3.763183,11.393768,4.816451,5.573139
E0008,2.755859,5.507271,20.24846,2.913766,7.900338
E0009,2.332633,22.184009,4.628043,11.455624,7.28236
E0010,2.681842,3.535935,3.815616,2.47274,4.249662
E0011,2.865043,4.393299,2.370659,6.259581,7.653984
E0012,1.691278,6.064026,5.368778,4.196945,5.522475
E0013,2.71087,9.346696,14.203279,13.401139,41.779774
E0014,2.973917,10.710669,8.982062,10.4807,7.493615
E0015,3.146383,4.476669,3.188813,19.828422,3.535537
E0016,2.152998,10.98403,4.974947,4.216639,4.142007
E0017,1.419001,6.890972,34.0915,10.502932,8.234554
E0018,1.892882,5.849826,8.895431,11.76507,9.581457
E0019,1.454934,14.807793,22.522566,18.382448,4.922168
E0020,2.355398,11.931777,12.890959,9.688217,3.177444
E0021,1.955074,6.395673,6.901982,48.603064,5.151913
E0022,1.698996,3.648137,10.790232,5.666194,4.060603
E0023,2.581662,18.960583,37.095359,13.393401,8.871949
E0024,2.481794,5.961084,23.046689,8.277645,10.509821
E0025,2.053311,26.656881,9.662146,12.584042,2.688354
E0026,1.325699,5.420149,12.372258,5.913503,3.695225
E0027,2.044214,2.762197,8.189548,9.309551,7.213945
E0028,1.937141,16.320599,12.422406,1.869595,8.408937
E0029,1.464779,24.078181,7.344567,16.144656,17.611223
E0030,1.979872,9.0051,32.37528,58.601265,5.345088
E0031,2.134817,30.784568,24.166229,9.619947,2.309658
E0032,2.277197,11.140935,7.231546,14.079272,7.010756
E0033,2.263742,3.298762,5.460976,12.504559,11.242316
E0034,2.624617,5.231212,9.008837,12.803205,4.344323
E0035,1.830308,4.040188,9.923685,8.905653,5.564252
E0036,0.816426,1.493374,7.491348,1.223498,19.691414
E0037,1.296362,9.732746,9.353267,18.996412,5.699365
E0038,2.682611,2.016789,10.816479,13.896394,12.411558
E0039,2.341404,6.127182,13.841631,13.001764,3.937174
E0040,3.332961,23.560385,8.827472,8.994469,54.175835
E0041,2.011661,7.096567,10.183327,5.165847,5.039616
E0042,2.001742,26.070309,9.135029,3.745421,23.023956
E0043,1.985237,8.311364,2.404518,11.93927,5.740223
E0044,2.468696,3.220391,3.48769,3.875993,1.687704
