account_id,event_time,sessions_7d
A0000,1767365947000,25
A0000,1767977664000,8
A0000,1768527605000,35
A0000,1769189039000,27
A0000,1769791849000,13
A0000,1770368404000,4
A0000,1770955151000,2
A0000,1771597219000,18
A0000,1772222958000,13
A0000,1772802111000,29
A0000,1773428516000,15
A0000,1774019044000,3
A0000,1774573515000,5
A0001,1767327487000,18
A0001,1767925220000,36
A0001,1768584311000,19
A0001,1769154532000,8
A0001,1769795744000,35
A0001,1770367985000,26
A0001,1770934631000,14
A0001,1771598363000,31
A0001,1772220615000,27
A0001,1772807903000,30
A0001,1773400071000,9
A0001,1774015473000,4
A0001,1774563111000,34
A0002,1767315352000,28
A0002,1767946775000,3
A0002,1768582747000,18
A0002,1769139349000,36
A0002,1769751740000,11
A0002,1770394604000,6
A0002,1771002483000,37
A0002,1771594952000,16
A0002,1772170192000,23
A0002,1772803811000,14
A0002,1773389759000,22
A0002,1773977347000,6
A0002,1774575333000,36
A0003,1767258933000,0
A0003,1767895215000,38
A0003,1768527976000,36
A0003,1769116128000,1
A0003,1769722204000,15
A0003,1770317189000,26
A0003,1770941301000,13
A0003,1771550846000,39
A0003,1772108112000,2
A0003,1772746991000,26
A0003,1773383721000,9
A0003,1773952940000,28
A0003,1774548366000,38
A0004,1767324804000,17
A0004,1767888644000,17
A0004,1768490493000,2
A0004,1769090310000,5
A0004,1769672722000,2
A0004,1770343121000,32
A0004,1770923380000,5
A0004,1771536462000,27
A0004,1772103473000,29
A0004,1772768034000,34
A0004,1773292539000,10
A0004,1773918716000,23
A0004,1774532442000,3
A0005,1767288786000,27
A0005,1767895235000,22
A0005,1768529773000,21
A0005,1769099382000,21
A0005,1769740725000,6
A0005,1770265178000,32
A0005,1770865941000,10
A0005,1771501940000,22
A0005,1772152200000,36
A0005,1772752233000,2
A0005,1773306109000,13
A0005,1773902810000,28
A0005,1774571256000,16
A0006,1767277207000,33
A0006,1767862136000,26
A0006,1768472325000,30
A0006,1769093883000,9
A0006,1769671523000,36
A0006,1770323697000,6
A0006,1770911919000,23
A0006,1771514376000,15
A0006,1772126159000,39
A0006,1772720175000,17
A0006,1773298223000,15
A0006,1773934620000,29
A0006,1774491545000,22
A0007,1767309258000,36
A0007,1767874581000,29
A0007,1768456716000,20
A0007,1769092295000,30
A0007,1769729721000,38
A0007,1770329468000,15
A0007,1770896068000,31
A0007,1771556176000,10
A0007,1772082642000,5
A0007,1772721658000,28
A0007,1773323112000,3
A0007,1773897144000,9
A0007,1774506429000,30
A0008,1767317541000,20
A0008,1767890291000,4
A0008,1768531381000,2
A0008,1769109028000,31
A0008,1769734106000,1
A0008,1770383228000,5
A0008,1770931417000,13
A0008,1771559390000,24
A0008,1772142086000,8
A0008,1772797957000,37
A0008,1773342675000,9
A0008,1773973521000,12
A0008,1774573989000,4
A0009,1767343675000,33
A0009,1767935803000,1
A0009,1768558586000,12
A0009,1769177474000,11
A0009,1769778673000,24
A0009,1770370637000,34
A0009,1770918771000,12
A0009,1771593645000,13
A0009,1772153128000,31
A0009,1772747484000,2
A0009,1773384776000,16
A0009,1773987022000,23
A0009,1774592186000,35
A0010,1767295437000,30
A0010,1767888127000,14
A0010,1768527251000,25
A0010,1769134068000,30
A0010,1769759158000,31
A0010,1770350837000,9
A0010,1770963443000,15
A0010,1771551602000,34
A0010,1772133815000,25
A0010,1772722493000,5
A0010,1773358833000,18
A0010,1773984563000,11
A0010,1774593097000,37
A0011,1767346459000,36
A0011,1767921834000,36
A0011,1768534076000,20
A0011,1769162410000,0
A0011,1769762752000,38
A0011,1770348645000,7
A0011,1770935241000,12
A0011,1771514119000,2
A0011,1772200309000,2
A0011,1772793198000,17
A0011,1773372587000,27
A0011,1773932516000,35
A0011,1774616701000,0
A0012,1767272899000,14
A0012,1767927893000,14
A0012,1768485782000,27
A0012,1769136339000,28
A0012,1769702889000,18
A0012,1770328906000,33
A0012,1770930093000,34
A0012,1771534244000,16
A0012,1772144894000,24
A0012,1772743251000,6
A0012,1773340889000,16
A0012,1773966777000,27
A0012,1774571223000,30
