user_id,item_id
U0000,I0003
U0000,I0023
U0000,I0049
U0000,I0057
U0001,I0009
U0001,I0026
U0001,I0032
U0001,I0036
U0001,I0043
U0002,I0006
U0002,I0020
U0002,I0021
U0002,I0023
U0002,I0029
U0002,I0033
U0002,I0035
U0002,I0050
U0002,I0056
U0003,I0014
U0003,I0018
U0003,I0025
U0003,I0035
U0003,I0036
U0003,I0043
U0003,I0046
U0003,I0047
U0003,I0053
U0003,I0058
U0004,I0010
U0004,I0013
U0004,I0021
U0004,I0024
U0004,I0026
U0004,I0034
U0004,I0036
U0004,I0054
U0005,I0011
U0005,I0016
U0005,I0033
U0005,I0052
U0005,I0054
U0006,I0004
U0006,I0015
U0006,I0019
U0006,I0029
U0006,I0036
U0006,I0055
U0007,I0006
U0007,I0022
U0007,I0033
U0007,I0038
U0007,I0046
U0007,I0059
U0008,I0011
U0008,I0015
U0008,I0023
U0008,I0034
U0008,I0035
U0008,I0048
U0008,I0054
U0008,I0055
U0009,I0013
U0009,I0025
U0009,I0032
U0009,I0043
U0009,I0051
U0010,I0011
U0010,I0020
U0010,I0034
U0010,I0035
U0010,I0038
U0010,I0042
U0010,I0051
U0010,I0054
U0010,I0058
U0011,I0000
U0011,I0013
U0011,I0015
U0011,I0019
U0011,I0022
U0011,I0027
U0011,I0058
U0012,I0003
U0012,I0020
U0012,I0021
U0012,I0045
U0012,I0048
U0012,I0056
U0013,I0014
U0013,I0029
U0013,I0046
U0013,I0049
U0013,I0058
U0014,I0022
U0014,I0026
U0014,I0036
U0014,I0050
U0014,I0053
U0015,I0008
U0015,I0028
U0015,I0039
U0015,I0058
U0015,I0059
U0016,I0008
U0016,I0015
U0016,I0017
U0016,I0030
U0016,I0035
U0016,I0039
U0016,I0040
U0016,I0041
U0016,I0050
U0016,I0054
U0017,I0006
U0017,I0011
U0017,I0027
U0017,I0029
U0017,I0048
U0017,I0054
U0017,I0056
U0017,I0058
U0018,I0003
U0018,I0020
U0018,I0026
U0018,I0029
U0018,I0030
U0018,I0031
U0018,I0040
U0018,I0043
U0019,I0000
U0019,I0004
U0019,I0012
U0019,I0016
U0019,I0036
U0020,I0015
U0020,I0021
U0020,I0026
U0020,I0049
U0021,I0006
U0021,I0014
U0021,I0034
U0021,I0044
U0021,I0059
U0022,I0007
U0022,I0026
U0022,I0033
U0022,I0034
U0022,I0035
U0022,I0038
U0022,I0056
U0023,I0011
U0023,I0026
U0023,I0033
U0023,I0047
U0023,I0048
U0023,I0053
U0023,I0059
U0024,I0005
U0024,I0019
U0024,I0030
U0024,I0038
U0024,I0042
U0024,I0049
U0024,I0052
U0025,I0009
U0025,I0010
U0025,I0013
U0025,I0025
U0025,I0027
U0025,I0037
U0025,I0044
U0025,I0046
U0025,I0049
U0025,I0056
U0026,I0012
U0026,I0017
U0026,I0022
U0026,I0023
U0026,I0025
U0026,I0031
U0026,I0046
U0026,I0057
U0026,I0059
U0027,I0006
U0027,I0009
U0027,I0016
U0027,I0028
U0027,I0031
U0027,I0043
U0027,I0053
U0028,I0001
U0028,I0003
U0028,I0013
U0028,I0017
U0028,I0045
U0028,I0052
U0029,I0001
U0029,I0012
U0029,I0019
U0029,I0027
U0029,I0029
U0029,I0043
U0029,I0044
U0029,I0048
U0030,I0001
U0030,I0016
U0030,I0019
U0030,I0031
U0030,I0039
U0031,I0001
U0031,I0003
U0031,I0005
U0031,I0018
U0031,I0029
U0031,I0032
U0031,I0047
U0032,I0026
U0032,I0034
U0032,I0035
U0032,I0045
U0032,I0056
U0033,I0010
U0033,I0014
U0033,I0015
U0033,I0018
U0033,I0023
U0033,I0048
U0034,I0005
U0034,I0011
U0034,I0019
U0034,I0031
U0034,I0044
U0034,I0059
U0035,I0011
U0035,I0015
U0035,I0019
U0035,I0021
U0035,I0025
U0035,I0026
U0035,I0031
U0035,I0046
U0035,I0047
U0036,I0003
U0036,I0016
U0036,I0023
U0036,I0028
U0036,I0041
U0036,I0042
U0036,I0048
U0036,I0051
U0036,I0058
U0037,I0003
U0037,I0008
U0037,I0011
U0037,I0015
U0037,I0021
U0037,I0024
U0037,I0039
U0037,I0042
U0037,I0048
U0037,I0055
U0038,I0009
U0038,I0023
U0038,I0027
U0038,I0028
U0038,I0030
U0038,I0044
U0038,I0051
U0039,I0029
U0039,I0039
U0039,I0041
U0039,I0047
U0039,I0050
U0039,I0053
U0039,I0057
U0039,I0058
