account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772335700000,134.91,5562.24,636,silver,13,11.17,1
A0001,1771977612000,19.18,4524.04,838,bronze,31,11.33,1
A0002,1773207413000,20.91,7579.09,827,bronze,14,85.64,0
A0003,1772310159000,71.86,7023.32,466,gold,2,10.41,1
A0004,1772581390000,82.58,926.71,654,bronze,29,7.75,1
A0005,1772895997000,6.93,3681.59,316,bronze,2,10.1,1
A0006,1772749241000,37.81,2883.3,632,bronze,17,7.13,1
A0007,1772989929000,9.41,3692.07,629,silver,28,14.36,1
A0008,1772384572000,169.46,-930.39,473,bronze,8,14.78,1
A0009,1772766223000,37.11,6878.86,313,gold,2,91.4,0
A0010,1772635303000,13.73,4375.62,742,bronze,25,8.66,1
A0011,1772002176000,80.97,4850.15,850,gold,2,86.08,0
A0012,1772091255000,7.58,7597.58,564,gold,16,11.47,1
A0013,1772435878000,57.46,8830.53,617,silver,5,93.29,0
A0014,1772574623000,98.0,4717.02,563,gold,15,14.65,1
A0015,1773203291000,17.89,3339.04,738,gold,11,7.55,1
A0016,1772022226000,41.51,1679.98,441,silver,5,90.01,0
A0017,1773673472000,29.4,4181.99,789,gold,31,6.93,1
A0018,1772714084000,75.04,6994.71,688,gold,3,10.83,1
A0019,1773266547000,129.15,4964.67,391,silver,6,8.35,1
A0020,1772716308000,10.24,3159.55,679,bronze,11,13.13,1
A0021,1772886454000,51.4,6826.19,697,bronze,32,94.41,0
A0022,1772158671000,19.26,3932.71,782,gold,19,5.33,1
A0023,1772531613000,74.43,7845.38,558,silver,34,10.84,1
A0024,1772892402000,15.86,7484.53,552,gold,7,93.35,0
A0025,1772683945000,54.02,9226.47,636,silver,10,6.08,1
A0026,1773174756000,13.46,5071.66,569,gold,33,12.19,1
A0027,1773536520000,52.57,4370.31,521,silver,34,94.04,0
A0028,1772063399000,42.14,9249.76,797,silver,3,89.32,0
A0029,1773450410000,52.46,6883.05,693,gold,34,94.36,0
A0030,1772511562000,10.42,4815.83,692,silver,26,94.39,0
A0031,1772479364000,46.66,4830.48,836,gold,4,93.23,0
A0032,1771980483000,54.99,4256.22,417,silver,16,91.64,0
A0033,1772221899000,46.34,2236.52,622,gold,5,90.6,0
A0034,1773264550000,35.56,4949.06,828,silver,16,12.97,1
A0035,1772783602000,107.04,6898.28,736,gold,39,88.34,0
A0036,1772456233000,102.5,8746.67,660,silver,25,8.75,1
A0037,1773250539000,9.46,5245.15,603,gold,3,88.58,0
A0038,1773296423000,23.71,5100.19,735,bronze,37,89.74,0
A0039,1773334390000,38.25,6977.58,359,bronze,29,89.99,0
A0040,1773523830000,4.79,5361.35,667,gold,12,93.84,0
A0041,1772056809000,450.52,7116.31,757,bronze,32,92.66,0
A0042,1772195184000,172.0,2153.33,407,gold,28,12.14,1
A0043,1773571709000,12.74,6578.0,493,gold,0,88.14,0
A0044,1773636647000,108.07,8427.87,508,silver,16,90.21,0
A0045,1772997638000,23.4,4712.16,780,gold,36,13.29,1
A0046,1772140342000,37.89,4281.8,735,silver,19,11.68,1
A0047,1772364851000,115.33,10391.6,782,gold,34,11.1,1
A0048,1773403304000,16.94,5216.97,314,silver,27,7.16,1
A0049,1772944446000,48.08,2504.88,849,silver,6,7.37,1
A0050,1772977402000,24.86,3142.66,690,bronze,28,94.16,0
A0051,1772925658000,7.08,8307.42,411,bronze,5,86.99,0
A0052,1772143290000,48.36,1906.27,538,silver,20,93.08,0
A0053,1772721404000,26.59,3531.57,808,gold,33,8.05,1
A0054,1772681870000,53.32,2620.47,390,gold,19,87.87,0
A0055,1772091829000,19.89,6912.05,637,bronze,27,91.13,0
A0056,1773651353000,49.29,7993.71,744,gold,39,9.2,1
A0057,1773253193000,135.09,6893.2,767,silver,32,91.86,0
A0058,1773548406000,32.61,986.76,647,silver,33,11.44,1
A0059,1771995801000,301.15,6846.75,721,bronze,12,5.06,1
A0060,1773631089000,4.98,6876.24,672,silver,38,9.75,1
A0061,1772950681000,14.09,5927.54,317,gold,27,89.0,0
A0062,1772286103000,45.47,7452.03,604,bronze,15,14.27,1
A0063,1773217839000,33.95,6230.76,814,gold,36,5.61,1
A0064,1772036648000,7.06,6985.71,663,silver,39,89.92,0
A0065,1772729271000,87.07,3572.4,318,gold,29,87.02,0
A0066,1773577792000,6.09,4207.14,399,silver,9,7.5,1
A0067,1773281877000,1.74,6608.07,393,silver,39,88.24,0
A0068,1772255696000,61.76,2519.73,777,silver,38,14.5,1
A0069,1772036512000,10.15,5482.29,831,silver,32,93.89,0
A0070,1772777357000,65.24,9803.39,523,silver,36,10.06,1
A0071,1773138702000,35.18,6061.89,535,bronze,26,88.14,0
A0072,1772552015000,48.94,4758.88,709,bronze,9,8.9,1
A0073,1772949193000,14.57,4059.9,408,bronze,35,88.89,0
A0074,1772635754000,41.44,6222.6,702,silver,39,94.87,0
A0075,1772536826000,8.34,4764.94,801,bronze,29,14.53,1
A0076,1773529046000,9.87,8608.43,802,gold,6,11.21,1
A0077,1773586186000,4.0,4495.91,433,silver,20,94.48,0
A0078,1773187841000,27.97,8487.83,713,gold,0,7.34,1
A0079,1771980318000,47.06,2337.43,671,bronze,37,93.71,0
A0080,1773655019000,21.75,4373.88,711,gold,38,93.38,0
A0081,1772676938000,3.68,5163.7,400,gold,36,88.1,0
A0082,1772851940000,91.87,6555.15,450,silver,22,13.44,1
A0083,1772421629000,7.01,3893.72,352,silver,30,94.84,0
A0084,1773592659000,22.37,6939.27,534,silver,6,93.18,0
A0085,1771988161000,65.57,1964.72,345,silver,14,10.24,1
A0086,1773537377000,21.76,3219.25,541,bronze,15,6.23,1
A0087,1773653931000,4.46,4477.09,367,silver,15,10.45,1
A0088,1772452358000,107.68,5349.89,611,gold,27,10.36,1
A0089,1773291680000,74.6,6535.68,824,silver,34,11.54,1
A0090,1772252363000,51.35,3849.95,567,gold,14,7.4,1
A0091,1773044538000,75.18,5171.1,653,silver,24,13.41,1
A0092,1772867384000,45.38,9573.57,623,silver,9,6.17,1
A0093,1773673368000,19.01,2380.77,805,bronze,17,14.64,1
A0094,1772667251000,91.77,5720.25,438,gold,17,88.5,0
A0095,1773584271000,21.43,1314.08,637,gold,34,8.88,1
A0096,1772035322000,218.51,2098.69,661,silver,17,87.77,0
A0097,1773215326000,20.45,2436.64,803,silver,24,9.92,1
A0098,1773396976000,65.58,5577.99,326,silver,15,13.64,1
A0099,1772706524000,16.55,9779.39,850,bronze,1,89.51,0
