row_id,f1,f2,f3,f4,f5,label
T00000,-0.064445,-0.55442,0.290081,-0.805229,-0.868171,1
T00001,-1.037813,-0.781812,0.222908,-1.43259,-0.031994,0
T00002,-0.478395,0.114026,0.849122,-0.571029,0.543694,1
T00003,0.874579,0.021695,-0.695819,1.638116,-0.10763,0
T00004,1.809623,0.841266,0.715172,0.482745,-0.892978,1
T00005,2.387495,-0.848659,-0.239127,-0.429827,-0.17588,1
T00006,0.570441,0.050703,-0.914479,-0.226051,0.323399,1
T00007,-0.55066,-0.550428,-0.544587,0.374252,0.959167,0
T00008,0.381946,0.444507,-0.780447,0.081903,-1.850901,0
T00009,1.810631,0.193245,-0.041047,-0.497413,0.971904,1
T00010,-1.161244,1.073571,0.796446,-2.514804,-0.58083,1
T00011,-0.124929,0.723546,-0.70359,-0.077319,0.083021,0
T00012,-1.283837,-1.608238,-0.602709,-0.33466,-0.177323,0
T00013,0.260499,-0.522092,0.339479,1.587097,-1.976826,0
T00014,0.77051,-0.780651,0.657731,-0.769923,-1.033917,1
T00015,0.659608,0.490376,0.222765,1.301309,-0.259348,0
T00016,0.496824,-0.933841,-0.665023,-0.87661,-1.629851,0
T00017,-0.88969,0.21661,1.155182,-2.066862,2.487183,1
T00018,0.524869,-0.314123,-0.276615,-0.899042,-1.051933,0
T00019,0.617978,-0.880819,0.270311,-1.751254,1.316881,1
T00020,0.746565,0.588888,-0.879116,1.608095,0.494779,0
T00021,0.959398,1.450355,0.938161,1.751093,-0.922718,0
T00022,-1.265298,-0.476069,-0.318552,-0.97216,-1.096792,0
T00023,-1.068049,0.477821,0.033166,-0.542597,-0.760681,0
T00024,-0.850623,-0.077167,0.041152,0.316681,0.673635,0
T00025,-0.794201,0.497964,0.411846,0.349126,0.236056,0
T00026,0.153822,-0.321403,1.792739,-1.196983,-1.566284,1
T00027,1.660223,-0.552272,0.635083,1.39332,0.641808,1
T00028,-1.053408,0.931697,0.138196,-0.649946,0.067155,0
T00029,-0.929053,-1.215881,-1.9179,-0.501039,-0.818777,0
T00030,1.045591,-1.041594,0.116519,-0.970292,0.110188,1
T00031,-1.370131,-1.099132,0.098091,-1.72913,-0.548525,1
T00032,0.591411,-0.160658,-1.790273,-0.001724,0.131559,0
T00033,-0.227104,2.723271,0.543382,-0.624369,-0.993861,0
T00034,-0.475238,0.13655,1.214138,-0.390101,0.263435,0
T00035,-0.690955,0.734869,-1.260317,2.854952,1.268883,0
T00036,-0.394015,-0.616814,0.416279,1.049919,0.855977,0
T00037,-0.203148,0.24868,0.28133,-0.148656,-0.504765,0
T00038,0.954872,-0.382324,-2.058484,1.297516,-1.560808,0
T00039,-0.64304,0.819365,-0.771587,-0.81206,2.20814,0
T00040,-0.635663,-0.150571,1.763065,-0.275546,-0.061217,1
T00041,0.464032,-0.646008,-0.925721,0.39312,-1.132942,0
T00042,1.570126,2.109909,-0.125958,0.408971,-1.181713,0
T00043,-0.708135,-0.388508,0.599817,-0.48991,-1.605939,0
T00044,0.844049,0.637619,0.638095,0.960779,0.299502,0
T00045,1.273189,0.357589,1.166951,1.216703,-0.360844,1
T00046,0.895285,0.631667,0.793992,-0.230518,-0.206176,1
T00047,-0.801868,-0.208919,0.565222,0.415205,1.560113,0
T00048,0.913383,0.774968,0.095795,-0.016354,-0.063852,0
T00049,0.102069,1.028018,2.290528,-0.598299,-0.068953,1
T00050,-1.338339,0.055932,-0.881996,1.391375,-1.274862,0
T00051,-0.53229,-0.725561,1.331939,0.539835,-0.366301,0
T00052,-1.237425,-0.18954,0.815132,1.785036,-0.378629,0
T00053,-2.345455,-0.03275,-1.63381,-0.186549,0.17215,0
T00054,-0.354771,-0.523637,-0.455822,-0.858331,0.686634,1
T00055,-0.600644,1.132565,1.83916,0.61885,1.228507,1
T00056,0.447793,1.247486,1.612146,0.948608,1.089665,1
T00057,-0.860487,1.740432,-0.429774,0.512823,1.196718,1
T00058,0.951025,1.105354,-0.596456,0.999838,0.0047,0
T00059,-0.005994,0.334432,0.783982,0.12438,0.812751,1
T00060,-0.182622,1.442515,1.356243,-0.55445,-0.358099,1
T00061,-0.261891,1.460546,-1.065179,0.540449,0.489015,0
T00062,1.906176,0.296933,-0.592566,-0.515713,1.730623,1
T00063,1.183434,0.151284,1.368872,1.491166,0.233871,0
T00064,0.281195,-1.344248,0.468886,-0.161856,1.332068,1
T00065,0.150285,-0.606565,-0.735489,-0.276042,-0.73874,1
T00066,0.48396,-1.706479,1.715965,-0.355208,0.762864,1
T00067,-0.637735,-0.153535,0.013056,-0.162245,0.29712,1
T00068,-0.352895,1.533348,-2.258666,1.052009,0.43,0
T00069,0.130377,-0.45104,0.674311,1.009694,0.292829,0
T00070,-0.363497,0.193149,1.068975,-0.062461,-0.871884,0
T00071,0.317079,-1.189734,1.041736,0.949912,0.091856,0
T00072,-1.415539,0.462897,1.053331,-0.250527,0.886099,1
T00073,0.022166,-0.096867,0.944992,1.668361,0.488335,1
T00074,0.321434,-0.76494,0.527727,-0.900293,0.692051,1
T00075,-0.865024,0.119083,1.100387,-1.284868,0.612796,1
T00076,0.332208,0.253629,1.295974,0.30634,1.089516,1
T00077,0.118616,-1.500012,0.051698,-0.694616,-1.679964,0
T00078,1.17529,-0.292491,0.083344,-0.004186,1.561519,1
T00079,1.62412,-0.201473,0.878124,-0.355908,-1.200913,0
T00080,1.17211,-1.521315,0.576091,-1.650442,1.169174,1
T00081,-0.502354,1.723954,0.093832,-0.28496,0.701325,0
T00082,0.530859,-0.587925,0.402543,-1.586592,-0.240814,1
T00083,-0.178058,1.597906,0.826095,-0.958112,2.083018,1
T00084,0.288973,0.146376,-0.433105,-1.146687,2.385053,1
T00085,0.604847,0.740571,0.2445,-0.917712,-0.600046,0
T00086,-1.157057,0.177796,0.404895,0.943219,-0.139176,0
T00087,-2.664725,-0.708485,-0.328327,-0.978706,-0.220964,0
T00088,-0.733532,0.352395,-0.999722,-1.222884,-0.815692,0
T00089,-0.103018,-0.813218,0.059823,1.680953,-0.883921,0
T00090,-0.487201,1.044048,1.220865,0.898039,-0.655743,0
T00091,0.375207,-0.126132,-2.043192,-1.247938,0.983742,1
T00092,0.555907,-0.718816,1.524671,-0.257517,-0.032977,1
T00093,-1.101958,-1.462552,0.349752,0.305269,-0.453513,0
T00094,-1.132919,1.40232,-0.221892,-2.169387,0.319824,0
T00095,1.511983,1.726082,-0.335939,0.192254,-0.733387,1
T00096,-2.085445,-1.062985,-0.018557,0.150606,-1.123383,0
T00097,-0.897197,1.134166,0.280339,-0.568081,-2.049617,0
T00098,-0.742532,0.79954,0.993298,0.164621,-2.549881,0
T00099,0.095103,-1.087581,-0.385263,-0.02323,0.306929,1
T00100,-1.067121,2.108172,-0.002727,1.804104,-1.560854,0
T00101,-0.007723,0.675261,1.711025,1.071606,1.173283,1
T00102,0.027644,-0.114047,0.378253,0.933062,-0.451539,0
T00103,-0.285441,0.987342,1.042969,1.178394,0.238943,0
T00104,0.614751,1.663659,-0.731275,0.313994,-0.696195,0
T00105,0.023069,-0.055267,-0.616518,-1.079215,-0.963115,0
T00106,-0.942097,1.036096,-1.393584,0.789217,0.280075,0
T00107,1.143571,1.607199,-2.054256,-1.315412,-1.745458,0
T00108,-0.063831,0.651776,-0.041623,1.901121,-1.323206,0
T00109,-1.627933,0.05164,0.600435,1.045675,-1.158253,0
T00110,-1.083714,0.864981,-0.345804,0.186086,-1.230861,0
T00111,-0.010878,-1.325556,-0.234849,-0.295406,-0.410841,1
T00112,-0.098101,0.041454,2.835743,0.031349,1.857107,1
T00113,0.939791,1.086765,1.103952,0.503331,1.301516,1
T00114,2.318648,-0.033686,-1.036071,-0.034073,0.171454,1
T00115,-1.11503,1.674354,1.419802,0.216367,1.371877,0
T00116,-1.178198,-0.352127,1.849565,0.652521,-0.440839,1
T00117,0.07025,-0.605318,0.889639,-0.161228,0.100524,0
T00118,-1.188045,-0.840151,0.05035,-1.505702,-1.108538,0
T00119,-1.176832,0.229474,-0.40124,-0.347567,-0.271528,0
T00120,-1.426968,1.030261,-1.021528,1.467703,-0.134195,0
T00121,0.464072,0.122395,1.213341,0.346692,1.519311,0
T00122,0.926702,0.06152,0.756393,0.182326,0.710099,1
T00123,0.236406,-0.024106,2.081516,-1.409027,0.094172,1
T00124,-0.058351,-0.505313,1.800663,1.370977,0.988957,0
T00125,0.869602,0.289376,-1.247159,-0.205759,1.707795,1
T00126,-3.643187,-1.089479,0.555176,0.143291,-0.306822,0
T00127,-0.982868,0.076283,1.070801,-0.608327,1.77747,1
T00128,-0.387285,-0.997564,0.973304,0.688619,0.947284,1
T00129,0.340824,1.105895,-0.489928,1.177404,0.806413,1
T00130,-0.401653,-0.253606,-2.08615,1.519572,0.864592,0
T00131,0.343273,1.03399,2.012783,-0.513938,-0.054265,1
T00132,0.18774,-0.638112,0.157487,1.109118,2.579916,1
T00133,1.363759,-0.7162,0.830343,-2.062736,-0.124463,1
T00134,1.17334,-0.62992,-0.495045,-1.38306,0.256834,1
T00135,1.041518,-1.085578,1.573195,1.791935,0.644446,1
T00136,0.578079,-0.189457,-0.165392,-1.889491,-0.088455,1
