row_id,account_id,event_time,amount,currency
R00000,A0052,1772326680000,17.83,GBP
R00001,A0054,1772327160000,5.14,USD
R00002,A0010,1772342040000,25.35,EUR
R00003,A0057,1772348460000,4.33,SEK
R00004,A0004,1772349840000,51.7,EUR
R00005,A0021,1772356740000,7.6,EUR
R00006,A0026,1772358780000,4.1,GBP
R00007,A0036,1772359080000,55.57,USD
R00008,A0028,1772362260000,34.26,USD
R00009,A0000,1772367540000,10.26,EUR
R00010,A0057,1772370060000,16.22,EUR
R00011,A0052,1772371740000,15.05,SEK
R00012,A0053,1772376360000,16.6,GBP
R00013,A0003,1772389680000,42.52,GBP
R00014,A0048,1772391480000,2.5,USD
R00015,A0004,1772393700000,130.1,EUR
R00016,A0017,1772396280000,34.97,EUR
R00017,A0048,1772396580000,55.02,GBP
R00018,A0002,1772397660000,43.17,GBP
R00019,A0042,1772401620000,14.54,EUR
R00020,A0024,1772412000000,36.07,USD
R00021,A0034,1772414100000,15.42,GBP
R00022,A0006,1772419800000,3.34,GBP
R00023,A0011,1772424000000,11.66,GBP
R00024,A0007,1772427300000,23.13,EUR
R00025,A0019,1772429220000,57.58,GBP
R00026,A0025,1772430180000,4.05,EUR
R00027,A0001,1772430360000,128.6,EUR
R00028,A0022,1772431920000,8.47,USD
R00029,A0047,1772434740000,67.25,SEK
R00030,A0035,1772461080000,10.71,GBP
R00031,A0004,1772495880000,24.65,EUR
R00032,A0039,1772505600000,38.85,EUR
R00033,A0049,1772511120000,8.59,USD
R00034,A0058,1772519400000,11.44,GBP
R00035,A0003,1772527320000,25.8,EUR
R00036,A0015,1772527500000,136.85,GBP
R00037,A0028,1772546280000,96.54,EUR
R00038,A0046,1772547000000,6.69,GBP
R00039,A0042,1772547780000,29.64,SEK
R00040,A0045,1772550120000,55.91,USD
R00041,A0000,1772557200000,10.53,GBP
R00042,A0028,1772566440000,5.31,USD
R00043,A0016,1772596320000,11.49,USD
R00044,A0055,1772598540000,16.51,SEK
R00045,A0041,1772599260000,32.44,USD
R00046,A0005,1772608200000,27.28,EUR
R00047,A0018,1772622060000,11.36,USD
R00048,A0056,1772628300000,10.73,USD
R00049,A0056,1772629680000,11.84,SEK
R00050,A0053,1772634780000,48.88,EUR
R00051,A0019,1772635500000,9.58,GBP
R00052,A0053,1772637360000,31.88,USD
R00053,A0015,1772648820000,32.0,SEK
R00054,A0014,1772648820000,30.71,GBP
R00055,A0010,1772654820000,10.27,GBP
R00056,A0023,1772657220000,5.89,EUR
R00057,A0022,1772667540000,8.2,USD
R00058,A0036,1772683080000,16.8,EUR
R00059,A0044,1772701200000,14.55,SEK
R00060,A0012,1772701560000,11.62,SEK
R00061,A0006,1772709780000,14.6,EUR
R00062,A0044,1772712600000,76.42,GBP
R00063,A0040,1772714880000,27.16,USD
R00064,A0007,1772725500000,10.06,EUR
R00065,A0011,1772727480000,8.76,SEK
R00066,A0017,1772729820000,16.8,SEK
R00067,A0043,1772730420000,18.9,EUR
R00068,A0050,1772731740000,4.04,EUR
R00069,A0038,1772751720000,111.96,GBP
R00070,A0013,1772760840000,6.42,SEK
R00071,A0048,1772767980000,18.03,GBP
R00072,A0015,1772768520000,41.01,EUR
R00073,A0056,1772769360000,10.22,SEK
R00074,A0022,1772774280000,11.03,GBP
R00075,A0004,1772775420000,41.23,USD
R00076,A0042,1772782980000,53.39,USD
R00077,A0018,1772789820000,23.25,SEK
R00078,A0051,1772794500000,93.57,SEK
R00079,A0029,1772802240000,17.77,GBP
R00080,A0057,1772805780000,6.21,EUR
R00081,A0041,1772815140000,20.03,GBP
R00082,A0001,1772817720000,7.81,GBP
R00083,A0051,1772835420000,3.07,GBP
R00084,A0053,1772838900000,15.81,USD
R00085,A0059,1772841660000,78.08,SEK
R00086,A0013,1772843460000,24.87,GBP
R00087,A0013,1772850720000,15.08,EUR
R00088,A0029,1772856300000,49.39,GBP
R00089,A0057,1772857140000,40.96,SEK
R00090,A0049,1772862240000,34.39,USD
R00091,A0020,1772871360000,10.47,GBP
R00092,A0047,1772879160000,40.72,USD
R00093,A0053,1772896200000,12.83,EUR
R00094,A0015,1772897400000,13.51,USD
R00095,A0026,1772900940000,6.78,USD
R00096,A0023,1772908500000,20.83,SEK
R00097,A0012,1772914860000,74.34,GBP
R00098,A0043,1772917320000,19.03,SEK
R00099,A0012,1772924640000,27.55,EUR
R00100,A0023,1772931480000,10.88,USD
R00101,A0032,1772932020000,64.95,EUR
R00102,A0000,1772935560000,17.6,GBP
R00103,A0023,1772936400000,2.23,USD
R00104,A0027,1772936760000,25.56,EUR
R00105,A0025,1772938140000,58.91,SEK
R00106,A0004,1772939160000,13.27,EUR
R00107,A0015,1772952120000,31.48,USD
R00108,A0038,1772976000000,34.58,EUR
R00109,A0031,1772977080000,19.11,SEK
R00110,A0051,1772979060000,49.25,SEK
R00111,A0016,1772984460000,30.9,SEK
R00112,A0057,1772985600000,17.17,USD
R00113,A0029,1772987220000,44.52,GBP
R00114,A0031,1772994540000,31.49,USD
R00115,A0040,1773005460000,17.7,SEK
R00116,A0009,1773006240000,3.16,SEK
R00117,A0045,1773015420000,36.55,EUR
R00118,A0003,1773023400000,7.44,GBP
R00119,A0037,1773025440000,10.91,GBP
R00120,A0000,1773028680000,22.01,USD
R00121,A0044,1773040800000,26.02,USD
R00122,A0048,1773052260000,13.72,USD
R00123,A0018,1773071340000,7.09,USD
R00124,A0012,1773072240000,38.79,GBP
R00125,A0018,1773073260000,9.95,EUR
R00126,A0056,1773074340000,22.68,USD
R00127,A0035,1773079500000,49.52,GBP
R00128,A0000,1773080160000,137.51,GBP
R00129,A0021,1773084300000,35.39,SEK
R00130,A0031,1773084840000,33.02,GBP
R00131,A0013,1773094680000,4.67,EUR
R00132,A0053,1773101760000,25.7,GBP
R00133,A0025,1773102900000,85.81,USD
R00134,A0042,1773104220000,17.8,USD
R00135,A0036,1773104220000,6.92,USD
R00136,A0005,1773105600000,10.16,SEK
R00137,A0045,1773119820000,67.8,EUR
R00138,A0050,1773120600000,65.28,EUR
R00139,A0010,1773121680000,4.81,EUR
R00140,A0019,1773122520000,15.53,EUR
R00141,A0038,1773125280000,9.1,SEK
R00142,A0049,1773136740000,69.76,USD
R00143,A0027,1773138600000,5.24,EUR
R00144,A0017,1773141780000,3.85,USD
R00145,A0025,1773159120000,35.56,SEK
R00146,A0003,1773162360000,30.2,USD
R00147,A0017,1773171540000,22.92,SEK
R00148,A0041,1773177960000,29.4,EUR
R00149,A0015,1773185220000,46.38,EUR
R00150,A0052,1773187320000,70.54,SEK
R00151,A0026,1773187680000,3.78,SEK
R00152,A0018,1773197280000,23.13,USD
R00153,A0011,1773200100000,44.86,USD
R00154,A0004,1773201060000,24.16,USD
R00155,A0059,1773206460000,53.96,USD
R00156,A0011,1773217200000,24.37,USD
R00157,A0034,1773223140000,22.64,USD
R00158,A0034,1773231780000,46.19,USD
R00159,A0007,1773233700000,30.61,GBP
R00160,A0046,1773235500000,21.09,EUR
R00161,A0059,1773238560000,15.69,USD
R00162,A0028,1773243480000,4.83,EUR
R00163,A0010,1773245520000,7.14,GBP
R00164,A0026,1773254040000,14.73,SEK
R00165,A0057,1773262020000,16.92,SEK
R00166,A0002,1773262140000,22.23,SEK
R00167,A0055,1773264420000,68.69,GBP
R00168,A0014,1773272640000,23.07,EUR
R00169,A0046,1773273720000,5.47,GBP
R00170,A0007,1773290640000,51.09,SEK
R00171,A0017,1773294420000,5.05,EUR
R00172,A0055,1773295020000,10.49,GBP
R00173,A0008,1773297300000,37.03,SEK
R00174,A0040,1773314160000,30.7,USD
R00175,A0007,1773316740000,2.2,USD
R00176,A0015,1773322140000,67.44,USD
R00177,A0025,1773329160000,16.74,SEK
R00178,A0032,1773331800000,17.91,GBP
R00179,A0049,1773336720000,3.76,EUR
R00180,A0030,1773338940000,24.74,GBP
R00181,A0038,1773341520000,83.8,SEK
R00182,A0012,1773341820000,36.27,EUR
R00183,A0015,1773349140000,11.25,USD
R00184,A0054,1773350400000,19.74,EUR
R00185,A0006,1773360420000,14.25,GBP
R00186,A0033,1773373500000,32.82,EUR
R00187,A0055,1773378060000,50.1,USD
R00188,A0007,1773379200000,7.37,EUR
R00189,A0045,1773385860000,7.32,EUR
R00190,A0053,1773390120000,55.95,USD
