account_id,event_time,f1,f2,f3
A0000,1770970680000,0.1295,-1.8157,0.1746
A0000,1771353480000,0.6904,-2.3476,-1.8103
A0000,1771634400000,-2.6634,1.2724,1.7004
A0000,1772180220000,4.2903,2.9614,2.0637
A0000,1772503500000,3.6974,-3.5755,2.8829
A0000,1773564540000,-1.0686,3.2272,-2.7993
A0000,1774178760000,-1.2707,-3.6824,0.6656
A0001,1770216540000,-1.2133,0.5324,-1.1938
A0001,1770699480000,1.0624,0.5132,-0.8824
A0001,1772082840000,0.2025,-0.6163,3.3754
A0001,1774298940000,3.6929,-0.6435,4.1849
A0001,1774337880000,-0.1081,2.2668,-1.1102
A0002,1770874980000,1.3121,2.8413,-0.1836
A0002,1771650180000,-0.3962,2.5719,0.2304
A0002,1771761180000,1.7723,-0.4537,-5.4674
A0002,1772580300000,-0.3707,1.7055,0.0734
A0002,1773362340000,2.1484,-3.9171,1.3637
A0002,1774275660000,-0.6547,0.2144,0.7678
A0002,1775078340000,2.3629,0.7608,-3.3801
A0003,1769949960000,0.2438,1.3672,-2.7897
A0003,1770558420000,2.8508,2.1049,-1.4097
A0003,1770709980000,1.836,-2.3378,1.5641
A0003,1771063740000,-0.5786,-1.1577,-0.5569
A0003,1772546880000,2.8803,1.2551,0.4824
A0003,1773107580000,-1.8578,1.887,-2.1979
A0003,1773537000000,-0.4636,0.256,0.1511
A0004,1770160920000,-0.684,-0.2492,-3.8487
A0004,1771210200000,0.9569,-2.002,-3.6369
A0004,1773800940000,-1.0776,1.36,-2.0977
A0004,1774050840000,0.2586,-0.8097,-0.7191
A0005,1770741780000,1.9275,-2.1057,1.5777
A0005,1772153160000,1.5529,-0.6366,-0.7603
A0005,1772485560000,-1.0041,0.1318,-0.2362
A0005,1773396900000,2.3038,-0.0015,-1.1063
A0005,1773616920000,-1.1559,-1.5837,1.0635
A0005,1773827400000,-2.9405,-1.6604,0.5034
A0005,1774792440000,3.4067,-0.4578,-2.3575
A0006,1770981660000,0.6115,2.4023,-1.1756
A0006,1771172700000,0.548,2.1431,-3.1127
A0006,1771939020000,0.0345,0.3344,-5.4745
A0006,1772117700000,2.3503,0.4228,3.2452
A0006,1772947980000,-2.3951,-0.2737,0.476
A0006,1774734000000,-1.3378,-1.2262,-0.7682
A0006,1774776720000,-4.7599,0.172,4.1143
A0007,1770235500000,-0.0889,-2.1246,-3.5584
A0007,1772206320000,-1.0623,0.5046,-2.0147
A0007,1772254320000,-1.1734,0.1821,1.2462
A0007,1772543460000,-1.5614,-0.0128,1.5029
A0007,1774086420000,3.1149,5.4673,-2.0882
A0008,1770007560000,2.0365,-0.7797,0.7812
A0008,1770806940000,0.1818,-5.2265,1.5852
A0008,1771620180000,-0.28,-1.5111,0.1597
A0008,1772111280000,4.2365,0.9484,-0.3612
A0008,1773383460000,1.1642,-0.6498,-1.8622
A0008,1773895080000,-0.8431,-1.6271,0.8824
A0008,1774014180000,3.988,-0.5736,-3.2854
A0008,1774319220000,1.6159,0.3057,-0.2742
A0008,1774526220000,-0.5394,1.1871,2.4647
A0009,1770534420000,2.3441,2.6426,-1.6336
A0009,1770881580000,-2.377,-2.9465,1.0669
A0009,1772145240000,-3.4366,-6.5175,-2.1577
A0009,1772309520000,-2.5769,0.9081,4.1429
A0009,1773312540000,0.4046,-2.6467,-0.8274
A0009,1773386100000,-1.1806,-1.2133,-1.9418
A0009,1774094340000,1.2514,0.6071,2.0121
A0009,1774210260000,-4.6011,-3.4539,-2.0736
A0009,1774406700000,1.1822,2.0754,-1.3486
A0010,1769929980000,-2.6945,-0.2045,0.0666
A0010,1770637860000,1.6696,-2.9003,2.0037
A0010,1770805140000,0.0238,-0.4566,-1.2158
A0010,1770966480000,0.5303,4.9739,-1.1105
A0010,1772781180000,-2.7775,-1.4582,-0.3821
A0010,1774475040000,0.6092,1.9425,-0.1887
A0010,1774581000000,0.2891,0.2251,1.6826
A0011,1770277200000,2.4029,1.4962,2.8763
A0011,1770517440000,-0.0048,-2.1056,-0.5601
A0011,1771739400000,1.4521,0.3639,-0.8803
