row_id,account_id,event_time,amount,category
R00405,A0131,1772755320000,11.84,salary
R00406,A0017,1772756100000,13.8,travel
R00407,A0068,1772756820000,10.62,rent
R00408,A0026,1772757420000,9.84,grocery
R00409,A0096,1772758320000,36.57,salary
R00410,A0065,1772763000000,15.19,rent
R00411,A0046,1772763120000,14.54,grocery
R00412,A0078,1772763120000,45.17,other
R00413,A0059,1772764140000,5.63,salary
R00414,A0046,1772764140000,6.68,travel
R00415,A0012,1772764860000,50.51,grocery
R00416,A0040,1772764980000,8.11,other
R00417,A0135,1772765160000,32.81,other
R00418,A0053,1772765280000,17.92,travel
R00419,A0016,1772766360000,35.34,salary
R00420,A0146,1772766420000,12.51,other
R00421,A0148,1772766600000,19.95,grocery
R00422,A0093,1772766780000,19.82,travel
R00423,A0000,1772767860000,5.28,travel
R00424,A0081,1772768820000,22.93,salary
R00425,A0031,1772768940000,3.34,salary
R00426,A0055,1772769180000,37.56,travel
R00427,A0013,1772770200000,97.4,rent
R00428,A0016,1772770860000,2.03,travel
R00429,A0119,1772771640000,9.86,salary
R00430,A0109,1772773200000,33.69,other
R00431,A0023,1772775900000,16.9,rent
R00432,A0025,1772776080000,7.13,rent
R00433,A0122,1772777040000,39.23,grocery
R00434,A0011,1772777640000,30.38,other
R00435,A0014,1772778780000,26.48,salary
R00436,A0142,1772779680000,60.84,rent
R00437,A0149,1772781060000,16.17,travel
R00438,A0132,1772781600000,9.35,rent
R00439,A0142,1772781660000,2.56,rent
R00440,A0000,1772784900000,31.35,salary
R00441,A0118,1772784900000,17.51,salary
R00442,A0024,1772785800000,54.91,travel
R00443,A0008,1772785980000,8.79,travel
R00444,A0023,1772786160000,11.33,rent
R00445,A0013,1772787240000,7.76,travel
R00446,A0030,1772788380000,16.1,other
R00447,A0091,1772790600000,218.57,salary
R00448,A0078,1772792280000,61.38,other
R00449,A0050,1772792340000,5.94,rent
R00450,A0120,1772792640000,6.15,other
R00451,A0026,1772794860000,29.7,salary
R00452,A0041,1772795160000,37.78,salary
R00453,A0131,1772796000000,55.01,rent
R00454,A0137,1772796000000,38.66,other
R00455,A0049,1772798400000,8.61,salary
R00456,A0053,1772798520000,10.55,other
R00457,A0133,1772801100000,61.53,rent
R00458,A0110,1772801940000,23.64,other
R00459,A0005,1772802420000,20.77,travel
R00460,A0060,1772802600000,20.9,grocery
R00461,A0040,1772803740000,26.15,other
R00462,A0025,1772804100000,7.76,other
R00463,A0086,1772804160000,3.21,rent
R00464,A0024,1772804760000,33.78,grocery
R00465,A0119,1772804940000,23.26,grocery
R00466,A0087,1772806020000,11.57,grocery
R00467,A0079,1772806980000,5.07,other
R00468,A0127,1772807160000,9.93,rent
R00469,A0083,1772807580000,33.44,travel
R00470,A0074,1772808360000,17.09,rent
R00471,A0108,1772809440000,15.92,other
R00472,A0057,1772809560000,17.73,rent
R00473,A0039,1772810040000,21.4,salary
R00474,A0015,1772811240000,37.83,salary
R00475,A0049,1772811900000,4.79,travel
R00476,A0096,1772812920000,22.15,other
R00477,A0021,1772813280000,101.73,rent
R00478,A0043,1772813460000,9.23,travel
R00479,A0105,1772814000000,19.51,other
R00480,A0076,1772816760000,49.52,travel
R00481,A0000,1772817060000,6.87,salary
R00482,A0066,1772817120000,11.56,grocery
R00483,A0041,1772817240000,6.09,other
R00484,A0021,1772817360000,5.6,grocery
R00485,A0124,1772817360000,28.73,grocery
R00486,A0057,1772818620000,15.5,rent
R00487,A0073,1772819340000,6.15,salary
R00488,A0017,1772819640000,194.24,travel
R00489,A0059,1772820360000,4.59,travel
R00490,A0118,1772821980000,5.27,other
R00491,A0059,1772822640000,45.21,grocery
R00492,A0135,1772823480000,12.08,salary
R00493,A0124,1772823780000,40.15,rent
R00494,A0069,1772825160000,146.88,other
R00495,A0078,1772825400000,32.74,other
R00496,A0112,1772826180000,22.18,rent
R00497,A0122,1772826360000,16.48,travel
R00498,A0077,1772832840000,22.07,rent
R00499,A0001,1772833560000,15.32,grocery
R00500,A0139,1772833800000,104.75,grocery
R00501,A0043,1772833860000,12.49,travel
R00502,A0101,1772835060000,68.16,grocery
R00503,A0036,1772837100000,3.83,rent
R00504,A0139,1772837700000,61.87,salary
R00505,A0018,1772838060000,27.42,grocery
R00506,A0134,1772838840000,52.3,other
R00507,A0125,1772839680000,50.55,other
