account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772066292000,42.51,6702.38,787,silver,3,87.64,0
A0001,1773666141000,32.06,8871.43,370,silver,14,91.47,0
A0002,1772128989000,77.45,3998.62,383,silver,8,90.82,0
A0003,1773229420000,68.65,7165.35,722,silver,25,87.11,0
A0004,1772417799000,53.44,6071.37,429,gold,0,11.85,1
A0005,1773163736000,21.65,4766.43,349,bronze,6,8.57,1
A0006,1772464591000,56.83,5427.99,568,bronze,16,12.28,1
A0007,1772145721000,25.46,3172.65,466,gold,28,94.12,0
A0008,1772643050000,16.55,6398.69,709,silver,37,86.02,0
A0009,1772652800000,33.33,5335.52,459,gold,22,12.77,1
A0010,1773490648000,23.34,3078.87,368,bronze,10,92.17,0
A0011,1773302419000,43.22,4782.77,752,silver,24,6.19,1
A0012,1772226277000,4.77,7785.07,688,bronze,2,9.88,1
A0013,1772914795000,60.22,2094.89,828,silver,36,7.3,1
A0014,1773064738000,101.29,7762.26,675,bronze,10,7.49,1
A0015,1773382458000,53.01,6313.77,311,silver,14,91.94,0
A0016,1772372281000,32.02,3566.67,784,bronze,35,13.84,1
A0017,1772576452000,33.1,6047.02,385,silver,35,94.37,0
A0018,1773205158000,21.65,4255.97,384,gold,24,11.3,1
A0019,1772459034000,16.49,5099.94,437,silver,24,94.0,0
A0020,1773637601000,44.69,5577.46,509,gold,22,90.39,0
A0021,1773055570000,25.54,3151.87,492,silver,28,89.09,0
A0022,1772088943000,18.14,7536.16,413,bronze,4,91.36,0
A0023,1772762548000,34.91,1668.13,471,silver,30,7.61,1
A0024,1773524215000,8.28,3602.35,573,gold,39,91.99,0
A0025,1772565587000,100.86,7313.71,482,silver,23,94.29,0
A0026,1772312011000,50.27,8337.43,636,gold,5,91.12,0
A0027,1772250658000,5.69,8301.32,487,silver,20,92.57,0
A0028,1772895579000,113.4,2407.95,513,silver,24,86.02,0
A0029,1773650669000,64.82,5967.64,600,silver,31,94.25,0
A0030,1773065386000,63.8,3366.15,300,gold,22,5.11,1
A0031,1773022849000,169.81,7184.96,677,silver,35,12.26,1
A0032,1773214475000,39.24,6302.85,699,bronze,24,90.99,0
A0033,1772988234000,44.61,6321.29,734,silver,4,89.3,0
A0034,1772773510000,6.28,4439.91,501,gold,38,85.12,0
A0035,1772489351000,8.59,6695.17,499,silver,5,10.11,1
A0036,1772446180000,7.22,6315.1,690,bronze,2,12.25,1
A0037,1773536369000,151.42,9240.39,541,silver,19,89.71,0
A0038,1772691958000,45.86,4647.98,563,bronze,36,85.75,0
A0039,1772134695000,210.77,2049.99,671,bronze,38,12.2,1
A0040,1772693635000,45.1,4009.5,816,silver,16,12.39,1
A0041,1773603575000,45.38,7263.46,764,gold,14,11.87,1
A0042,1773142037000,38.6,3896.79,817,gold,14,91.56,0
A0043,1773291923000,88.69,2937.36,569,silver,2,7.11,1
A0044,1773663661000,41.29,5946.0,455,silver,34,5.48,1
A0045,1772943480000,52.95,5884.04,832,bronze,18,91.36,0
A0046,1773244233000,29.77,1198.96,745,bronze,29,88.03,0
A0047,1773337065000,35.47,9721.31,850,gold,18,8.81,1
A0048,1773456580000,77.04,3592.25,715,silver,27,9.51,1
A0049,1773515599000,5.38,5150.18,451,gold,19,88.73,0
A0050,1773350587000,61.45,3076.07,773,silver,16,5.99,1
A0051,1772223764000,8.75,616.51,681,bronze,33,6.34,1
A0052,1772212330000,16.8,3586.09,830,gold,14,89.3,0
A0053,1773033718000,138.39,1465.0,583,bronze,27,8.33,1
A0054,1772077118000,19.63,5581.18,307,gold,11,88.48,0
A0055,1773297529000,5.66,3991.39,798,bronze,5,13.78,1
A0056,1772884483000,26.23,2183.73,335,bronze,0,10.22,1
A0057,1773568170000,20.25,2180.25,615,bronze,27,8.24,1
A0058,1773603894000,13.83,6957.21,321,bronze,10,86.84,0
A0059,1773475408000,20.06,5431.3,850,bronze,3,85.68,0
A0060,1772154582000,6.18,4483.47,644,silver,3,5.42,1
A0061,1773687581000,14.93,3045.26,535,gold,25,93.04,0
A0062,1772590480000,379.63,7340.81,759,bronze,20,7.27,1
A0063,1772853044000,16.24,5257.82,377,gold,14,86.02,0
A0064,1773412387000,130.36,8533.84,466,bronze,22,86.77,0
A0065,1772540879000,23.74,10248.79,593,silver,32,7.62,1
A0066,1772694376000,27.17,5321.52,610,gold,26,88.88,0
A0067,1772600678000,9.83,2245.31,722,bronze,21,89.24,0
A0068,1773418115000,51.0,5013.83,343,bronze,26,6.15,1
A0069,1773647983000,40.43,6219.33,447,silver,37,8.81,1
A0070,1773380982000,31.77,2777.63,753,bronze,14,92.53,0
A0071,1772281179000,11.48,4640.39,650,silver,3,92.13,0
A0072,1772032190000,7.24,3754.96,765,gold,30,10.0,1
A0073,1772838274000,150.17,2555.67,589,bronze,1,88.35,0
A0074,1772913198000,444.21,1649.96,772,silver,20,11.25,1
A0075,1772351024000,214.38,8068.2,741,bronze,13,91.27,0
A0076,1772769178000,9.26,4666.3,402,gold,12,85.15,0
A0077,1772318717000,75.82,1283.79,505,bronze,10,90.51,0
A0078,1772637070000,58.99,9314.54,574,bronze,34,92.68,0
A0079,1772149237000,28.35,5159.87,594,silver,4,93.08,0
A0080,1773360421000,27.27,3656.69,804,bronze,27,7.94,1
A0081,1772211469000,144.19,4907.25,318,gold,9,87.01,0
A0082,1772165184000,43.77,1267.78,839,gold,35,87.54,0
A0083,1773185291000,51.64,3480.53,399,gold,28,8.28,1
A0084,1772960157000,35.11,4426.59,773,bronze,32,91.46,0
A0085,1772756338000,32.69,2189.86,816,gold,6,11.54,1
A0086,1772850916000,22.36,3962.16,559,bronze,18,6.71,1
A0087,1772978251000,168.35,6306.27,490,gold,21,13.44,1
A0088,1772472287000,58.08,8947.19,365,bronze,27,85.75,0
A0089,1773179583000,47.63,4059.78,813,silver,26,86.98,0
A0090,1773419267000,6.51,1805.14,412,silver,17,85.93,0
A0091,1772486555000,286.21,-281.2,456,silver,26,6.8,1
A0092,1772358233000,46.42,7109.22,767,gold,33,6.71,1
A0093,1773059629000,20.46,4887.79,519,gold,14,92.9,0
A0094,1772483258000,75.4,5613.4,786,gold,5,88.46,0
A0095,1772252207000,57.04,5619.21,752,bronze,39,6.51,1
A0096,1772311280000,95.91,4326.17,608,gold,13,94.8,0
A0097,1773334940000,10.79,3248.73,416,bronze,4,85.07,0
A0098,1772968545000,83.29,4904.31,780,silver,31,12.84,1
A0099,1772208311000,17.32,6521.34,787,bronze,19,93.81,0
