entity_id,f1,f2,f3,f4,f5
E0024,3.432968,17.274839,11.092968,1.527547,9.2846
E0109,17.861837,14.963427,4.507786,3.453819,4.62498
E0297,4.131956,1.283075,15.640708,7.951474,5.894408
E0263,2.43198,14.813611,10.362145,14.92198,39.583034
E0079,23.612694,7.329968,3.009268,2.51652,2.725813
E0190,4.540078,5.7713,6.859063,1.18133,5.045225
E0244,12.520091,6.534237,12.204662,3.87302,6.159513
E0227,10.408598,3.606338,32.428642,1.278862,7.049878
E0183,5.126991,46.360034,9.613311,5.520987,26.631187
E0140,24.585962,6.522315,5.723282,26.934814,5.722832
E0255,24.061987,0.582494,10.1059,2.307004,12.674716
E0098,3.384554,10.235373,8.676158,2.0545,11.102022
E0137,5.162202,5.943346,6.449432,4.897591,14.626448
E0001,17.842132,18.913231,2.790241,8.860633,39.611026
E0189,10.281352,15.738051,7.125077,5.056111,3.852792
E0273,11.540983,3.227638,2.689002,2.108024,7.083655
E0260,8.091882,2.944567,8.307372,5.790138,10.34782
E0284,4.835,7.053266,2.083181,4.666144,1.495523
E0279,4.114068,11.395896,16.619479,14.283104,4.683002
E0096,10.452919,9.904179,11.2059,8.721352,13.704192
E0203,9.01407,17.649135,5.901406,5.444698,11.348789
E0124,3.804039,10.184745,3.117639,5.727534,4.68987
E0005,4.00008,18.160848,2.365781,24.424312,45.170038
E0208,8.521013,3.235998,7.859318,6.694742,9.161208
E0050,4.391959,9.315336,5.518126,11.657236,8.484294
E0149,9.799858,4.788279,97.391361,3.875316,4.650432
E0207,22.284525,7.293801,2.237919,10.901802,4.221559
E0071,1.728607,17.223709,7.175736,4.432176,17.495966
E0194,20.29068,9.514162,3.702718,8.27169,19.650918
E0235,9.937051,14.651909,11.883258,13.623391,11.681836
E0145,2.236508,2.400797,5.500104,18.977208,6.829122
E0182,6.741068,9.435241,27.845708,1.890013,12.163962
E0117,5.77225,5.692081,4.075335,9.35892,6.521119
E0052,3.599087,7.252447,8.988064,22.209514,2.872233
E0299,18.237664,7.450996,19.291824,27.906636,4.913674
E0282,8.466289,17.83037,7.944152,5.9605,4.506586
E0223,11.115336,17.473756,19.577416,17.266518,5.978176
