entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-01T00:00:00Z,3.5578,8.4068,1.4155,6.7616,3.6092,1.0153
E0001,2026-01-01T00:00:00Z,4.7439,9.3976,0.9615,2.9915,2.6592,0.1332
E0002,2026-01-01T00:00:00Z,4.7101,7.6333,0.0378,4.4717,4.5342,1.93
E0003,2026-01-01T00:00:00Z,4.4725,8.9211,-0.4562,1.7277,3.6221,1.4414
E0004,2026-01-01T00:00:00Z,4.9559,7.4131,5.8684,2.1951,3.7463,2.6457
E0005,2026-01-01T00:00:00Z,4.2422,9.8964,3.7694,0.8409,3.4499,1.1083
E0006,2026-01-01T00:00:00Z,3.0927,8.3115,4.6538,1.7277,3.3852,-0.3868
E0007,2026-01-01T00:00:00Z,3.9879,6.8376,1.0931,3.6223,2.6032,0.8435
E0008,2026-01-01T00:00:00Z,3.9962,8.1538,1.8661,3.567,1.6327,1.6129
E0009,2026-01-01T00:00:00Z,4.5284,7.8939,2.7164,0.4916,1.8555,1.9624
E0010,2026-01-01T00:00:00Z,4.9626,7.625,1.5708,3.0659,1.3701,-0.4346
E0011,2026-01-01T00:00:00Z,4.8301,9.0797,3.3455,1.8915,0.9784,1.4522
E0012,2026-01-01T00:00:00Z,3.7979,7.6747,4.3153,1.4683,3.8657,1.7108
E0013,2026-01-01T00:00:00Z,4.885,7.4861,4.233,4.1611,3.771,1.0382
E0014,2026-01-01T00:00:00Z,6.8993,8.1973,-1.0638,3.0536,4.0782,-0.1126
E0015,2026-01-01T00:00:00Z,4.4039,9.3559,2.5252,6.3922,2.8774,-0.3096
E0016,2026-01-01T00:00:00Z,3.8007,8.6516,1.345,2.1509,3.6755,0.9548
E0017,2026-01-01T00:00:00Z,1.9817,8.1229,2.3409,3.529,2.381,1.8407
E0018,2026-01-01T00:00:00Z,4.1558,9.0128,4.1386,2.181,3.343,1.9869
E0019,2026-01-01T00:00:00Z,3.9898,9.0209,4.4705,-0.086,3.2579,2.8752
E0020,2026-01-01T00:00:00Z,3.5469,8.1583,0.2718,3.522,2.3462,1.0903
E0021,2026-01-01T00:00:00Z,3.1238,9.1243,5.7785,4.4287,1.8758,1.4416
E0022,2026-01-01T00:00:00Z,2.7033,9.2677,2.4765,0.9307,1.2116,2.1347
E0023,2026-01-01T00:00:00Z,4.6437,7.9892,1.0081,1.1115,5.1496,-0.0287
E0024,2026-01-01T00:00:00Z,4.4239,8.1672,3.8419,1.4704,2.0898,0.2165
E0025,2026-01-01T00:00:00Z,4.7026,9.1075,2.2698,4.413,5.1247,0.9138
E0026,2026-01-01T00:00:00Z,4.8995,7.4474,3.6902,1.7722,1.9923,0.6846
E0027,2026-01-01T00:00:00Z,5.0001,8.3422,1.1451,5.6006,3.1223,3.085
E0028,2026-01-01T00:00:00Z,4.7745,8.269,3.0119,2.6947,2.3253,0.3723
E0029,2026-01-01T00:00:00Z,3.3813,8.3975,2.2999,2.6318,3.528,1.6368
E0030,2026-01-01T00:00:00Z,5.237,7.7938,0.4554,0.9088,2.5977,-0.0871
E0031,2026-01-01T00:00:00Z,4.764,6.5049,3.7415,3.057,1.5868,0.2441
E0032,2026-01-01T00:00:00Z,4.2516,8.544,2.8465,-1.9185,3.9611,1.6064
E0033,2026-01-01T00:00:00Z,6.1723,7.2498,0.5472,1.5617,2.2606,0.9168
E0034,2026-01-01T00:00:00Z,4.3989,8.6634,6.3994,3.0504,2.2581,1.1971
E0035,2026-01-01T00:00:00Z,3.887,7.6548,3.8733,3.2976,4.3307,2.118
E0036,2026-01-01T00:00:00Z,3.1845,9.6428,3.2177,4.2223,4.9661,3.2555
E0037,2026-01-01T00:00:00Z,3.9605,8.8397,-0.0521,3.8889,3.3189,1.321
E0038,2026-01-01T00:00:00Z,3.8596,9.0859,2.495,3.7588,2.2143,2.6222
E0039,2026-01-01T00:00:00Z,5.4657,7.7935,4.2652,5.4235,3.0325,0.9919
E0040,2026-01-01T00:00:00Z,5.9064,8.5632,2.7419,3.8316,3.036,0.6096
E0041,2026-01-01T00:00:00Z,5.2562,8.4608,-0.1477,3.2835,4.0708,-1.4507
E0042,2026-01-01T00:00:00Z,4.0614,10.4162,2.2949,3.3947,2.2426,1.0637
E0043,2026-01-01T00:00:00Z,4.4615,8.0995,3.2176,2.7485,3.3072,0.945
E0044,2026-01-01T00:00:00Z,3.6856,8.7097,6.3862,0.6376,2.6726,1.3819
E0045,2026-01-01T00:00:00Z,4.5035,7.417,4.4247,2.1139,3.1962,1.2478
E0046,2026-01-01T00:00:00Z,4.7596,9.6749,2.9662,3.377,0.8222,1.9109
E0047,2026-01-01T00:00:00Z,4.997,9.5487,6.5983,3.5365,3.5824,0.8062
E0048,2026-01-01T00:00:00Z,4.494,9.2676,2.663,-0.5574,3.3172,-0.4156
E0049,2026-01-01T00:00:00Z,3.9506,9.2757,5.4963,1.6481,4.2466,2.0392
E0050,2026-01-01T00:00:00Z,4.475,8.5434,2.9899,2.0021,2.1903,2.2545
E0051,2026-01-01T00:00:00Z,5.3118,7.9386,2.0978,0.922,3.2089,1.1999
E0052,2026-01-01T00:00:00Z,4.0605,8.6172,5.9883,3.6124,5.6041,1.1982
E0053,2026-01-01T00:00:00Z,5.7774,8.7542,3.6034,4.7254,1.7182,0.1968
E0054,2026-01-01T00:00:00Z,4.8679,9.7259,1.6274,1.9779,2.3819,1.5345
E0055,2026-01-01T00:00:00Z,3.7345,9.6155,1.7983,3.3685,1.6693,0.3188
E0056,2026-01-01T00:00:00Z,4.8141,7.7802,0.8982,2.9212,4.4446,1.7734
E0057,2026-01-01T00:00:00Z,4.7842,7.3291,-0.2669,1.4855,1.1963,2.1284
E0058,2026-01-01T00:00:00Z,3.6112,6.6729,3.7596,1.2274,4.7132,0.2687
E0059,2026-01-01T00:00:00Z,5.745,6.6166,-2.5159,4.6994,4.6098,1.1422
E0060,2026-01-01T00:00:00Z,6.0325,9.5196,-1.1733,4.931,3.6366,1.5591
E0061,2026-01-01T00:00:00Z,4.6859,9.2213,2.4715,3.9365,4.3542,1.1659
E0062,2026-01-01T00:00:00Z,5.241,9.2245,5.3522,1.9382,6.115,1.3048
E0063,2026-01-01T00:00:00Z,5.1613,8.7276,4.0588,0.1695,3.1033,0.7366
E0064,2026-01-01T00:00:00Z,4.2283,10.6134,-1.0887,0.698,5.564,0.6735
E0065,2026-01-01T00:00:00Z,4.9482,7.9801,2.3711,3.2495,6.1223,2.0361
E0066,2026-01-01T00:00:00Z,4.5588,8.1368,5.0109,2.6669,3.8048,0.2563
E0067,2026-01-01T00:00:00Z,7.2304,7.876,4.3309,5.0487,2.3913,2.2983
E0068,2026-01-01T00:00:00Z,2.6094,8.0091,1.4235,2.5441,0.9781,-0.1687
E0069,2026-01-01T00:00:00Z,2.1755,7.7692,1.6578,0.8153,4.0798,-1.2022
E0070,2026-01-01T00:00:00Z,4.2054,9.2566,-1.4194,2.4931,6.5269,2.4863
E0071,2026-01-01T00:00:00Z,4.7154,8.1004,4.5776,1.9218,6.063,0.9738
E0072,2026-01-01T00:00:00Z,3.111,8.3877,1.3776,3.3103,5.2914,-0.3144
E0073,2026-01-01T00:00:00Z,3.7197,8.1685,4.6104,3.5264,1.4437,0.7429
E0074,2026-01-01T00:00:00Z,3.9665,7.5651,3.5349,3.8515,4.4646,0.0091
E0075,2026-01-01T00:00:00Z,4.5546,8.0704,5.8064,0.769,2.0625,-0.0092
E0076,2026-01-01T00:00:00Z,5.3073,8.1189,5.5342,2.703,2.7417,0.523
E0077,2026-01-01T00:00:00Z,5.3728,7.783,0.7687,1.6682,2.5894,0.0704
E0078,2026-01-01T00:00:00Z,4.3831,8.2125,3.6603,3.0639,3.0439,1.9217
E0079,2026-01-01T00:00:00Z,4.2655,8.9629,-0.626,3.4419,5.4767,0.0091
E0080,2026-01-01T00:00:00Z,3.6302,10.1203,2.947,1.4138,1.6085,0.1692
E0081,2026-01-01T00:00:00Z,2.9881,8.8755,3.6224,2.0946,1.9326,1.5103
E0082,2026-01-01T00:00:00Z,5.3469,8.2947,1.0423,4.0058,0.8332,-0.7233
E0083,2026-01-01T00:00:00Z,5.0725,7.2051,1.6065,-1.1592,2.0941,1.4615
E0084,2026-01-01T00:00:00Z,2.9453,8.5336,3.272,0.862,3.8942,1.9082
E0085,2026-01-01T00:00:00Z,4.5864,8.2611,4.3629,2.4155,5.5646,0.0987
E0086,2026-01-01T00:00:00Z,3.8895,7.9965,-0.0283,2.6423,3.3569,-0.4452
E0087,2026-01-01T00:00:00Z,4.6551,8.2438,3.6487,2.7558,3.3804,0.3027
E0088,2026-01-01T00:00:00Z,3.4698,7.8833,-1.1936,0.8001,5.8026,0.221
E0089,2026-01-01T00:00:00Z,4.2933,8.3765,1.1325,2.8258,2.0623,0.4923
E0090,2026-01-01T00:00:00Z,6.3411,8.8266,1.5495,6.8255,4.7935,1.2504
E0091,2026-01-01T00:00:00Z,4.9716,7.7453,2.3905,0.122,4.1848,1.2302
E0092,2026-01-01T00:00:00Z,4.5112,9.1763,1.8936,0.7087,4.4334,0.6095
E0093,2026-01-01T00:00:00Z,2.945,7.6422,1.4766,3.4892,4.4064,0.2682
E0094,2026-01-01T00:00:00Z,5.2856,8.3959,0.3726,2.4411,2.4518,0.9973
E0095,2026-01-01T00:00:00Z,5.0931,7.6183,-1.224,1.0903,2.3121,1.6204
E0096,2026-01-01T00:00:00Z,6.3296,8.1256,7.2525,1.168,4.2112,0.4667
E0097,2026-01-01T00:00:00Z,5.7353,9.2039,4.4737,3.1055,4.5721,0.6719
E0098,2026-01-01T00:00:00Z,3.3007,8.6585,1.1469,4.3731,3.2869,2.1408
E0099,2026-01-01T00:00:00Z,4.326,9.3781,1.2625,3.1295,3.7023,1.0599
E0100,2026-01-01T00:00:00Z,3.3991,7.4291,7.1799,3.765,5.0022,1.0182
E0101,2026-01-01T00:00:00Z,2.2576,8.6903,2.847,3.0071,6.0931,0.2728
E0102,2026-01-01T00:00:00Z,4.05,8.9692,1.9281,1.5538,4.2651,1.8126
E0103,2026-01-01T00:00:00Z,4.5553,8.1494,1.3328,4.4024,2.8501,2.3725
E0104,2026-01-01T00:00:00Z,2.0469,8.0145,1.075,1.3371,4.2166,2.0175
E0105,2026-01-01T00:00:00Z,4.7245,9.6856,7.4984,2.1355,1.7389,1.4569
E0106,2026-01-01T00:00:00Z,3.4115,8.7665,5.7913,3.833,4.1998,0.0429
E0107,2026-01-01T00:00:00Z,5.3811,7.105,1.734,2.805,3.9077,2.04
E0108,2026-01-01T00:00:00Z,3.0804,9.3871,6.7932,3.2396,3.1505,1.5225
E0109,2026-01-01T00:00:00Z,4.0476,8.3687,3.9888,4.5831,5.2259,1.0135
E0110,2026-01-01T00:00:00Z,3.9041,8.5878,0.6222,3.2959,2.8311,2.3579
E0111,2026-01-01T00:00:00Z,4.3296,8.1927,-0.0878,-0.7852,2.2391,0.6274
E0112,2026-01-01T00:00:00Z,4.5964,8.6746,3.0532,1.8885,3.2891,1.2196
E0113,2026-01-01T00:00:00Z,3.5005,8.0876,4.2818,1.6217,2.4034,0.6388
E0114,2026-01-01T00:00:00Z,4.1052,8.9269,2.2776,1.3674,4.1743,-1.8798
E0115,2026-01-01T00:00:00Z,5.3341,8.134,2.4547,1.8641,0.5659,1.0969
E0116,2026-01-01T00:00:00Z,5.2771,8.2173,-0.0032,-0.9275,3.1835,-0.0917
E0117,2026-01-01T00:00:00Z,5.4464,10.4374,-0.0291,1.982,2.3808,1.7836
E0118,2026-01-01T00:00:00Z,3.4717,7.1264,4.3207,2.5308,2.746,-0.0861
E0119,2026-01-01T00:00:00Z,4.4248,9.6678,4.0373,1.9697,3.9053,1.2659
E0120,2026-01-01T00:00:00Z,4.7496,9.0698,-0.9428,-0.9633,2.5663,1.4121
