row_id,account_id,event_time,amount,currency
R00000,A0053,1772331780000,34.92,GBP
R00001,A0027,1772339280000,21.76,SEK
R00002,A0028,1772343420000,19.01,USD
R00003,A0028,1772346780000,18.52,GBP
R00004,A0044,1772352540000,32.86,USD
R00005,A0044,1772355360000,49.38,USD
R00006,A0013,1772369820000,19.39,USD
R00007,A0057,1772370840000,3.37,SEK
R00008,A0018,1772371740000,23.06,GBP
R00009,A0053,1772373780000,3.43,GBP
R00010,A0052,1772374380000,33.32,USD
R00011,A0013,1772377200000,77.73,SEK
R00012,A0033,1772385900000,14.3,EUR
R00013,A0052,1772388000000,27.03,USD
R00014,A0014,1772393340000,34.2,GBP
R00015,A0011,1772397780000,6.53,USD
R00016,A0043,1772407080000,10.95,GBP
R00017,A0006,1772409960000,6.51,GBP
R00018,A0023,1772454660000,16.49,EUR
R00019,A0031,1772458320000,41.91,SEK
R00020,A0005,1772460060000,37.39,SEK
R00021,A0019,1772466360000,15.76,GBP
R00022,A0005,1772467860000,136.38,GBP
R00023,A0020,1772470680000,6.58,USD
R00024,A0026,1772484480000,1.85,GBP
R00025,A0037,1772485980000,67.52,USD
R00026,A0015,1772489160000,134.82,EUR
R00027,A0027,1772489340000,26.0,SEK
R00028,A0057,1772494200000,28.48,USD
R00029,A0001,1772501100000,19.35,USD
R00030,A0043,1772505960000,27.27,EUR
R00031,A0052,1772532540000,65.0,USD
R00032,A0010,1772536440000,43.42,GBP
R00033,A0046,1772550300000,12.54,SEK
R00034,A0045,1772552400000,14.82,SEK
R00035,A0056,1772558040000,30.72,EUR
R00036,A0012,1772561580000,65.4,GBP
R00037,A0015,1772564880000,16.05,SEK
R00038,A0036,1772570580000,55.42,SEK
R00039,A0015,1772573820000,38.79,EUR
R00040,A0005,1772573880000,2.24,EUR
R00041,A0010,1772583600000,14.3,EUR
R00042,A0039,1772585280000,7.19,EUR
R00043,A0030,1772587380000,6.46,GBP
R00044,A0057,1772588040000,143.97,GBP
R00045,A0008,1772593140000,27.63,GBP
R00046,A0013,1772593380000,5.44,GBP
R00047,A0048,1772623380000,26.82,SEK
R00048,A0036,1772625420000,4.99,USD
R00049,A0038,1772633580000,11.18,USD
R00050,A0010,1772649540000,34.46,GBP
R00051,A0003,1772668800000,16.16,USD
R00052,A0047,1772672160000,31.65,USD
R00053,A0028,1772674560000,22.1,SEK
R00054,A0001,1772675160000,13.45,SEK
R00055,A0038,1772678100000,47.84,USD
R00056,A0001,1772678220000,14.35,GBP
R00057,A0023,1772683440000,5.25,SEK
R00058,A0051,1772702820000,44.11,GBP
R00059,A0005,1772709360000,11.67,USD
R00060,A0038,1772719800000,52.64,GBP
R00061,A0023,1772745720000,12.15,SEK
R00062,A0041,1772745960000,53.58,GBP
R00063,A0019,1772752860000,80.24,SEK
R00064,A0012,1772766240000,22.91,USD
R00065,A0027,1772769120000,12.46,USD
R00066,A0059,1772770560000,44.05,GBP
R00067,A0038,1772772300000,4.77,EUR
R00068,A0044,1772773260000,3.08,EUR
R00069,A0044,1772779200000,12.53,GBP
R00070,A0053,1772785440000,12.11,SEK
R00071,A0019,1772788800000,31.98,EUR
R00072,A0020,1772792400000,11.85,USD
R00073,A0038,1772795820000,31.15,USD
R00074,A0036,1772802060000,26.34,GBP
R00075,A0053,1772803680000,25.54,USD
R00076,A0022,1772805000000,5.74,USD
R00077,A0018,1772805720000,16.83,SEK
R00078,A0000,1772828580000,1.64,EUR
R00079,A0024,1772832120000,84.07,USD
R00080,A0043,1772836620000,105.7,GBP
R00081,A0001,1772868900000,8.38,SEK
R00082,A0004,1772881980000,24.63,EUR
R00083,A0011,1772886720000,9.09,USD
R00084,A0020,1772896800000,14.65,EUR
R00085,A0040,1772898300000,8.81,EUR
R00086,A0012,1772898780000,20.46,USD
R00087,A0051,1772909700000,64.94,GBP
R00088,A0006,1772910780000,31.39,USD
R00089,A0031,1772932320000,4.03,SEK
R00090,A0001,1772957700000,16.25,EUR
R00091,A0022,1772958480000,72.57,GBP
R00092,A0024,1772960520000,5.55,GBP
R00093,A0055,1772963160000,18.01,SEK
R00094,A0030,1772972700000,77.98,EUR
R00095,A0010,1772973060000,35.24,SEK
R00096,A0019,1772974800000,28.85,USD
R00097,A0001,1772975700000,23.11,SEK
R00098,A0032,1772990100000,12.72,USD
R00099,A0004,1772999400000,36.1,EUR
R00100,A0029,1773002520000,23.0,EUR
R00101,A0035,1773004740000,1.74,GBP
R00102,A0025,1773012540000,20.76,SEK
R00103,A0022,1773022860000,40.04,SEK
R00104,A0046,1773034260000,107.68,GBP
R00105,A0045,1773034440000,2.15,USD
R00106,A0008,1773036180000,10.23,SEK
R00107,A0011,1773039120000,197.25,SEK
R00108,A0038,1773041400000,52.01,SEK
R00109,A0027,1773045600000,26.95,USD
R00110,A0037,1773046140000,8.89,USD
R00111,A0039,1773055320000,31.36,EUR
R00112,A0057,1773057420000,193.0,USD
R00113,A0057,1773060120000,15.69,SEK
R00114,A0027,1773062400000,159.51,EUR
R00115,A0052,1773083100000,11.55,GBP
R00116,A0056,1773083340000,134.8,GBP
R00117,A0001,1773085740000,30.79,SEK
R00118,A0007,1773090480000,41.56,GBP
R00119,A0033,1773095760000,11.33,GBP
R00120,A0058,1773107760000,27.27,EUR
R00121,A0035,1773111180000,19.82,EUR
R00122,A0029,1773114960000,55.49,EUR
R00123,A0020,1773119580000,27.49,GBP
R00124,A0048,1773122820000,16.05,USD
R00125,A0009,1773124020000,110.3,EUR
R00126,A0055,1773129180000,28.98,USD
R00127,A0001,1773131520000,18.91,GBP
R00128,A0039,1773137160000,18.61,GBP
R00129,A0022,1773139980000,71.65,GBP
R00130,A0041,1773141060000,32.37,EUR
R00131,A0031,1773141060000,87.65,SEK
R00132,A0023,1773144840000,36.63,GBP
R00133,A0030,1773146280000,10.58,GBP
R00134,A0026,1773157980000,20.47,SEK
R00135,A0036,1773160080000,76.83,EUR
R00136,A0014,1773164160000,25.05,GBP
R00137,A0006,1773164880000,29.16,USD
R00138,A0016,1773165420000,6.25,GBP
R00139,A0000,1773166440000,5.64,USD
R00140,A0055,1773169440000,3.82,USD
R00141,A0037,1773181200000,28.66,EUR
R00142,A0050,1773183060000,51.0,GBP
R00143,A0045,1773184560000,71.07,SEK
R00144,A0037,1773191160000,15.31,GBP
R00145,A0039,1773197220000,10.92,SEK
R00146,A0036,1773200040000,17.0,EUR
R00147,A0038,1773200940000,17.01,SEK
R00148,A0057,1773210300000,29.61,SEK
R00149,A0036,1773212700000,31.36,USD
R00150,A0027,1773217080000,14.63,USD
R00151,A0014,1773217800000,15.31,GBP
R00152,A0010,1773224220000,19.48,SEK
R00153,A0039,1773245940000,14.23,SEK
R00154,A0023,1773246540000,5.72,EUR
R00155,A0017,1773253740000,34.94,USD
R00156,A0059,1773259140000,48.8,SEK
R00157,A0017,1773268200000,11.8,EUR
R00158,A0008,1773270600000,30.09,USD
R00159,A0013,1773279840000,9.54,SEK
R00160,A0028,1773282780000,29.06,USD
R00161,A0059,1773289980000,4.36,GBP
R00162,A0006,1773300180000,1.49,EUR
R00163,A0003,1773326580000,57.14,USD
R00164,A0049,1773328620000,49.19,USD
R00165,A0041,1773337800000,10.14,USD
R00166,A0014,1773347460000,13.3,SEK
R00167,A0002,1773348840000,29.13,SEK
R00168,A0037,1773349860000,78.95,GBP
R00169,A0034,1773354120000,41.08,USD
R00170,A0003,1773357900000,21.92,SEK
R00171,A0025,1773376260000,2.56,EUR
R00172,A0051,1773381180000,4.21,USD
R00173,A0004,1773393840000,39.44,SEK
R00174,A0041,1773394320000,28.97,GBP
R00175,A0022,1773398520000,217.38,SEK
R00176,A0023,1773402660000,52.85,USD
R00177,A0027,1773404700000,22.09,USD
R00178,A0011,1773416280000,17.35,USD
R00179,A0057,1773417360000,12.07,USD
R00180,A0025,1773427020000,3.37,USD
R00181,A0049,1773428160000,7.94,SEK
R00182,A0000,1773428880000,8.06,GBP
R00183,A0055,1773432240000,11.19,EUR
R00184,A0051,1773454500000,20.95,SEK
R00185,A0042,1773471000000,2.27,USD
R00186,A0019,1773491280000,16.51,USD
R00187,A0011,1773494820000,26.93,SEK
R00188,A0016,1773504060000,3.94,GBP
R00189,A0001,1773509640000,20.72,USD
R00190,A0054,1773510960000,56.37,EUR
R00191,A0018,1773536520000,32.44,GBP
R00192,A0020,1773537240000,10.08,GBP
R00193,A0019,1773539940000,34.2,USD
R00194,A0013,1773540840000,13.95,EUR
R00195,A0025,1773547860000,24.32,GBP
R00196,A0055,1773556920000,4.2,SEK
R00197,A0019,1773562800000,20.07,EUR
R00198,A0040,1773564900000,13.48,GBP
R00199,A0041,1773588540000,29.74,GBP
R00200,A0011,1773590820000,19.17,EUR
R00201,A0034,1773592080000,46.69,EUR
R00202,A0058,1773592320000,4.06,GBP
R00203,A0052,1773594840000,17.37,GBP
R00204,A0049,1773598800000,43.86,GBP
R00205,A0039,1773601680000,23.55,GBP
R00206,A0053,1773601800000,25.2,EUR
R00207,A0028,1773611220000,38.82,EUR
R00208,A0039,1773617280000,4.63,USD
R00209,A0048,1773628560000,51.82,USD
R00210,A0006,1773629520000,23.56,GBP
R00211,A0019,1773630720000,55.63,USD
R00212,A0039,1773632160000,13.47,GBP
R00213,A0045,1773632220000,31.91,GBP
R00214,A0019,1773637860000,82.96,GBP
R00215,A0058,1773639360000,5.72,EUR
R00216,A0048,1773639420000,24.71,EUR
R00217,A0045,1773640500000,34.34,GBP
R00218,A0043,1773656880000,136.53,GBP
R00219,A0050,1773658680000,29.18,USD
R00220,A0010,1773659340000,16.31,SEK
R00221,A0027,1773659700000,110.65,SEK
R00222,A0015,1773663540000,3.97,GBP
R00223,A0005,1773665040000,27.73,GBP
R00224,A0033,1773666600000,136.07,GBP
R00225,A0048,1773685560000,18.08,USD
R00226,A0011,1773687840000,13.17,EUR
R00227,A0031,1773688380000,18.59,EUR
R00228,A0001,1773700560000,4.06,SEK
R00229,A0004,1773705420000,36.9,EUR
R00230,A0043,1773710340000,18.17,EUR
R00231,A0032,1773711600000,1.92,GBP
R00232,A0041,1773711780000,50.75,EUR
R00233,A0055,1773740580000,31.53,USD
R00234,A0016,1773742620000,31.74,USD
R00235,A0017,1773750720000,16.37,SEK
R00236,A0004,1773755520000,6.17,USD
R00237,A0025,1773762720000,14.5,EUR
R00238,A0037,1773763620000,16.21,USD
R00239,A0052,1773787860000,33.89,EUR
R00240,A0014,1773798480000,66.3,USD
R00241,A0051,1773800460000,18.73,EUR
R00242,A0036,1773801480000,11.07,SEK
R00243,A0037,1773804180000,72.51,EUR
R00244,A0016,1773811440000,29.84,GBP
R00245,A0016,1773816120000,73.93,SEK
R00246,A0007,1773834840000,17.98,EUR
R00247,A0021,1773835920000,91.44,EUR
R00248,A0034,1773843600000,58.37,USD
R00249,A0011,1773845820000,7.56,EUR
R00250,A0038,1773848580000,15.25,EUR
R00251,A0005,1773849240000,10.43,EUR
R00252,A0028,1773850680000,49.22,USD
R00253,A0043,1773851160000,9.16,GBP
R00254,A0035,1773851520000,134.23,SEK
R00255,A0006,1773851880000,19.2,USD
R00256,A0056,1773858180000,6.31,EUR
R00257,A0012,1773859740000,26.34,USD
R00258,A0029,1773861240000,27.62,EUR
R00259,A0035,1773863100000,2.3,USD
R00260,A0031,1773871500000,17.43,EUR
R00261,A0017,1773872640000,22.87,SEK
R00262,A0001,1773882240000,73.53,USD
R00263,A0045,1773882300000,9.78,USD
R00264,A0001,1773894840000,11.93,GBP
R00265,A0046,1773902460000,105.63,USD
R00266,A0032,1773903900000,6.63,USD
R00267,A0003,1773905820000,31.81,GBP
R00268,A0032,1773906000000,42.6,USD
R00269,A0020,1773906540000,3.75,SEK
R00270,A0056,1773908160000,40.8,USD
R00271,A0054,1773910500000,14.15,USD
R00272,A0055,1773911520000,59.92,USD
R00273,A0030,1773927600000,30.12,EUR
R00274,A0038,1773931260000,34.74,USD
R00275,A0035,1773936240000,31.1,EUR
R00276,A0053,1773937560000,40.73,EUR
R00277,A0030,1773944220000,11.07,GBP
