account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772343590000,59.15,2691.36,785,bronze,12,88.86,0
A0001,1772142873000,188.84,6216.31,850,silver,34,93.99,0
A0002,1773604048000,33.2,-346.37,606,gold,10,13.43,1
A0003,1772459473000,6.4,3558.75,652,gold,6,8.12,1
A0004,1772713062000,40.65,1923.25,705,bronze,1,13.11,1
A0005,1773484694000,54.33,6903.62,768,bronze,37,88.39,0
A0006,1772939098000,11.44,550.85,323,silver,38,5.8,1
A0007,1773299381000,21.86,6079.75,488,silver,23,90.18,0
A0008,1773395278000,96.08,4055.13,304,silver,37,90.83,0
A0009,1772007399000,67.26,4770.98,727,silver,24,10.54,1
A0010,1773413589000,20.44,10065.88,556,gold,14,89.6,0
A0011,1773705492000,18.32,2302.83,300,bronze,12,85.62,0
A0012,1772647360000,85.74,5718.3,492,silver,31,89.74,0
A0013,1772313893000,14.96,8138.68,807,silver,33,11.29,1
A0014,1772013752000,19.74,3912.78,700,bronze,23,88.62,0
A0015,1772463052000,116.69,4282.06,616,bronze,16,86.37,0
A0016,1772142620000,49.16,2420.32,473,gold,24,93.44,0
A0017,1772002428000,5.04,6006.51,434,bronze,7,8.28,1
A0018,1772545138000,9.63,4623.8,747,bronze,21,11.12,1
A0019,1772827055000,57.13,7017.8,420,gold,38,88.44,0
A0020,1773689522000,144.91,3186.92,526,silver,23,11.11,1
A0021,1772492087000,65.14,5566.15,765,bronze,38,94.51,0
A0022,1772255021000,26.26,4319.58,787,silver,14,9.04,1
A0023,1773119369000,5.08,8864.37,517,gold,13,9.16,1
A0024,1773677666000,109.33,3201.33,669,bronze,0,8.91,1
A0025,1772387132000,12.07,2336.25,467,gold,20,89.56,0
A0026,1772973929000,21.18,7235.22,743,gold,8,11.13,1
A0027,1773177443000,28.17,1838.1,546,gold,8,87.41,0
A0028,1773362529000,36.28,4444.81,700,bronze,29,10.11,1
A0029,1773468302000,88.25,9138.88,326,gold,25,92.27,0
A0030,1773203296000,50.69,6982.3,334,bronze,31,5.28,1
A0031,1772645017000,113.09,9180.81,774,silver,39,13.56,1
A0032,1773439854000,113.54,5430.88,615,gold,25,93.96,0
A0033,1772978273000,36.43,4861.95,811,bronze,28,7.69,1
A0034,1772712092000,9.92,7014.43,599,silver,39,90.7,0
A0035,1773159257000,20.59,7013.99,585,silver,39,10.59,1
A0036,1772749219000,9.94,5281.24,516,bronze,3,6.12,1
