user_id,item_id
U0000,I0002
U0000,I0008
U0000,I0022
U0000,I0025
U0000,I0030
U0000,I0039
U0000,I0040
U0000,I0046
U0001,I0002
U0001,I0026
U0001,I0027
U0001,I0035
U0001,I0044
U0001,I0048
U0001,I0050
U0002,I0005
U0002,I0023
U0002,I0027
U0002,I0058
U0003,I0019
U0003,I0022
U0003,I0032
U0003,I0035
U0003,I0044
U0003,I0046
U0003,I0048
U0003,I0051
U0003,I0053
U0004,I0002
U0004,I0006
U0004,I0015
U0004,I0018
U0004,I0025
U0004,I0038
U0004,I0041
U0004,I0042
U0004,I0051
U0005,I0000
U0005,I0007
U0005,I0008
U0005,I0020
U0005,I0025
U0005,I0046
U0005,I0048
U0005,I0050
U0005,I0055
U0005,I0057
U0006,I0006
U0006,I0009
U0006,I0019
U0006,I0034
U0006,I0038
U0006,I0045
U0006,I0053
U0006,I0055
U0006,I0059
U0007,I0002
U0007,I0005
U0007,I0015
U0007,I0016
U0007,I0022
U0007,I0027
U0007,I0043
U0007,I0052
U0007,I0053
U0008,I0002
U0008,I0006
U0008,I0031
U0008,I0033
U0008,I0045
U0008,I0053
U0009,I0003
U0009,I0007
U0009,I0012
U0009,I0023
U0009,I0028
U0009,I0029
U0009,I0050
U0009,I0054
U0010,I0001
U0010,I0003
U0010,I0005
U0010,I0007
U0010,I0022
U0010,I0030
U0010,I0052
U0011,I0001
U0011,I0005
U0011,I0008
U0011,I0011
U0011,I0050
U0011,I0055
U0012,I0010
U0012,I0025
U0012,I0026
U0012,I0029
U0012,I0046
U0012,I0053
U0013,I0009
U0013,I0023
U0013,I0024
U0013,I0027
U0013,I0029
U0013,I0033
U0013,I0035
U0013,I0045
U0013,I0046
U0014,I0003
U0014,I0023
U0014,I0032
U0014,I0035
U0014,I0050
U0015,I0007
U0015,I0008
U0015,I0011
U0015,I0028
U0015,I0034
U0015,I0050
U0015,I0056
U0016,I0004
U0016,I0020
U0016,I0022
U0016,I0023
U0016,I0024
U0016,I0037
U0016,I0046
U0017,I0000
U0017,I0002
U0017,I0018
U0017,I0020
U0017,I0045
U0017,I0059
U0018,I0012
U0018,I0016
U0018,I0019
U0018,I0030
U0018,I0053
U0018,I0059
U0019,I0011
U0019,I0019
U0019,I0042
U0019,I0049
U0019,I0052
U0020,I0001
U0020,I0002
U0020,I0016
U0020,I0022
U0020,I0035
U0020,I0051
U0020,I0052
U0020,I0059
U0021,I0004
U0021,I0005
U0021,I0010
U0021,I0025
U0021,I0032
U0021,I0037
U0021,I0041
U0021,I0043
U0021,I0047
U0021,I0054
U0022,I0003
U0022,I0035
U0022,I0048
U0022,I0049
U0022,I0054
U0023,I0007
U0023,I0015
U0023,I0022
U0023,I0024
U0023,I0039
U0023,I0040
U0023,I0041
U0023,I0056
U0023,I0057
U0023,I0059
U0024,I0003
U0024,I0038
U0024,I0048
U0024,I0051
U0024,I0056
U0025,I0016
U0025,I0017
U0025,I0024
U0025,I0032
U0025,I0046
U0026,I0004
U0026,I0005
U0026,I0008
U0026,I0016
U0026,I0021
U0026,I0026
U0026,I0031
U0026,I0048
U0027,I0005
U0027,I0011
U0027,I0017
U0027,I0021
U0027,I0050
U0028,I0008
U0028,I0009
U0028,I0019
U0028,I0048
U0028,I0049
U0028,I0050
U0028,I0055
U0029,I0007
U0029,I0010
U0029,I0012
U0029,I0033
U0029,I0036
U0029,I0038
U0029,I0052
U0030,I0007
U0030,I0022
U0030,I0032
U0030,I0034
U0030,I0040
U0030,I0044
U0030,I0053
U0030,I0055
U0030,I0059
U0031,I0005
U0031,I0011
U0031,I0024
U0031,I0034
U0031,I0044
U0031,I0049
U0031,I0052
U0032,I0003
U0032,I0010
U0032,I0012
U0032,I0014
U0032,I0032
U0032,I0037
U0032,I0040
U0032,I0045
U0032,I0052
U0033,I0002
U0033,I0009
U0033,I0012
U0033,I0033
U0033,I0045
U0033,I0055
U0034,I0002
U0034,I0005
U0034,I0015
U0034,I0028
U0034,I0034
U0034,I0035
U0034,I0056
U0034,I0058
U0035,I0008
U0035,I0009
U0035,I0016
U0035,I0021
U0035,I0027
U0035,I0040
U0035,I0045
U0036,I0008
U0036,I0024
U0036,I0038
U0036,I0051
U0036,I0055
U0036,I0056
U0036,I0059
U0037,I0023
U0037,I0028
U0037,I0029
U0037,I0035
U0037,I0037
U0037,I0038
U0037,I0042
U0037,I0049
U0038,I0008
U0038,I0015
U0038,I0016
U0038,I0045
U0038,I0046
U0038,I0049
U0038,I0057
U0039,I0009
U0039,I0014
U0039,I0018
U0039,I0026
U0039,I0045
U0039,I0054
