item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,-1.4034,0.0692,0.6398,0.0648,0.5586,0.1439,-1.2209,-0.3876
I0001,-0.0702,-1.563,0.3035,-0.8305,-0.6363,-1.8154,0.7487,-0.9098
I0002,-2.2704,0.6664,1.6651,-0.8878,0.6697,0.6996,1.5704,0.4708
I0003,0.1246,0.3302,-1.3186,2.7925,0.0321,1.4785,-2.2952,0.3682
I0004,0.069,0.873,-0.7124,0.6473,-0.7494,-1.1506,-0.2239,-0.3498
I0005,0.4005,-0.1686,-0.1869,0.0821,-0.2539,1.3159,0.6764,0.7505
I0006,0.1246,0.3302,-1.3186,2.7925,0.0321,1.4785,-2.2952,0.3682
I0007,1.3639,-0.3204,0.2817,-1.2267,1.0067,-0.3153,-0.4313,-0.4975
I0008,0.3195,1.5133,0.5944,-1.6231,1.836,-0.8058,-0.2057,1.327
I0009,-0.3887,0.5697,-0.5187,-0.8471,0.3562,-0.6051,-0.1268,0.2075
I0010,1.8852,-0.0872,-0.6144,1.1255,-0.9986,-0.0853,0.8807,-0.0287
I0011,-0.4191,-1.1491,-0.6171,-2.2656,0.0568,0.0814,1.4571,0.1601
I0012,-0.0517,-1.0787,-0.4583,0.2873,0.0903,-0.9382,2.0817,-0.2692
I0013,2.4923,1.0444,-0.506,0.8434,-1.0874,-0.8154,-0.8361,1.0337
I0014,0.9162,0.0344,0.4485,-0.1487,-0.2799,-0.0298,0.1421,-0.7625
I0015,0.2092,-0.1616,-1.0325,0.7474,-0.2695,-0.8843,-0.5191,-0.6774
I0016,-1.7686,0.0254,0.9979,1.7159,-0.0469,-0.0568,-0.9596,0.2346
I0017,0.4774,0.0332,-1.8509,0.289,0.0373,-0.397,0.8883,0.7378
I0018,-0.7005,-0.1854,0.6313,-0.6658,0.131,-0.7115,-0.2115,-0.1103
I0019,0.6451,0.9976,-0.5892,2.1415,-0.4473,0.4618,-0.5425,-1.3073
I0020,1.3639,-0.3204,0.2817,-1.2267,1.0067,-0.3153,-0.4313,-0.4975
I0021,0.7759,1.0958,1.472,0.4263,-0.5735,0.209,-1.955,1.8048
I0022,-0.6054,0.0151,0.1606,-0.225,0.6412,0.269,-1.9783,0.5569
I0023,-0.625,0.0198,0.5916,-1.578,-0.9425,0.9116,0.969,-0.0961
I0024,0.5136,-1.2552,0.881,-1.1924,2.3013,-1.2208,-0.3978,0.8283
I0025,0.9446,0.4086,0.6822,2.6681,-0.9735,-0.3899,-1.2698,0.033
I0026,1.7664,0.3022,0.7763,1.9441,-1.0528,-0.0326,1.8942,-1.728
I0027,0.9443,-0.0283,0.829,-0.1801,1.3102,-0.5368,-0.5081,1.2535
I0028,-0.5024,0.3229,0.9212,-0.2726,1.2452,0.2035,1.6387,0.0533
I0029,-0.0865,1.2007,2.6701,-0.7411,0.1962,0.6525,-0.4847,-0.0076
I0030,-0.1574,-0.3216,0.0645,1.0979,-0.1373,-0.697,-0.8397,0.5671
I0031,1.5054,0.9404,1.117,0.6572,-0.8349,0.4445,-0.2603,0.2903
I0032,-0.0591,1.5706,0.5073,-0.1222,-0.7975,1.0325,0.8134,-0.1748
I0033,0.2003,-1.05,-0.0382,-0.396,0.0146,-0.4568,-2.1935,0.1925
I0034,0.6107,-1.1948,-1.4914,0.1606,-1.3355,0.4704,-0.9006,-0.4965
I0035,-1.2758,-0.1691,-0.2219,-1.2152,0.2593,-1.8413,0.8274,1.8212
I0036,0.2003,-1.05,-0.0382,-0.396,0.0146,-0.4568,-2.1935,0.1925
I0037,1.8852,-0.0872,-0.6144,1.1255,-0.9986,-0.0853,0.8807,-0.0287
I0038,-0.9067,1.2587,-0.5446,-0.3332,1.9225,1.0585,-0.2303,0.6246
I0039,-0.5276,0.57,-1.4676,0.7184,1.0913,-0.1608,0.1331,1.8338
I0040,-0.6054,0.0151,0.1606,-0.225,0.6412,0.269,-1.9783,0.5569
I0041,-0.2706,0.9912,0.9268,-0.0982,-2.4625,-0.6269,-1.0666,0.5051
I0042,-1.2758,-0.1691,-0.2219,-1.2152,0.2593,-1.8413,0.8274,1.8212
I0043,-0.0068,-1.0949,-0.3833,1.1508,-1.4191,-0.41,-1.355,-0.257
I0044,1.1736,0.8752,2.32,-0.7823,-1.4019,0.1621,0.0049,0.1446
I0045,3.3493,-0.897,0.8246,-1.5444,0.3985,0.9516,0.5991,0.6458
I0046,-0.1897,-0.1373,-0.8872,1.0297,0.696,-1.2177,-0.6073,-0.9706
I0047,1.4519,-2.2863,-0.4488,-1.4587,0.9483,-1.1441,-0.0913,-0.6081
I0048,0.5,-0.1048,0.4365,-0.7002,1.0205,0.8314,-0.2079,-0.5105
I0049,0.3195,1.5133,0.5944,-1.6231,1.836,-0.8058,-0.2057,1.327
I0050,1.0831,-0.7625,-0.8596,-0.9382,2.0885,-0.1073,2.1014,-1.7037
I0051,0.7162,0.0815,0.9526,1.0613,0.6756,-0.2626,-1.5907,0.481
I0052,0.1251,-0.2001,0.8663,1.0583,-0.4823,-0.6013,-0.6057,1.2989
I0053,1.2922,1.2697,-0.7452,-0.0726,0.238,1.1527,-0.2056,0.1486
I0054,0.1748,1.051,0.1242,-1.0356,0.4844,-0.4639,-1.6085,0.6886
I0055,1.0996,-0.6123,0.4691,-0.7902,1.3471,-0.6114,0.0378,-1.7593
I0056,1.3015,-1.2114,0.3735,0.6049,0.7648,0.465,0.5245,-1.1273
I0057,1.869,-0.6179,-1.1128,1.1461,0.0931,0.853,-1.0326,1.1055
I0058,0.9317,0.1448,1.3114,-1.8969,-0.8361,0.3999,0.7753,-0.4839
I0059,-0.0068,-1.0949,-0.3833,1.1508,-1.4191,-0.41,-1.355,-0.257
