entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-01T00:00:00Z,5.8276,3.4117,0.9854,0.2467,10.9783,7.1663
E0001,2026-01-01T00:00:00Z,5.2564,-0.6404,3.4361,0.8849,10.2942,9.6041
E0002,2026-01-01T00:00:00Z,7.2534,2.3015,3.0935,-0.301,10.5171,8.6399
E0003,2026-01-01T00:00:00Z,5.3525,-0.1599,3.2784,2.5985,8.5213,9.8065
E0004,2026-01-01T00:00:00Z,7.6478,-1.972,0.5762,2.2926,10.351,9.5341
E0005,2026-01-01T00:00:00Z,5.6936,0.956,-0.1254,1.6849,8.8966,8.7804
E0006,2026-01-01T00:00:00Z,7.1035,0.8497,2.4529,-1.3242,6.7158,10.3246
E0007,2026-01-01T00:00:00Z,5.3705,1.3459,2.3588,1.4417,6.2118,10.3925
E0008,2026-01-01T00:00:00Z,5.3294,2.6445,-0.1843,0.8067,9.8967,9.2496
E0009,2026-01-01T00:00:00Z,5.4622,0.5591,-2.3662,2.5318,8.1703,9.7566
E0010,2026-01-01T00:00:00Z,4.8076,2.546,0.204,2.7976,7.4463,8.7473
E0011,2026-01-01T00:00:00Z,7.0556,0.104,-1.0315,-0.1811,8.5175,9.001
E0012,2026-01-01T00:00:00Z,5.7693,0.2449,2.3553,2.2512,6.0753,10.7418
E0013,2026-01-01T00:00:00Z,5.8415,-1.4243,2.3762,0.0821,12.6664,8.4763
E0014,2026-01-01T00:00:00Z,6.9959,-0.5374,2.8281,2.1168,7.5751,10.9694
E0015,2026-01-01T00:00:00Z,6.981,4.2562,2.2479,2.7037,8.673,10.0631
E0016,2026-01-01T00:00:00Z,5.13,-0.794,-1.1103,0.2607,10.5351,8.9251
E0017,2026-01-01T00:00:00Z,5.6871,1.7383,1.7129,-0.2545,10.1115,9.6868
E0018,2026-01-01T00:00:00Z,3.2083,5.7713,1.191,2.6492,8.7128,10.4457
