row_id,f1,f2,f3,f4
R00000,-4.789723,-1.405939,1.502451,-5.448586
R00001,-4.60722,5.252832,1.554622,-4.461587
R00002,-4.363192,2.622867,0.714226,-4.8857
R00003,-4.759387,-1.671166,0.369512,-4.293182
R00004,-4.578892,4.970676,2.568054,-6.814947
R00005,-5.512448,0.613362,2.602174,-5.032584
R00006,-4.468142,4.016174,-1.053426,-4.848252
R00007,-5.432659,0.683463,1.216946,-2.216167
R00008,-4.751055,-1.739499,3.420401,-4.672694
R00009,-4.629735,-1.295063,3.229828,-4.737435
R00010,-3.927664,4.060194,1.621547,-5.283838
R00011,-5.085932,3.655575,2.065748,-4.010975
R00012,-5.228189,6.188135,0.59105,-4.11989
R00013,-4.860268,1.768258,1.615749,-3.611903
R00014,-4.69895,0.631345,1.95141,-5.822023
R00015,-4.480171,1.470734,2.672422,-3.790214
R00016,-5.376639,0.687581,-0.181574,-5.231488
R00017,-5.544429,3.494871,1.562275,-0.890669
R00018,-5.637961,2.114323,0.159119,-3.920761
R00019,-4.94008,3.848382,1.539942,-5.356353
R00020,-4.706411,5.431346,1.077019,-4.533771
R00021,-4.781026,1.034773,0.156681,-3.450183
R00022,-5.131833,-0.62098,-0.383733,-2.419915
R00023,-5.033742,4.999896,0.159775,-4.268675
R00024,-3.740952,2.584262,-2.866441,-5.289582
R00025,-4.422034,4.408189,0.678686,-4.70884
R00026,-4.952919,4.228088,2.627512,-3.420623
R00027,-5.139433,4.913552,1.590636,-4.945016
R00028,-3.781399,-2.043813,2.971782,-5.000523
R00029,-4.609171,0.823492,-0.747161,-4.247448
R00030,-4.255009,2.138841,-0.457391,-3.742317
R00031,-4.564183,5.983672,0.930972,-3.96715
R00032,-5.384462,5.390818,0.239315,-5.491057
R00033,-3.63797,5.063206,1.112843,-2.613184
R00034,-5.828716,-0.920061,-2.085775,-4.919617
R00035,-4.634277,3.865666,3.695153,-5.912273
R00036,-5.270445,1.810975,0.685378,-3.33113
R00037,-4.525975,3.655094,-0.803654,-5.371286
R00038,-4.135849,3.232467,1.611853,-4.106435
R00039,-5.072064,1.442121,0.877507,-3.325414
R00040,-3.436379,1.43549,2.489348,-6.044325
R00041,-4.678512,4.236443,-0.32678,-5.690465
R00042,-4.990211,2.362304,3.008015,-4.933773
