row_id,status,balance,updated_at
R00307,closed,3662.17,1769978760000
R00261,active,4941.18,1770256800000
R00097,dormant,4716.92,1770059160000
R00378,dormant,6260.21,1769915880000
R00178,active,4938.5,1770204360000
R00370,dormant,5809.92,1770152760000
R00188,active,-2.51,1769961900000
R00007,active,6543.76,1770097620000
R00218,active,6917.87,1770231720000
R00338,dormant,4590.76,1770275820000
R00074,closed,4768.35,1770011760000
R00395,dormant,6191.89,1770081420000
R00146,active,5379.71,1770052380000
R00236,dormant,6800.81,1770251400000
R00088,closed,7145.62,1769937060000
R00100,active,3395.21,1769918280000
R00297,active,4674.99,1770087660000
R00266,active,6839.5,1770162120000
R00294,dormant,8431.58,1770037320000
R00136,active,2236.79,1770308640000
R00249,closed,6551.61,1770193080000
R00336,dormant,7144.8,1769989080000
R00238,dormant,3665.83,1770190560000
R00232,dormant,5707.69,1770115860000
R00101,dormant,4927.73,1770002340000
R00275,active,3508.86,1770182340000
R00198,closed,4615.24,1770175860000
R00387,dormant,4977.5,1770494640000
R00119,dormant,7729.15,1770234840000
R00267,closed,6409.38,1770157860000
R00045,dormant,5945.99,1770085140000
R00304,closed,272.15,1770401220000
R00014,dormant,4217.46,1770272580000
R00174,dormant,4634.1,1770127200000
R00181,active,5178.14,1770482160000
R00380,closed,4823.18,1770083400000
R00253,dormant,4405.88,1770259080000
R00303,dormant,2413.12,1769924280000
R00140,active,4786.63,1770385500000
R00132,active,6186.5,1770076380000
R00321,closed,4073.22,1770384360000
R00112,active,7784.2,1769985360000
R00334,active,501.01,1769963160000
R00054,active,8228.43,1770305700000
R00124,dormant,4206.93,1770198960000
R00384,closed,2901.03,1770145500000
R00186,dormant,1847.96,1769931960000
R00268,closed,1278.25,1770384060000
R00162,closed,6032.18,1770383460000
R00005,closed,3415.48,1770389100000
R00160,dormant,7896.62,1770053160000
R00389,active,7784.88,1770469620000
R00015,dormant,4857.5,1770120000000
R00077,closed,4931.68,1770318000000
R00192,closed,6128.77,1769910780000
R00347,closed,7509.82,1769947080000
R00359,dormant,4746.06,1770057420000
R00287,closed,6357.9,1770388560000
R00362,active,4434.24,1770502740000
R00099,active,2111.42,1770032100000
R00331,active,6468.12,1769917020000
R00104,closed,8131.69,1770486600000
R00061,closed,4203.0,1770056940000
R00386,dormant,3014.84,1770194880000
R00011,closed,6527.85,1770411240000
R00055,closed,4220.66,1770168420000
R00105,dormant,4642.16,1770301980000
R00037,active,5771.16,1770392460000
R00092,closed,1511.24,1770245160000
R00293,closed,3972.25,1770208380000
R00057,closed,4269.25,1769974500000
R00391,active,6810.65,1770175380000
R00314,active,5022.12,1770353400000
R00301,dormant,4987.74,1770215700000
R00137,closed,2622.96,1769984760000
R00382,dormant,4462.1,1770141360000
