row_id,account_id,event_time,amount,currency
R00000,A0026,1772336580000,17.71,EUR
R00001,A0011,1772338860000,14.08,SEK
R00002,A0055,1772343000000,29.12,SEK
R00003,A0005,1772354040000,6.72,USD
R00004,A0058,1772365020000,15.34,GBP
R00005,A0036,1772369340000,15.25,USD
R00006,A0051,1772370960000,32.03,GBP
R00007,A0007,1772376420000,222.31,EUR
R00008,A0055,1772389680000,6.19,SEK
R00009,A0038,1772392920000,6.89,USD
R00010,A0006,1772395560000,66.26,GBP
R00011,A0056,1772396220000,48.77,GBP
R00012,A0008,1772407140000,6.58,EUR
R00013,A0012,1772408280000,18.23,GBP
R00014,A0044,1772419500000,7.54,USD
R00015,A0016,1772422200000,165.46,GBP
R00016,A0022,1772424840000,1.61,SEK
R00017,A0006,1772431860000,1.85,USD
R00018,A0058,1772433300000,10.32,GBP
R00019,A0042,1772433660000,10.48,GBP
R00020,A0002,1772437560000,21.07,USD
R00021,A0054,1772439000000,11.01,SEK
R00022,A0024,1772441820000,103.63,GBP
R00023,A0051,1772445840000,18.24,EUR
R00024,A0004,1772454060000,52.42,EUR
R00025,A0055,1772458620000,4.84,GBP
R00026,A0018,1772467380000,9.96,GBP
R00027,A0054,1772468400000,8.04,SEK
R00028,A0010,1772472420000,49.81,SEK
R00029,A0032,1772481780000,5.86,GBP
R00030,A0052,1772482740000,16.13,SEK
R00031,A0050,1772484780000,9.38,EUR
R00032,A0054,1772486220000,22.78,EUR
R00033,A0042,1772487660000,3.46,USD
R00034,A0032,1772490660000,72.13,GBP
R00035,A0040,1772529240000,21.2,GBP
R00036,A0000,1772531880000,12.29,EUR
R00037,A0015,1772538540000,19.74,USD
R00038,A0012,1772545680000,10.0,EUR
R00039,A0022,1772549040000,8.29,GBP
R00040,A0027,1772550480000,74.4,SEK
R00041,A0000,1772560560000,6.86,SEK
R00042,A0059,1772561880000,4.82,EUR
R00043,A0045,1772562000000,61.25,SEK
R00044,A0018,1772571660000,21.81,EUR
R00045,A0024,1772577960000,11.66,EUR
R00046,A0025,1772583960000,64.47,USD
R00047,A0030,1772586660000,66.24,EUR
R00048,A0001,1772606100000,32.05,USD
R00049,A0046,1772609820000,18.24,EUR
R00050,A0056,1772611080000,21.08,GBP
R00051,A0019,1772618520000,11.24,GBP
R00052,A0047,1772619840000,14.56,EUR
R00053,A0028,1772626860000,11.0,SEK
R00054,A0024,1772628000000,29.97,USD
R00055,A0045,1772640060000,8.85,GBP
R00056,A0023,1772645160000,8.97,SEK
R00057,A0013,1772647740000,64.64,USD
R00058,A0016,1772651700000,158.52,GBP
R00059,A0046,1772654400000,34.1,GBP
R00060,A0018,1772657580000,3.24,EUR
R00061,A0038,1772664780000,1.41,USD
R00062,A0015,1772666220000,19.63,SEK
R00063,A0054,1772670960000,19.14,SEK
R00064,A0018,1772685540000,25.5,GBP
R00065,A0057,1772694180000,15.08,USD
R00066,A0018,1772694900000,12.71,EUR
R00067,A0045,1772695140000,24.2,SEK
R00068,A0020,1772698920000,13.11,USD
R00069,A0014,1772703060000,15.35,USD
R00070,A0001,1772706000000,131.91,USD
R00071,A0052,1772706360000,20.2,EUR
R00072,A0058,1772740500000,12.85,USD
R00073,A0000,1772746440000,9.24,EUR
R00074,A0050,1772746740000,9.9,USD
R00075,A0010,1772747700000,35.63,USD
R00076,A0043,1772749980000,11.71,EUR
R00077,A0018,1772750820000,12.35,USD
R00078,A0047,1772757060000,48.25,SEK
R00079,A0021,1772760600000,11.67,USD
R00080,A0054,1772780160000,12.88,USD
R00081,A0059,1772781000000,5.77,GBP
R00082,A0049,1772791800000,7.3,SEK
R00083,A0008,1772796840000,1.51,SEK
R00084,A0029,1772801220000,5.93,GBP
R00085,A0002,1772817180000,142.53,GBP
R00086,A0041,1772828340000,21.85,EUR
R00087,A0056,1772830740000,8.15,SEK
R00088,A0047,1772835300000,4.23,GBP
R00089,A0047,1772843820000,86.86,EUR
R00090,A0049,1772844120000,11.74,USD
R00091,A0034,1772855100000,5.55,EUR
R00092,A0020,1772891100000,91.29,EUR
R00093,A0020,1772892600000,7.7,GBP
R00094,A0015,1772893080000,21.05,GBP
R00095,A0049,1772902320000,42.93,EUR
R00096,A0047,1772918340000,4.22,SEK
R00097,A0034,1772924640000,5.76,SEK
R00098,A0054,1772927880000,36.64,EUR
R00099,A0036,1772932860000,40.0,USD
R00100,A0021,1772938380000,21.09,EUR
R00101,A0050,1772938920000,78.98,GBP
R00102,A0018,1772942220000,6.48,EUR
R00103,A0004,1772945280000,23.35,SEK
R00104,A0020,1772945460000,3.3,SEK
R00105,A0054,1772946420000,40.64,EUR
R00106,A0000,1772962860000,14.96,SEK
R00107,A0018,1772966100000,10.99,EUR
R00108,A0051,1772966760000,17.56,GBP
R00109,A0004,1772971260000,17.19,USD
R00110,A0023,1772980200000,22.4,GBP
R00111,A0009,1772982660000,5.24,SEK
R00112,A0030,1772984760000,13.78,EUR
R00113,A0001,1772985840000,22.82,GBP
R00114,A0036,1772994120000,5.46,USD
R00115,A0006,1772995920000,17.52,SEK
R00116,A0036,1773000480000,19.45,USD
R00117,A0024,1773000900000,7.35,USD
R00118,A0024,1773013140000,9.1,USD
R00119,A0026,1773014460000,57.41,EUR
R00120,A0022,1773019320000,9.74,GBP
R00121,A0032,1773020100000,138.21,GBP
R00122,A0019,1773023160000,39.96,USD
R00123,A0018,1773030540000,6.9,GBP
R00124,A0019,1773034020000,52.62,GBP
R00125,A0049,1773035940000,25.84,GBP
R00126,A0030,1773037560000,93.51,GBP
R00127,A0037,1773040200000,29.96,USD
R00128,A0017,1773042180000,108.07,EUR
R00129,A0038,1773042600000,24.29,USD
R00130,A0029,1773044340000,8.95,EUR
R00131,A0053,1773050160000,21.28,GBP
R00132,A0042,1773055980000,63.48,SEK
R00133,A0021,1773066840000,85.33,SEK
R00134,A0016,1773067800000,32.15,EUR
R00135,A0009,1773078840000,174.41,GBP
R00136,A0023,1773082620000,46.06,USD
R00137,A0051,1773090120000,24.5,EUR
R00138,A0023,1773099060000,8.9,EUR
R00139,A0012,1773104100000,22.66,USD
R00140,A0048,1773105600000,207.65,SEK
R00141,A0039,1773110040000,49.7,GBP
R00142,A0002,1773111360000,62.54,SEK
R00143,A0010,1773112740000,10.2,EUR
R00144,A0003,1773115440000,5.44,GBP
R00145,A0028,1773131580000,29.82,EUR
R00146,A0031,1773133380000,68.99,GBP
R00147,A0001,1773151140000,4.65,USD
R00148,A0048,1773153900000,19.94,EUR
R00149,A0021,1773155580000,22.37,USD
R00150,A0019,1773164100000,31.41,SEK
R00151,A0006,1773164700000,18.71,GBP
R00152,A0047,1773168840000,21.21,SEK
R00153,A0032,1773171840000,30.97,EUR
R00154,A0032,1773179100000,36.12,USD
R00155,A0033,1773184500000,15.26,USD
R00156,A0007,1773204840000,18.64,GBP
R00157,A0000,1773211560000,26.55,SEK
R00158,A0043,1773214560000,12.64,EUR
R00159,A0029,1773217860000,5.67,GBP
R00160,A0013,1773219780000,37.31,USD
R00161,A0016,1773226620000,15.72,EUR
R00162,A0014,1773229920000,24.36,GBP
R00163,A0033,1773238980000,50.27,USD
R00164,A0028,1773239400000,9.79,EUR
R00165,A0001,1773247860000,34.2,SEK
R00166,A0008,1773261720000,60.35,EUR
R00167,A0031,1773262020000,5.22,SEK
R00168,A0018,1773262680000,47.64,EUR
R00169,A0005,1773263100000,67.08,GBP
R00170,A0016,1773264240000,11.37,EUR
R00171,A0017,1773269460000,56.57,USD
R00172,A0012,1773298680000,3.5,EUR
R00173,A0053,1773302220000,57.22,SEK
R00174,A0014,1773329220000,86.16,GBP
R00175,A0020,1773329220000,23.89,SEK
R00176,A0046,1773333660000,43.72,SEK
