account_id,f1,f2,f3,f4
A0000,-1.9391,3.69,-0.4421,2.8393
A0001,-0.9651,3.4583,-2.1066,3.84
A0002,-0.9637,3.0881,-2.3541,3.0469
A0003,-0.6634,4.2022,-4.9582,3.4809
A0004,-0.4157,2.1683,-1.7666,2.3107
A0005,-0.9558,1.3298,-2.4149,4.248
A0006,-1.5891,3.4661,-0.9879,3.216
A0007,-1.0876,1.3771,-3.9407,3.044
A0008,-1.0186,2.236,-0.1814,3.9759
A0009,-0.2096,2.9469,-2.0166,3.9047
A0010,-0.6686,3.0529,-3.441,3.826
A0011,-0.0208,4.675,-3.0413,4.9314
A0012,0.2154,2.3687,-1.8788,4.2977
A0013,-1.8316,4.0765,1.5554,3.5532
A0014,-1.4959,2.034,2.4907,2.4266
A0015,-0.779,2.1656,-1.9232,4.0578
A0016,-0.6246,1.4593,-1.9679,3.3432
A0017,-1.3873,3.1541,-4.2088,3.6725
A0018,-0.9582,1.1568,-4.2512,2.8143
A0019,-0.7756,2.85,0.849,3.0237
A0020,-1.2643,4.9006,-2.7697,2.6796
A0021,1.3588,2.0401,-2.58,4.1924
A0022,-0.5144,3.204,-1.5439,3.9618
A0023,-0.3805,3.2748,-1.0011,2.8929
A0024,-2.0601,2.9588,-4.6862,3.7301
A0025,-1.1166,2.2715,-2.6599,3.8962
A0026,-1.1396,3.0574,0.5938,4.0933
A0027,-0.9958,2.6168,1.704,2.6377
A0028,-0.7106,3.5676,-5.3618,3.2055
A0029,-1.4386,3.7955,2.6933,3.6108
A0030,-1.6896,2.1964,-0.3219,3.4621
A0031,-1.3264,3.3006,1.6828,3.4975
A0032,-1.223,2.1241,1.5589,3.4368
A0033,-1.1358,2.8915,3.8973,3.4243
A0034,-2.1974,2.7745,-2.0392,3.797
A0035,-1.4002,1.7309,3.5328,3.3152
A0036,-1.326,3.9344,-6.2056,3.6113
A0037,-0.8305,2.5791,0.807,2.8434
A0038,-0.5343,3.474,1.0053,1.5996
A0039,-1.1338,1.6099,-2.4355,3.5003
A0040,-2.0369,3.2383,-2.4615,3.4875
A0041,-1.7071,2.7685,-5.9431,3.197
