user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,0.4018,-1.9791,-1.0988,0.2304,-1.8373,0.3771,1.1044,0.5816
U0001,0.0001,-0.7541,0.2072,0.4092,1.6214,-0.6519,-0.8319,-0.9861
U0002,1.9385,-0.36,0.3192,2.0417,-0.3119,-2.1338,0.119,-1.144
U0003,-0.9226,-0.1635,1.5258,0.9745,0.7457,-0.7271,0.2628,0.1226
U0004,0.9856,0.8007,0.7865,-0.2873,1.0277,0.222,0.4035,-0.237
U0005,0.166,0.0323,0.7676,0.3568,-1.2767,0.4386,0.2538,0.2457
U0006,-0.1125,-0.0882,2.0502,0.953,0.0941,-0.558,0.1585,-0.43
U0007,-0.6036,-0.576,-0.4854,0.7547,0.3483,0.1731,-0.4494,-0.6175
U0008,-0.5957,1.2835,1.3336,-0.8117,-1.4565,-0.4801,-1.0222,1.4637
U0009,0.9021,-0.4989,-0.1237,1.5912,-0.8786,0.996,-0.1111,-1.6875
U0010,-0.5144,-1.1187,-0.1529,0.8346,-0.7578,-0.8106,0.1998,0.4227
U0011,0.0137,1.1088,0.237,-0.3817,-0.3191,1.3736,-0.1428,0.1454
U0012,-1.7705,-0.1553,-0.3074,-1.5142,-1.2095,0.9078,-1.3625,0.6523
U0013,1.2398,-0.1254,0.1249,0.1319,-0.0614,-0.8022,-0.7125,-1.4472
U0014,-0.017,0.4233,1.2162,0.0385,0.0159,0.8662,-0.6541,0.4342
U0015,0.1805,-1.2537,-0.8683,1.0435,-0.1452,0.3488,1.8845,-0.3493
U0016,-0.159,-0.1049,0.1778,-1.9353,0.2413,-0.9665,0.8173,-0.4421
U0017,-0.158,0.6878,-1.8089,-0.4882,-1.2564,-0.5892,-0.3966,1.3696
U0018,0.8375,-0.1133,-2.0888,-0.9198,1.4359,0.3356,0.8097,-1.332
U0019,0.1834,-1.2154,1.2568,-1.2803,-0.7717,2.6348,0.8685,1.152
U0020,0.2428,0.8358,0.3239,-0.5777,0.3895,-0.8216,-1.4779,-1.7213
U0021,-0.7862,-0.031,0.1155,0.1515,0.7312,0.4115,0.2381,-0.1718
U0022,1.991,0.1652,0.4554,-0.8594,1.6361,0.5382,1.71,-0.5791
U0023,1.125,0.2372,1.6038,-1.72,0.7545,-2.3228,0.4701,1.0489
U0024,0.3557,0.7126,-0.3455,-1.0981,-0.4784,1.232,-0.305,-1.934
U0025,-0.5242,3.0343,0.0813,0.8258,-0.9677,0.8003,-0.6909,-0.1947
U0026,-1.3811,-0.2951,0.5691,-1.4749,-0.3525,2.551,-0.684,-0.768
U0027,0.351,0.7083,-0.2951,0.2098,0.7851,-0.1501,0.0269,-0.2892
U0028,-0.3737,-1.5004,-2.4135,0.0204,-0.0429,-1.5438,-2.2039,0.1923
U0029,0.8431,0.7384,0.9414,0.0531,-0.2811,-0.0284,-0.3163,0.9883
U0030,-1.7772,-0.7013,-0.8299,2.0058,0.8209,2.0631,0.9906,-1.0428
U0031,1.3452,-1.6212,-1.1042,-1.4437,0.4469,-0.4661,-0.9782,0.3827
U0032,0.9932,0.4176,0.1418,0.9727,0.2296,1.4268,-0.5107,1.5898
U0033,0.815,0.3293,1.0301,-1.5057,1.2907,1.3713,0.0607,-1.5095
U0034,0.3364,1.0358,-0.568,-1.0185,-0.204,-2.3153,-1.095,0.1823
U0035,1.4786,0.8133,-0.6583,-0.2778,2.8565,-0.2137,0.7131,-0.3954
U0036,-0.2936,-0.5468,0.4299,-0.4705,-1.5939,0.5287,-0.1006,0.0405
U0037,-0.107,0.0032,-0.7305,-0.679,-0.5331,-1.275,0.477,0.3608
U0038,-0.0958,0.6341,-0.0314,2.0945,0.622,-2.2019,0.4715,0.7976
U0039,2.9868,1.3335,-1.2382,-0.268,1.0585,-0.5893,0.4849,1.9625
