row_id,a_val
R00000,10.3664
R00002,11.0214
R00003,9.523
R00004,6.0159
R00005,11.3198
R00006,12.286
R00007,9.5853
R00008,2.3749
R00009,16.1135
R00010,12.9593
R00011,8.6225
R00012,10.4609
R00014,14.1746
R00015,4.6776
R00016,15.0638
R00017,9.9063
R00019,13.1845
R00020,8.0367
R00022,14.6181
R00023,9.0916
R00024,5.7929
R00025,15.331
R00028,8.5521
R00030,10.7167
R00032,11.5776
R00033,4.3081
R00034,8.8823
R00035,18.686
R00036,9.6252
R00039,14.4183
R00040,5.5552
R00042,15.3116
R00043,7.7619
R00044,10.1794
R00045,10.5035
R00047,7.358
R00048,13.6959
R00049,17.656
R00051,8.439
R00054,13.6554
R00055,10.18
R00057,13.5646
R00059,7.5355
R00061,11.8471
R00064,12.1129
R00065,14.9671
R00066,6.0386
R00068,12.1481
R00069,11.0295
R00070,9.2739
R00071,6.8835
R00072,6.5212
R00074,10.8493
R00075,14.5427
R00077,8.0058
R00079,7.3935
R00080,5.3989
R00081,10.769
R00084,10.5753
R00085,12.5392
R00086,10.5801
R00087,13.0331
R00088,9.5302
R00091,14.1869
R00092,1.314
R00093,12.2076
R00095,10.3334
R00096,7.0476
R00097,11.0477
R00098,15.1364
R00099,7.3937
R00100,13.8518
R00102,3.147
R00104,14.2931
R00105,8.2639
R00106,14.2796
R00107,11.8695
R00108,9.9925
R00109,8.4734
R00111,12.7654
R00112,17.1939
R00113,20.5774
R00115,11.2501
R00116,12.3621
R00117,9.1619
R00118,4.449
R00119,4.0055
R00120,7.8356
R00121,14.1627
R00122,12.9548
R00123,6.7952
R00124,17.6652
R00125,16.1332
R00127,2.2391
R00128,10.1579
R00129,11.961
R00130,11.3475
R00131,12.366
R00132,3.1095
R00134,14.701
R00136,9.2927
R00138,6.3132
R00139,13.6443
R00140,5.7739
R00141,13.1723
R00142,6.2005
R00143,16.5216
R00145,4.2049
R00146,8.7069
R00147,4.871
R00148,14.8653
R00150,10.2098
R00151,20.9744
R00152,13.8846
R00153,6.4393
R00155,4.9593
R00156,11.7816
R00157,13.0154
R00158,10.7665
R00160,14.6177
R00161,6.195
R00164,10.8025
R00165,8.4954
R00166,15.4007
R00167,16.2905
R00168,15.3763
R00169,10.3252
R00172,9.9335
R00173,1.6541
R00174,8.1192
R00175,10.0793
R00176,14.9405
R00177,10.2312
R00178,10.511
R00179,6.8573
R00180,11.8839
R00181,5.8417
R00182,7.5362
R00183,6.521
R00184,13.2548
R00185,7.3838
R00186,10.6608
R00187,21.5282
R00188,10.2499
R00189,3.5884
R00190,9.2259
R00192,10.0627
R00193,8.3696
R00194,9.4937
R00195,6.4281
R00196,21.0196
R00197,9.8309
R00198,7.9956
R00199,7.501
R00200,14.5017
R00201,12.2039
R00202,9.579
R00205,8.4843
R00207,12.0784
R00208,8.4769
R00211,17.7919
R00212,13.5608
R00213,5.979
R00214,10.7156
R00215,5.8143
R00216,7.7306
R00218,6.5149
R00220,4.9329
R00221,7.9009
R00222,9.7788
R00223,10.5836
R00224,7.9896
R00225,12.606
R00226,8.0877
R00228,6.0237
R00230,6.6302
R00232,6.0271
R00233,8.6828
R00234,10.6951
R00235,7.2418
R00237,15.3907
R00238,15.5848
R00239,3.9214
R00240,10.1899
R00242,13.2949
R00243,11.117
R00244,11.3047
R00245,6.6061
R00247,12.8125
R00248,8.6189
R00249,9.3745
R00251,12.6062
R00252,-0.3831
R00253,9.6725
R00254,7.0261
R00255,8.0237
R00256,10.966
R00257,8.2742
R00258,7.014
R00259,11.3943
R00260,15.7393
R00261,9.2695
R00263,1.2353
R00264,14.4869
R00265,16.935
R00267,14.2052
R00268,6.8535
R00269,15.9933
R00271,7.4638
R00273,8.0964
R00274,10.7877
R00275,9.3731
R00277,3.6021
R00278,11.476
R00279,20.1095
R00280,8.3873
R00281,12.163
R00282,15.641
R00284,6.7224
R00285,12.5422
R00286,6.3983
R00287,12.5955
R00288,13.9627
R00289,10.1988
R00290,11.0392
R00291,10.0212
R00292,7.3139
R00294,10.2482
R00296,11.2837
R00297,7.4798
R00298,15.4826
R00299,12.7344
R00300,7.2574
R00301,11.0968
R00302,7.332
R00303,2.7904
R00304,4.5398
R00305,10.3308
R00306,11.3241
R00307,13.2734
R00308,10.1712
R00309,4.4448
R00311,10.5348
R00312,10.7256
R00313,10.8244
R00314,13.921
R00315,11.1149
R00316,6.7733
R00317,8.967
R00318,12.5368
