row_id,f1,f2,f3,f4,f5
S00000,-2.241915,1.561669,0.070736,-1.005369,-0.274177
S00001,-0.856185,-0.150284,-0.35162,0.073116,-0.255817
S00002,0.67127,0.006005,1.673404,-0.387622,1.029265
S00003,-1.883726,-0.494724,-0.51753,1.398833,-1.520851
S00004,0.548148,0.345059,-0.695667,-1.971919,0.26275
S00005,0.131596,-1.132397,-0.854227,-0.176335,-0.24072
S00006,0.382503,-0.926053,-0.785657,-0.647917,1.190048
S00007,-1.41901,0.597677,-1.354836,-1.09758,0.869111
S00008,-0.225871,-1.025872,0.256226,0.631144,0.569754
S00009,0.360205,-0.63579,0.101705,-1.12074,-0.553341
S00010,-0.077177,-0.100107,-0.654924,0.154234,0.955017
S00011,0.995245,-0.22956,-0.582099,-1.632301,0.064334
S00012,1.271859,-2.170798,1.180721,-1.523126,0.730315
S00013,0.236214,1.010884,-0.532556,-0.153894,-0.231506
S00014,-0.905903,-0.4305,-0.063381,-0.263353,-0.806133
S00015,2.447332,0.44298,-0.686817,1.661861,0.406747
S00016,-0.683198,-0.679837,-0.021023,0.612465,-0.748117
S00017,-1.560161,-0.47358,-0.860092,-0.890643,0.608805
S00018,-0.856672,-0.697916,0.745722,1.314483,0.83782
S00019,-0.649004,-0.814342,-2.188387,-0.534184,-0.154888
S00020,0.054446,-0.259409,0.997708,-0.593416,1.623461
S00021,0.013142,-1.45026,-1.75592,0.371759,-1.841449
S00022,-0.311655,1.891328,-2.003189,-1.06288,-0.130463
S00023,0.452527,1.345051,1.748741,-0.524433,0.095364
S00024,-0.904091,0.060917,-1.264109,-0.335865,0.802027
S00025,-0.093287,-0.515597,-0.414049,-0.342604,-0.337615
S00026,-2.016123,-1.158213,0.678009,-0.033944,1.356179
S00027,-0.550006,0.69157,-1.353314,1.39086,-0.248465
S00028,0.330779,0.129731,0.379366,0.310357,-1.144234
S00029,-0.153905,-0.216464,1.925157,-1.440039,0.529225
S00030,0.125888,2.134438,1.118098,-0.536795,-0.557497
S00031,1.381713,0.146009,-1.796885,-0.568796,0.729432
S00032,-1.590685,1.252014,1.227175,0.287176,-0.904346
S00033,1.179914,-1.230682,1.597392,-0.931811,-0.734767
S00034,-0.79209,-1.219513,0.961537,1.447481,-0.127644
S00035,-0.04515,-0.83075,-0.278123,-2.208553,0.928754
S00036,0.453003,0.764763,-0.052545,-1.661583,0.134119
S00037,-0.923534,-0.647231,-0.601599,1.694144,2.413742
S00038,2.198063,-0.484723,-1.027365,-1.664697,-1.118814
S00039,-1.208234,0.037861,0.257482,0.471813,-0.243084
S00040,0.967487,1.056031,-0.203472,1.210351,0.330029
S00041,-0.223908,1.061656,-0.328336,-1.354099,-0.413794
S00042,-0.754259,0.391279,0.47983,0.400904,0.951936
S00043,-0.195911,-1.924009,-0.471432,0.712343,-0.450112
S00044,0.587609,-1.530648,0.349649,-1.175508,-0.793759
S00045,-0.805501,-0.856845,-0.693777,0.599843,1.59618
S00046,0.727323,2.111549,-0.310466,-0.24117,1.593186
S00047,-1.091335,-1.060773,0.7715,0.62826,-1.59633
S00048,0.096293,-0.72924,-0.002642,1.017952,0.056588
S00049,-0.70863,0.242079,0.954873,0.341156,-0.87724
S00050,1.053411,1.409724,1.173212,1.676986,-0.55479
S00051,1.182802,-0.361702,0.099564,-0.32533,0.494263
S00052,-1.089243,1.49101,1.514394,-0.054728,-0.994759
S00053,0.699511,0.372955,-1.415954,-0.623084,-0.470228
S00054,-0.58897,-0.569273,1.896643,-0.515124,1.271278
S00055,0.132714,-0.022994,-1.081576,-1.900065,-0.603456
S00056,0.582478,0.270985,-0.890807,0.996195,-0.054203
S00057,-0.122186,-0.913061,1.267696,-1.396395,0.88852
S00058,-0.847197,1.213824,-0.113523,-0.727133,0.724434
S00059,1.873512,-0.290987,2.122893,-0.903091,0.110361
S00060,-0.95781,0.582612,1.133113,0.339003,-0.379132
S00061,0.320767,0.625797,1.041354,1.133489,1.953127
S00062,-0.110896,0.0722,-0.246443,-0.988949,0.503561
S00063,1.329866,-0.362564,0.108366,-0.853486,1.698046
S00064,-0.978858,0.091525,-1.236283,0.344497,-0.357103
S00065,-0.431684,-0.214747,0.459277,0.660493,-0.40119
S00066,-1.957724,-0.093554,1.255287,-1.04112,-1.532592
S00067,1.701069,0.891141,-0.402873,-0.988129,0.555877
S00068,-0.578696,0.123659,2.824094,1.79467,1.178931
S00069,-0.36729,-0.112085,1.22591,0.153032,1.278115
S00070,1.21884,-0.149622,1.593134,-0.357792,1.258015
S00071,1.232582,-1.170387,1.758808,-0.192119,-0.393739
S00072,-0.020547,-0.181381,-0.872121,0.673906,1.221905
S00073,0.015513,-1.333159,-1.377649,-0.119307,2.519267
S00074,0.165063,-0.220698,-0.387361,0.404495,1.548943
S00075,-0.270871,-2.005537,0.434502,-0.746076,-1.34585
S00076,0.590077,-0.909742,-0.944314,-1.709757,-0.564246
S00077,0.910356,-0.214504,-0.497352,-1.803798,-0.207982
S00078,2.423387,-1.211407,1.770446,0.164034,-0.888543
S00079,0.844472,-0.588064,-1.165341,2.048482,0.664441
S00080,0.35471,-0.365695,2.046893,-0.370106,-0.716194
S00081,-0.831471,-0.694827,1.784128,-0.446793,-1.074166
S00082,1.253988,-0.021025,1.271763,1.560838,-0.103518
S00083,0.309586,-0.478346,0.267559,1.506789,1.00175
S00084,-0.398627,-0.009552,-0.811481,0.43292,0.347465
S00085,1.012955,0.177493,-0.25336,1.027897,1.48079
S00086,-1.175115,-1.068551,-1.196865,1.855365,0.419205
S00087,1.267233,-0.978617,-0.016277,-1.08123,-0.102997
S00088,1.100838,0.409213,1.785304,-0.515153,0.728797
