row_id,account_id,event_time,amount,category
R00098,A0132,1772496420000,4.29,grocery
R00099,A0090,1772497620000,34.26,travel
R00100,A0131,1772498820000,32.18,rent
R00101,A0070,1772499240000,34.37,travel
R00102,A0076,1772499720000,16.46,grocery
R00103,A0007,1772501100000,90.93,travel
R00104,A0070,1772501280000,10.97,salary
R00105,A0061,1772501340000,27.27,other
R00106,A0115,1772501640000,7.68,salary
R00107,A0028,1772501640000,51.78,travel
R00108,A0133,1772501880000,12.45,salary
R00109,A0001,1772502480000,103.51,grocery
R00110,A0113,1772502720000,24.55,other
R00111,A0048,1772502840000,3.56,other
R00112,A0018,1772503200000,8.99,travel
R00113,A0067,1772504220000,33.72,other
R00114,A0068,1772504400000,8.8,salary
R00115,A0012,1772505360000,183.02,other
R00116,A0143,1772506020000,39.01,other
R00117,A0111,1772507040000,5.76,salary
R00118,A0122,1772508600000,29.66,travel
R00119,A0140,1772509380000,10.06,other
R00120,A0029,1772509920000,97.66,rent
R00121,A0041,1772511420000,17.63,rent
R00122,A0026,1772512260000,17.23,grocery
R00123,A0108,1772512320000,17.68,grocery
R00124,A0070,1772512800000,57.49,salary
R00125,A0104,1772513220000,7.73,other
R00126,A0067,1772515440000,14.79,other
R00127,A0075,1772516100000,10.35,rent
R00128,A0038,1772517960000,43.85,salary
R00129,A0123,1772518200000,4.22,grocery
R00130,A0083,1772518740000,43.09,grocery
R00131,A0014,1772518860000,70.72,salary
R00132,A0011,1772518920000,41.94,grocery
R00133,A0089,1772519160000,6.48,salary
R00134,A0005,1772519400000,35.8,salary
R00135,A0060,1772519400000,58.54,rent
R00136,A0103,1772521740000,7.46,rent
R00137,A0081,1772522040000,61.54,salary
R00138,A0049,1772522880000,52.47,rent
R00139,A0040,1772523120000,32.59,grocery
R00140,A0096,1772523120000,20.97,rent
R00141,A0123,1772524320000,50.29,grocery
R00142,A0030,1772524440000,42.65,salary
R00143,A0117,1772524500000,19.16,grocery
R00144,A0108,1772525040000,18.58,salary
R00145,A0060,1772525760000,63.72,grocery
R00146,A0087,1772526720000,34.23,travel
R00147,A0032,1772527440000,61.29,salary
R00148,A0046,1772528640000,22.92,grocery
R00149,A0069,1772529660000,29.22,other
R00150,A0075,1772530200000,29.23,salary
R00151,A0129,1772533020000,11.0,other
R00152,A0045,1772533380000,105.16,rent
R00153,A0058,1772533500000,12.3,salary
R00154,A0065,1772534100000,13.87,travel
R00155,A0040,1772534160000,11.41,salary
R00156,A0149,1772535420000,82.58,other
R00157,A0103,1772536440000,13.15,other
R00158,A0045,1772537400000,2.52,rent
R00159,A0057,1772537520000,27.01,travel
R00160,A0122,1772538600000,31.72,grocery
R00161,A0057,1772538660000,20.8,other
R00162,A0035,1772538780000,6.96,salary
R00163,A0098,1772538780000,124.0,grocery
R00164,A0066,1772539320000,32.03,rent
R00165,A0041,1772539500000,4.41,other
R00166,A0000,1772539680000,5.72,other
R00167,A0047,1772540220000,7.06,travel
R00168,A0053,1772540700000,3.22,grocery
R00169,A0020,1772541720000,14.02,rent
R00170,A0105,1772542200000,44.63,salary
R00171,A0109,1772543700000,13.52,travel
R00172,A0145,1772544240000,44.92,salary
R00173,A0002,1772547480000,20.04,salary
R00174,A0053,1772548020000,27.54,salary
R00175,A0083,1772548560000,101.47,salary
R00176,A0066,1772549040000,3.52,salary
R00177,A0028,1772549340000,116.79,rent
R00178,A0056,1772550600000,26.44,travel
R00179,A0005,1772551380000,14.84,salary
R00180,A0073,1772551680000,34.43,grocery
R00181,A0022,1772551920000,55.3,salary
R00182,A0010,1772552400000,16.15,other
R00183,A0148,1772552640000,7.81,travel
R00184,A0097,1772554260000,25.26,salary
R00185,A0058,1772554320000,9.33,other
R00186,A0075,1772554920000,7.93,travel
R00187,A0021,1772555760000,13.38,salary
R00188,A0076,1772556060000,12.19,other
R00189,A0130,1772556600000,38.49,travel
R00190,A0011,1772556720000,41.83,rent
R00191,A0036,1772557020000,56.46,travel
R00192,A0050,1772557020000,28.11,rent
R00193,A0019,1772557680000,13.29,salary
R00194,A0089,1772558040000,58.16,other
R00195,A0033,1772559000000,14.91,salary
R00196,A0042,1772562120000,5.7,grocery
R00197,A0135,1772562360000,8.5,salary
R00198,A0135,1772563260000,31.98,rent
R00199,A0094,1772563920000,75.31,salary
R00200,A0003,1772564700000,2.41,other
R00201,A0136,1772565660000,25.07,salary
R00202,A0096,1772566020000,2.61,salary
R00203,A0023,1772569980000,23.18,salary
R00204,A0091,1772570580000,10.24,other
R00205,A0001,1772571060000,11.73,travel
R00206,A0135,1772571420000,60.39,other
R00207,A0013,1772573220000,6.89,rent
R00208,A0041,1772575920000,5.54,grocery
R00209,A0120,1772575920000,29.67,salary
R00210,A0104,1772576580000,1.95,travel
R00211,A0148,1772577060000,4.9,rent
R00212,A0073,1772579820000,9.85,grocery
R00213,A0106,1772579880000,54.39,other
R00214,A0035,1772579880000,18.82,travel
R00215,A0032,1772580300000,22.38,travel
R00216,A0089,1772580660000,8.78,other
R00217,A0119,1772580660000,24.64,salary
R00218,A0127,1772580780000,13.14,grocery
R00219,A0033,1772580900000,39.8,grocery
R00220,A0014,1772581080000,43.07,grocery
R00221,A0090,1772581380000,54.22,rent
R00222,A0103,1772581860000,10.35,salary
