row_id,account_id,event_time,amount,category
R00450,A0011,1771149660000,9.01,grocery
R00381,A0045,1770475200000,6.65,rent
R00432,A0114,1770947220000,59.32,grocery
R00475,A0011,1771328160000,25.77,other
R00489,A0036,1771517520000,24.36,salary
R00436,A0095,1770974400000,8.97,rent
R00542,A0091,1771926180000,30.71,travel
R00510,A0036,1771642800000,5.97,grocery
R00365,A0059,1770321000000,27.79,salary
R00527,A0088,1771811520000,4.32,rent
R00411,A0101,1770749400000,4.95,travel
R00428,A0113,1770928140000,31.07,salary
R00514,A0008,1771696020000,42.29,travel
R00555,A0048,1772051640000,19.36,grocery
R00360,A0075,1770275280000,18.53,grocery
R00384,A0085,1770499440000,28.97,rent
R00455,A0035,1771181340000,14.24,other
R00341,A0053,1770124980000,41.93,travel
R00434,A0059,1770955800000,10.68,travel
R00538,A0057,1771887240000,39.15,grocery
R00366,A0116,1770326880000,27.87,salary
R00515,A0075,1771702680000,21.4,rent
R00425,A0074,1770913500000,90.28,travel
R00594,A0050,1772320080000,7.97,salary
R00539,A0097,1771904760000,27.58,travel
R00448,A0080,1771128240000,6.05,rent
R00452,A0022,1771151820000,4.0,salary
R00562,A0098,1772109240000,27.13,rent
R00348,A0087,1770182760000,10.72,grocery
R00523,A0070,1771764900000,54.7,rent
R00535,A0042,1771864080000,115.27,other
R00361,A0066,1770283020000,8.99,travel
R00410,A0053,1770725160000,32.07,salary
R00463,A0117,1771224180000,24.88,other
R00364,A0055,1770300600000,52.77,rent
R00379,A0012,1770469140000,41.5,grocery
R00578,A0017,1772233080000,7.22,other
R00359,A0049,1770268620000,88.07,grocery
R00310,A0090,1769892480000,24.18,salary
R00543,A0092,1771940880000,13.56,other
R00327,A0062,1770042360000,11.0,grocery
R00370,A0057,1770403440000,76.33,salary
R00595,A0036,1772333400000,26.29,travel
R00374,A0062,1770426780000,6.36,salary
R00465,A0110,1771248120000,129.05,grocery
R00580,A0060,1772244660000,26.96,salary
R00329,A0035,1770053160000,2.25,rent
R00560,A0072,1772099460000,7.71,other
R00497,A0020,1771587660000,73.81,travel
R00507,A0048,1771629120000,21.47,travel
R00570,A0020,1772172060000,6.49,salary
