item_id,e1,e2,e3,e4,e5,e6,e7,e8
I0000,0.2253,0.5277,-0.6083,-0.617,-0.2197,-0.2026,-0.6013,0.2391
I0001,-0.3139,0.5078,-0.7101,-1.0009,-0.5842,1.3661,0.7001,-0.5333
I0002,1.7355,0.597,1.4396,0.0063,0.3202,0.7987,1.064,0.1188
I0003,-0.0725,-0.7431,-0.04,-0.3441,1.006,-1.2703,-0.83,-1.3345
I0004,-0.4626,-1.0867,1.0007,1.7335,-0.0351,1.0525,0.7788,-0.9707
I0005,1.1514,1.3514,0.2581,0.7791,-2.0491,1.5043,-0.2934,-1.5733
I0006,-0.8215,-0.2469,0.016,0.775,-0.0157,-1.4996,-0.1356,1.1563
I0007,0.7676,-0.1568,1.6222,0.2994,1.0896,-1.176,-2.5987,-0.7627
I0008,-0.784,-0.3645,1.1438,-1.2859,-1.0054,1.1174,1.1678,0.5934
I0009,0.383,-0.1385,0.6316,0.899,-1.0041,-1.2426,2.5708,-0.2238
I0010,1.6534,-0.0522,0.0432,2.093,1.4132,-1.3002,0.9735,1.4866
I0011,-0.2408,0.0317,1.5288,1.7225,-2.3707,-0.636,-2.2174,0.9474
I0012,0.8017,0.5888,1.3308,-0.3282,0.4482,-1.38,0.4224,2.2935
I0013,0.383,-0.1385,0.6316,0.899,-1.0041,-1.2426,2.5708,-0.2238
I0014,-0.0517,-0.3526,-0.1051,-0.7719,-1.4263,-2.3439,0.5079,1.023
I0015,-1.3815,-0.8027,-0.368,0.3129,0.0369,0.3559,-0.4767,-2.2853
I0016,0.0013,-0.5465,-0.3382,-0.4694,1.5593,1.8378,0.3627,-0.0999
I0017,-0.1403,-0.3889,0.8338,1.4409,0.0512,0.1388,0.3073,-0.6345
I0018,0.6551,1.6024,0.9514,1.1536,0.5222,-0.2454,0.6736,0.1934
I0019,-0.6843,1.6569,-0.0055,-0.3436,-0.2708,-0.7039,-0.2808,-1.3508
I0020,-1.3577,1.1339,1.3632,-0.193,1.2811,2.7547,0.6092,1.0619
I0021,-0.1495,-0.0311,-0.9368,-0.1519,1.0891,-0.0587,-1.0466,0.6483
I0022,1.2192,0.5412,0.366,0.0354,0.9984,-0.2845,1.6232,-0.0241
I0023,0.0678,0.5224,-1.9448,-1.3041,-0.2578,-0.0733,-0.8253,0.6184
I0024,-0.0272,-0.9055,0.5126,1.5931,1.847,-0.1021,1.3882,-0.5391
I0025,1.0893,-0.6507,-1.2623,-0.6126,0.5054,-1.2981,0.013,0.2617
I0026,0.4164,-0.51,0.7653,0.0786,-0.8561,-1.1961,-0.4528,-0.6266
I0027,-0.0572,1.2043,-0.0622,-1.3373,-0.7214,-1.4802,0.6605,-0.93
I0028,-0.1941,-0.4717,-0.0566,-1.2231,-0.4523,1.5041,-0.0229,0.5711
I0029,-1.0707,0.3409,0.8194,-0.5769,-0.8057,-1.0547,-2.0704,0.7599
I0030,-1.862,-0.2297,1.5334,0.228,0.6623,-0.8893,1.3994,0.2071
I0031,-0.1415,0.6557,1.4886,0.2282,0.6016,1.4982,-0.197,-0.7313
I0032,-1.3815,-0.8027,-0.368,0.3129,0.0369,0.3559,-0.4767,-2.2853
I0033,1.1864,-0.8426,1.1979,1.1425,-0.7554,-0.4955,-0.8377,0.0058
I0034,0.8812,0.8385,0.0148,-1.2324,-1.8019,-0.514,-0.033,1.0444
I0035,-0.1415,0.6557,1.4886,0.2282,0.6016,1.4982,-0.197,-0.7313
I0036,-1.3577,1.1339,1.3632,-0.193,1.2811,2.7547,0.6092,1.0619
