row_id,f1,f2,f3,f4
R00400,1.551432,-0.941461,5.195273,2.689417
R00401,-2.370057,-1.503605,3.333516,4.260474
R00402,-0.178447,-2.169676,5.530656,7.491425
R00403,1.769276,-2.267614,4.604343,5.291296
R00404,1.203535,-0.732186,4.339392,7.031157
R00405,5.369205,1.697598,4.486076,8.601145
R00406,4.95579,-0.114817,2.804947,1.01573
R00407,3.094321,-3.272093,3.13859,6.46839
R00408,-1.261591,-2.673129,4.735833,6.400485
R00409,-0.354353,-2.524301,3.871182,7.691722
R00410,-0.647639,-1.496613,3.353143,6.136407
R00411,-1.637371,-1.10441,3.251271,7.46866
R00412,3.11706,-4.186088,3.867734,5.931812
R00413,0.924067,-2.476063,5.569483,9.197788
R00414,-1.128234,-2.140835,2.985391,4.256066
R00415,-3.083687,-1.373983,3.415134,0.182939
R00416,5.703923,-1.592989,3.310866,4.906415
R00417,2.912696,-1.737297,4.549164,6.476465
R00418,0.000588,-0.004904,3.725148,7.059677
R00419,2.82687,-1.494545,2.176394,7.674613
R00420,-2.584671,-1.201379,3.798482,7.857913
R00421,-2.596489,-3.09551,6.364413,6.34398
R00422,0.176691,-0.688344,4.492959,7.612805
R00423,1.086221,-0.735916,5.254163,6.042852
R00424,4.160964,0.02855,5.311561,4.024352
R00425,-0.543223,-1.449435,3.017348,4.637308
R00426,-0.483936,0.027211,3.750127,8.186368
R00427,5.232832,-2.329654,4.120005,4.651493
R00428,-1.355663,0.137795,5.234041,4.160703
R00429,0.879176,-0.889942,4.189228,5.704924
R00430,-0.575444,0.74596,5.401884,7.083776
R00431,-1.161861,0.732052,3.081426,2.998018
R00432,0.462301,-1.307382,2.804384,6.567713
R00433,0.430841,0.481044,2.745058,6.745197
R00434,-2.819024,-0.708255,5.604106,6.401522
R00435,4.822457,-3.53838,3.002549,3.799525
R00436,0.214967,-2.330539,3.545012,5.689269
R00437,0.465735,-1.867913,3.495809,3.195673
R00438,-0.333515,-1.584085,2.362314,6.217203
R00439,2.37562,0.887908,3.373448,4.390878
R00440,1.813285,-0.628492,2.926445,2.970752
R00441,2.150896,1.354565,4.937293,2.213807
R00442,0.023175,-0.811836,3.61374,3.343826
R00443,0.697518,-0.707494,5.000915,4.540219
R00444,3.712921,-3.41268,1.503203,1.381335
R00445,3.976125,-1.795752,3.487613,6.18163
R00446,3.311625,-2.737476,2.153113,6.868195
R00447,-2.564793,0.786635,5.419482,6.396794
R00448,-2.622266,-2.036553,5.041611,6.546405
R00449,-2.747462,-1.270798,2.275689,10.544028
R00450,6.240033,-0.194793,3.959681,4.355919
R00451,-1.350077,-0.77673,3.563328,6.289435
R00452,-0.634441,-1.38574,3.12836,6.207747
R00453,-0.532158,-3.84482,2.495359,9.495115
R00454,0.553583,-2.076848,2.913688,4.659067
R00455,-2.218874,-1.011954,5.080989,5.371446
R00456,7.842649,-1.701026,3.385372,5.838094
R00457,2.273236,-1.424858,3.514011,4.207286
R00458,-5.507892,-2.416001,3.155852,0.843739
R00459,-4.079659,-0.915354,4.419018,6.817648
R00460,-1.806946,-4.25668,3.472689,3.945568
R00461,-4.29193,-2.566596,4.00708,3.601676
R00462,-1.442906,1.263298,2.39875,6.553847
R00463,4.338597,-2.226653,2.524735,5.015723
R00464,-1.115073,-1.000202,3.18015,6.811517
R00465,-1.428873,-3.079713,1.513956,6.217083
R00466,1.80232,-1.246946,2.921255,11.520693
R00467,3.68887,-1.175958,2.968016,5.013884
R00468,-1.184472,-4.044512,5.222186,3.713407
R00469,0.112727,-1.105856,4.767442,8.350775
R00470,3.711128,-2.923252,3.435948,5.146426
R00471,2.64658,-3.786956,4.591878,6.637047
R00472,1.072141,-1.551731,5.98187,10.095536
R00473,2.231968,-3.610909,2.331932,3.996783
R00474,1.015748,-2.082488,5.369887,8.506974
R00475,0.703843,-5.768693,1.830947,4.61598
R00476,0.357037,1.096155,2.184716,2.441114
R00477,-1.060512,-2.9028,2.430974,7.738046
R00478,1.012423,-1.003852,5.662201,3.984109
R00479,-1.687583,-1.212388,4.049458,6.319283
R00480,-1.753947,-2.330087,4.425049,7.13433
R00481,2.505548,-0.302305,1.938747,7.805217
R00482,-5.404859,-1.502499,4.988252,9.440821
R00483,2.401502,-0.715406,1.218283,6.695509
R00484,3.307188,0.169325,5.064507,5.10489
R00485,3.44972,1.973148,4.387336,7.479814
