row_id,f1,f2,f3,f4
R00000,3.452317,-2.188115,2.392319,0.948755
R00001,6.96729,-2.174145,1.312602,0.924541
R00002,5.567195,-8.419753,-2.675885,0.990737
R00003,5.44524,-0.927411,2.825911,-0.576786
R00004,4.995988,-3.650677,0.674151,1.429104
R00005,6.437134,-5.526303,3.550756,-1.341398
R00006,5.006672,-5.006535,0.2753,0.432518
R00007,3.841345,-3.380877,-1.417533,-0.694065
R00008,7.28465,-2.140166,1.359344,0.141392
R00009,5.465454,-5.518444,-2.930203,1.052121
R00010,3.227369,-6.175386,2.335752,1.314757
R00011,4.721989,-3.063661,0.287958,1.157592
R00012,5.038312,-8.935189,-2.565759,1.221411
R00013,5.054389,-3.967157,-0.34401,-0.505845
R00014,4.542926,-1.099224,0.958797,1.40887
R00015,6.36255,-2.119749,-2.521671,2.198552
R00016,6.146046,-7.937797,1.947653,0.519471
R00017,5.929571,-6.219318,-0.498343,1.822829
R00018,5.589697,-1.223994,-1.416567,0.028914
R00019,3.992405,-5.390099,1.02738,-1.81337
R00020,4.27195,-5.162717,3.168316,1.028767
R00021,5.009683,-0.21208,0.623412,1.365717
R00022,5.511543,-5.537041,1.632297,2.510535
R00023,6.452037,-4.071994,-3.252046,0.587886
R00024,6.807009,-8.572151,0.20027,1.494738
R00025,5.844341,-7.504574,-0.143918,4.822271
R00026,4.924847,-4.514527,1.768065,2.751242
R00027,4.789493,-2.693342,1.085156,2.043488
R00028,5.534185,0.377766,-0.435149,-0.63702
R00029,5.040787,-1.543771,-0.365519,2.039527
R00030,4.35426,-3.301295,-2.549555,1.950426
R00031,7.44224,-8.475752,0.362259,-0.205295
R00032,6.4512,-5.427915,-1.015462,1.33068
R00033,4.905096,-7.460003,-0.244777,0.964985
R00034,6.358062,-7.079337,-3.496616,0.915838
R00035,6.582838,-5.688983,-2.481224,1.466226
R00036,4.903946,-2.340184,1.532517,-0.317689
R00037,2.281174,-4.161985,-1.629005,0.731135
R00038,4.605628,-0.146127,-0.502111,0.906323
R00039,3.449619,-7.498767,5.114424,0.535529
R00040,3.103733,-2.302593,-1.541267,0.844681
R00041,5.362669,-1.474539,-0.684865,1.126784
R00042,5.765957,-3.565475,-0.313047,3.397723
R00043,4.750948,-9.199814,1.155172,-1.080956
R00044,6.485751,-1.528156,0.978218,-0.26811
R00045,6.4402,-4.646517,-0.432076,1.393558
R00046,4.547587,-2.791284,-2.880483,0.583648
R00047,6.764276,-4.430673,-0.10602,-1.291231
R00048,6.604187,-6.955958,2.002835,-0.088395
R00049,4.448131,-3.833174,3.902444,1.134492
R00050,4.6226,-3.998424,0.701078,1.285431
R00051,4.571115,-2.426184,-3.398548,3.27951
R00052,3.877188,-1.040361,1.789195,1.734996
R00053,5.213094,-1.800938,1.463015,0.128384
R00054,5.184128,0.734322,-1.160257,0.367847
R00055,4.235765,-2.646314,-0.308944,0.606981
R00056,6.503364,-4.667494,-1.627693,0.404403
R00057,3.784559,2.616597,1.221017,2.515674
R00058,5.616655,-4.011414,0.549176,1.25694
R00059,4.974223,1.906884,-1.929505,-0.496172
R00060,5.382559,-4.391286,-3.407082,0.637487
R00061,4.349715,-9.153262,1.258873,2.954088
R00062,6.913916,-4.757269,0.809678,0.554109
R00063,6.583382,-2.640878,-3.46511,0.865166
R00064,4.661347,-3.714469,-4.800287,1.682093
R00065,5.581025,-5.285507,2.283046,2.465256
R00066,5.820435,-4.292247,-3.365216,2.991397
R00067,6.313986,-4.15726,-3.637667,1.552684
R00068,2.235824,-5.655189,2.226472,-1.365295
R00069,7.0064,-2.043506,-1.190166,3.209716
R00070,5.03558,-4.053123,-0.211503,2.763035
R00071,5.576317,-5.00479,1.596123,0.178128
R00072,3.885895,-1.843191,-1.11033,-1.807157
R00073,5.004403,-0.834519,-2.026682,1.732066
R00074,6.72336,-3.518857,2.267063,1.500859
R00075,3.92702,-9.086593,1.81136,0.954253
R00076,2.978521,0.539591,-1.508973,1.406415
R00077,3.999254,-9.533759,1.962825,1.033131
R00078,5.360874,-2.405325,0.802144,-0.035916
R00079,3.927477,-1.653901,2.060913,1.939919
R00080,5.086971,-2.252298,0.424116,0.450609
R00081,7.411557,-4.388471,2.264316,0.47468
R00082,4.664794,-2.200535,0.768048,0.013201
R00083,4.187234,-3.567075,2.87009,3.926165
R00084,4.822311,-3.772827,-3.204597,-0.194114
R00085,4.686814,-4.99974,-0.582287,0.330829
R00086,4.476532,-3.606383,-0.324041,1.667732
R00087,4.986297,-1.342225,0.391097,-0.349031
R00088,4.588266,-2.839021,0.542478,0.530879
R00089,2.810041,-6.97777,1.651286,1.819047
R00090,3.937238,-8.385775,3.664081,2.056287
R00091,4.960575,0.921411,2.683699,0.53573
R00092,4.232068,-3.487015,2.409456,3.058544
R00093,5.176629,-8.515475,2.119572,0.129098
R00094,5.032982,-0.501261,2.596732,2.210643
R00095,4.926896,-3.452791,-1.693435,1.557344
R00096,5.54237,-6.286689,0.36543,0.706389
R00097,6.105579,-10.976406,0.908881,0.742936
R00098,3.657707,-3.680809,-0.459524,0.261763
R00099,4.461486,-5.39589,-1.367583,-0.546101
R00100,4.086677,-0.94608,-2.692824,1.648091
R00101,3.899066,-4.572182,1.708554,1.5916
R00102,4.153404,-6.354469,-3.443292,-0.104494
R00103,4.661446,-4.237892,0.064261,2.661657
R00104,3.898128,-1.406863,1.488799,0.74341
R00105,5.210048,-6.646222,0.990026,0.679813
R00106,4.026015,-4.900472,1.537025,-0.823787
R00107,5.91073,-5.4659,-2.261619,1.236671
R00108,7.827201,-3.455958,-0.685022,0.524469
R00109,4.872471,-2.850437,-0.043567,1.212259
R00110,4.020981,-3.885478,2.068683,0.93745
R00111,3.744898,-2.124382,0.27294,0.246708
R00112,4.167984,-4.579576,-1.251899,0.60059
R00113,6.272522,-5.621875,3.374072,0.061326
R00114,3.616413,-6.151058,-3.561319,0.814395
R00115,4.623582,-5.173185,2.022023,-1.803701
R00116,7.537516,-2.512537,-1.32723,0.862316
R00117,4.412235,-1.840952,-3.2059,0.853642
R00118,4.458945,-4.143337,0.875376,1.041242
R00119,5.475054,-6.595885,1.244417,0.308339
R00120,4.051369,0.739059,-3.45033,2.086738
R00121,4.596131,-8.577948,1.355555,2.652265
R00122,5.02715,-7.956368,-0.104046,0.093481
R00123,4.890142,-6.34346,0.060783,1.120049
R00124,5.998655,-7.280834,0.2174,0.962325
R00125,5.954047,-3.902294,1.080671,2.319709
R00126,5.365149,-3.403009,2.533244,1.226792
R00127,5.474395,-6.177916,3.344897,0.320053
R00128,7.730706,-8.192882,0.977039,0.300096
R00129,2.743754,-3.65044,1.611053,2.075241
R00130,4.149877,-5.04406,-2.386618,-0.995606
R00131,4.697767,-5.196669,-1.67161,1.342038
R00132,6.265451,-5.226702,3.753497,0.521065
R00133,5.641874,-6.966066,2.52866,0.646817
R00134,4.173641,-2.244795,0.449438,1.702301
R00135,4.367953,-1.292504,-0.105097,-0.880134
R00136,3.766608,-5.607374,-2.093749,0.783204
R00137,4.296056,-0.603408,-6.289865,3.623181
R00138,4.461061,-5.66368,-1.574541,2.393974
R00139,4.404708,-6.127605,1.128787,0.047787
R00140,4.349241,-0.229453,-1.537489,1.926584
R00141,2.608859,-5.176804,-2.209203,1.312168
R00142,4.998189,-8.860449,-0.020185,-1.492878
R00143,6.2374,-2.23203,0.831549,4.366846
R00144,4.624135,-5.709372,-1.189624,3.075559
R00145,5.102159,-3.049175,1.093448,0.410431
R00146,5.637581,-8.532813,-1.746427,2.882459
R00147,5.420774,3.626042,-0.930055,1.157792
R00148,4.314483,-6.237331,0.302908,1.43504
R00149,5.048406,-4.06799,-0.324785,-0.027756
R00150,4.765074,-2.89056,-1.883545,0.936393
R00151,6.288153,-6.42008,1.798815,0.535181
R00152,4.094291,-2.858889,-0.354101,-1.141825
R00153,3.855191,-1.641488,2.010973,2.557314
R00154,3.33442,-2.163139,0.511344,1.741019
R00155,3.493233,-6.507333,2.061377,0.167215
R00156,4.97623,-3.403343,0.153776,1.463497
R00157,4.714156,-4.25285,0.389515,1.761681
R00158,6.090034,-3.462025,1.285856,-0.294099
R00159,4.032068,-1.415844,0.323868,-1.277649
R00160,6.074537,-2.150759,1.511935,-0.393557
R00161,4.816275,-11.159661,-0.984041,-0.216091
R00162,5.549356,-5.865523,-4.100827,1.25265
R00163,6.470612,-6.826283,-2.398477,0.878121
R00164,5.311797,-4.549015,-1.75458,-0.036033
R00165,4.511817,-4.938217,-0.545147,0.182805
R00166,5.060657,-4.693199,-0.49094,1.522703
R00167,5.053992,-10.326308,1.144169,0.661058
R00168,5.711301,-1.93984,4.393894,1.199267
R00169,4.026636,-0.430436,0.020453,-0.088742
R00170,3.549358,-9.656033,-2.984593,1.141227
R00171,3.655668,0.439829,4.561708,0.472179
R00172,4.832152,-3.240595,-0.399861,0.831933
R00173,4.42894,-0.055795,-0.759734,0.648767
R00174,4.281295,-7.29717,-2.209062,1.023918
R00175,5.08264,-1.645729,-1.067716,3.075578
R00176,4.100857,5.166035,-1.696191,2.533961
R00177,4.730579,-4.606369,-0.566323,0.548713
R00178,6.356554,-1.475207,-0.69755,1.917883
R00179,3.340396,-7.579189,-0.286502,-0.249224
R00180,5.705968,-2.624565,-0.856959,1.343722
R00181,4.650202,-7.962867,1.702301,1.138158
R00182,3.783545,-3.589631,-3.409067,0.662993
R00183,7.008663,0.079385,-0.303198,-0.776561
R00184,4.6998,-9.855737,2.715078,1.254144
R00185,7.357037,-5.74478,0.71902,0.239183
R00186,4.932642,-4.273745,-2.67759,1.434804
R00187,5.787081,-8.508027,-1.067465,0.934904
R00188,4.496876,-6.393693,-2.002107,0.331099
R00189,3.61879,-0.793383,-2.405567,1.342245
R00190,6.38275,-1.537605,-1.551422,2.421658
R00191,4.578102,-1.327315,-2.408482,0.225865
R00192,3.997822,-5.571432,-0.94945,1.217151
R00193,4.900939,-5.251269,-2.462243,0.307067
R00194,6.830174,-6.778725,0.820612,2.259522
R00195,6.03175,-4.744902,0.988485,0.175524
R00196,4.109963,-2.787089,-1.616276,1.333265
R00197,4.648727,-10.322638,1.496952,0.337484
R00198,5.352961,-2.64143,-0.372585,1.939069
R00199,4.22946,-6.029774,-0.167029,1.029467
R00200,5.246892,-2.630877,1.607829,1.356855
R00201,3.988228,-2.925977,0.923662,1.388183
R00202,6.277371,-5.255099,-0.23946,-0.776185
R00203,4.915388,-5.730016,2.207175,-0.261065
R00204,4.433307,-2.354794,-1.474067,-0.295346
R00205,5.809412,-5.375,2.481398,0.222122
R00206,4.751645,-2.789112,1.476882,1.838688
R00207,4.15752,-8.616015,0.595976,-0.538246
R00208,4.877031,-1.981421,-3.50753,1.582583
R00209,3.168126,-2.312376,0.837495,2.54796
R00210,5.490434,-6.658134,-2.626563,-0.742651
R00211,5.70769,-3.847046,-0.662224,0.022436
R00212,5.320395,-6.028533,1.696016,1.519808
R00213,5.801715,-2.700122,-0.630003,1.994663
R00214,3.542891,-11.302632,-0.998052,2.502902
R00215,3.826733,-2.687318,1.237951,1.788423
R00216,5.975454,0.019005,-0.468753,-0.229486
R00217,3.900361,-3.037809,0.842711,0.554323
R00218,4.221729,-5.267258,0.497172,0.612898
R00219,5.201566,-1.686324,0.297519,-0.428436
R00220,6.74083,0.840229,2.788762,-0.630519
R00221,3.977473,-0.722629,1.456131,-2.618831
R00222,5.810572,-3.21722,-2.690023,0.925244
R00223,4.031872,-7.351224,1.019573,2.05599
R00224,4.378414,-5.776063,-1.989446,-0.558221
R00225,4.572366,0.682207,-1.446643,1.536173
R00226,4.929508,-5.60716,2.031145,-1.068796
R00227,5.040798,-5.103438,0.325321,1.882531
R00228,3.899515,-3.38495,-2.665351,0.615146
R00229,3.549554,-2.876988,0.871318,-0.738677
R00230,5.922613,-2.087895,-3.234361,2.567392
R00231,4.679766,-3.750096,0.950911,1.375906
R00232,6.662706,-8.245978,-3.37428,0.838089
R00233,2.939532,0.712193,2.018828,1.513652
R00234,5.925527,-2.541883,-0.255125,1.291222
R00235,5.043268,-1.006103,-1.134816,3.720027
R00236,4.223439,-1.647075,0.517958,1.757155
R00237,4.608542,-5.119475,0.884419,0.689777
R00238,5.940855,1.414036,-0.505853,2.801502
R00239,4.388645,-5.23704,-0.959109,0.820803
R00240,3.509992,-6.858715,3.847519,0.885953
R00241,4.91599,-2.757761,-4.321462,-0.486117
R00242,5.234794,-9.419515,-1.286241,0.085624
R00243,5.150437,-3.227156,3.432594,-1.417957
R00244,4.522151,-2.338511,1.132698,-0.416974
R00245,5.969121,3.870124,-3.142481,0.748296
R00246,6.587496,0.266731,-3.762083,0.071137
R00247,5.711628,-1.62015,-2.35472,2.44311
R00248,4.146032,-4.438375,1.479427,0.154892
R00249,5.532483,-0.800904,0.413224,0.775764
R00250,4.068321,-5.575501,2.768387,-1.866731
R00251,5.024441,-10.125816,-0.63586,1.757385
R00252,6.859676,-3.873179,0.615209,1.933424
R00253,5.28465,-8.014148,-1.44939,3.201469
R00254,7.153878,-2.807235,0.079751,0.267804
R00255,5.598059,-2.243925,-1.487982,1.890056
R00256,5.799367,-1.442613,-0.385362,1.012385
R00257,4.685695,-6.274504,-1.569919,0.965398
R00258,3.058132,-2.912476,1.504761,0.387665
R00259,4.825426,-2.944763,-1.516585,-0.557361
R00260,4.555558,-6.383147,-1.322441,1.161228
R00261,6.412539,-2.877609,-0.445284,-1.859541
R00262,4.181673,-3.816222,1.252693,0.905212
R00263,4.185503,-1.532506,-2.793582,0.637787
R00264,5.416679,2.015191,-0.861164,1.256205
R00265,4.200026,0.965413,-0.423886,0.199072
R00266,5.837417,-2.096573,0.981649,0.7269
R00267,5.246693,-1.259132,1.071849,0.836177
R00268,5.421458,-4.884565,-1.866396,1.603629
R00269,5.698009,-5.890169,3.853247,1.397568
R00270,3.91923,-4.617016,-1.652028,1.699074
R00271,3.943913,-4.983772,0.141636,0.633206
R00272,5.318161,-3.630684,-1.686837,-0.121579
R00273,4.301318,0.642047,-1.143697,1.161802
R00274,3.537417,-0.138172,-3.513547,3.151781
R00275,4.372589,-5.884162,-0.381416,0.958374
R00276,5.200319,-5.748249,2.119665,0.076691
R00277,6.334823,-1.507591,0.226138,-0.203714
R00278,5.567276,-10.213436,-0.337937,1.957392
R00279,4.971895,-8.266506,2.329044,1.717584
R00280,5.438476,1.87585,0.520109,0.173748
R00281,5.31806,-6.44087,1.067783,1.138827
R00282,5.288581,-5.600116,1.100721,2.113556
R00283,3.986892,-2.897932,0.201642,0.718873
R00284,6.415721,-1.968727,0.200195,-0.141544
R00285,6.029672,-2.518494,0.301465,0.683382
R00286,4.192158,-7.361982,0.410922,0.836186
R00287,5.349543,-1.007272,-1.141354,1.036581
R00288,5.407518,-8.945784,1.670345,0.161128
R00289,5.221655,-4.106126,-3.848243,2.108646
R00290,4.519868,-4.006039,1.072247,-1.012835
R00291,5.457399,-2.091684,1.372168,0.273703
R00292,4.686269,-6.470686,1.176344,-0.527201
R00293,3.974005,-3.298781,1.82935,-0.019747
R00294,3.971861,-7.247475,-2.00446,1.648579
R00295,4.735756,-0.458404,0.183879,0.553205
R00296,5.263285,-6.786582,0.598814,0.876898
R00297,4.837878,-6.104644,1.715171,1.218969
R00298,5.279056,-4.12026,-1.685893,-0.47777
R00299,7.204806,-6.972893,-0.895605,1.488804
R00300,4.90827,-8.276348,-2.807297,-2.169965
R00301,4.94612,-10.116116,1.739562,-0.474901
R00302,3.755152,-5.334507,3.048078,0.635944
R00303,3.826047,-11.00019,3.11967,-0.130505
R00304,5.803819,-2.357513,0.846965,0.783799
R00305,5.351236,-3.699939,-0.769475,1.623141
R00306,6.530611,-1.953311,0.488394,1.011676
R00307,7.601017,-5.597054,-2.335438,2.761936
R00308,5.856847,-8.825626,-1.121201,-0.052292
R00309,6.354987,-2.055409,-0.288263,0.730554
R00310,4.719427,-5.006015,-1.084518,2.150719
R00311,5.377966,-3.520035,2.505982,2.040772
R00312,4.108113,-2.116716,0.802401,3.412137
R00313,4.917889,-3.779501,-0.953588,2.796792
R00314,5.772326,-4.271397,-0.89185,0.432405
R00315,5.058336,-4.078044,-1.220872,-1.775843
R00316,4.977169,-6.508442,-0.754147,0.699952
R00317,4.856529,-3.978333,0.555595,0.323906
R00318,5.466199,-2.49871,-0.966039,0.72447
R00319,5.032977,-10.001014,-4.016511,-0.687062
R00320,3.139525,-5.397068,1.403078,0.869284
R00321,3.821455,-5.425227,-0.031512,1.790385
R00322,5.205471,-9.09424,0.798278,0.523903
R00323,6.438253,-6.590324,2.713214,1.588028
R00324,5.392479,-2.772783,-2.715982,0.976666
R00325,5.997089,-6.660153,1.634786,1.196937
R00326,5.049498,-5.76005,1.068008,2.664363
R00327,5.412747,-5.356718,1.259333,1.177039
R00328,4.557992,-9.931934,-3.166692,-0.008548
R00329,5.747643,2.555061,2.222609,1.164762
R00330,3.772045,-1.110928,0.185942,1.917195
R00331,4.716569,-6.029753,0.193513,2.932846
R00332,4.361426,-5.406831,-3.115922,1.375985
R00333,4.373981,2.591637,-0.07734,0.704349
R00334,6.099436,-2.22233,-0.069174,1.891206
R00335,4.815006,-4.957099,-0.815093,1.192441
R00336,4.875013,-9.675915,1.427652,0.547378
R00337,4.097955,-4.296295,-2.227902,0.024995
