row_id,f1,f2,f3,f4,f5
S00000,-1.52276,-0.671995,0.774085,-0.623272,0.175986
S00001,0.856849,0.006821,-1.234622,-0.655792,0.175117
S00002,-0.971681,0.00703,-0.514307,-0.020552,-1.082891
S00003,0.260982,0.539967,-1.312071,1.381324,0.092096
S00004,-1.162141,1.258505,-1.178197,-0.499259,0.932663
S00005,-0.119229,1.416406,-0.042361,0.483971,0.759187
S00006,-0.662185,-0.682137,-0.077541,-0.790022,0.610257
S00007,-1.681865,0.215592,-1.450604,0.700767,-0.866426
S00008,-0.592967,0.075375,-0.817949,1.705099,-0.314354
S00009,-1.98619,0.562921,0.349459,-0.808697,-0.478237
S00010,0.488851,-0.856446,-0.627686,1.022848,-0.191851
S00011,0.197553,0.893151,-0.087525,-0.456506,0.36718
S00012,-1.630443,0.346097,0.353319,-1.459672,-1.379669
S00013,-1.176536,-1.020315,-0.762797,-1.776702,0.155649
S00014,-1.544699,0.385859,1.032336,1.047146,0.527923
S00015,0.260177,0.945648,0.26277,-0.838446,-0.699965
S00016,-1.831639,1.135431,-0.081152,0.370754,-0.045679
S00017,-0.061552,2.027573,-0.056093,0.926844,-0.074727
S00018,-1.466727,-1.743213,-0.598778,-2.204004,0.163948
S00019,0.020177,-1.403372,1.372754,0.396101,-0.833659
S00020,0.726326,-1.236271,1.352237,-0.964495,-1.094377
S00021,-1.233637,-2.09481,0.634969,-0.851354,-0.020134
S00022,-1.660502,0.71242,0.297258,0.708373,0.302137
S00023,-0.399484,-0.361564,-1.387587,1.566354,1.469335
S00024,0.404821,1.341437,-1.16832,0.110011,-0.240225
S00025,0.112267,2.460772,1.000532,-0.846708,1.248754
S00026,1.274155,0.985311,0.373305,0.515404,-0.448132
S00027,-1.703978,0.159212,-0.042144,0.792579,1.556579
S00028,-1.065787,-0.94471,-0.190815,-0.197178,0.176393
S00029,0.566626,1.556076,0.08348,-0.458836,-1.527048
S00030,-1.28059,0.089994,1.38558,0.185519,0.621448
S00031,-0.28575,0.369195,1.126276,-0.46651,-0.884954
S00032,-0.009259,0.183124,-0.463534,0.279249,-1.786925
S00033,0.218031,-0.310719,0.53525,1.303821,0.603419
S00034,-0.920281,-0.869476,1.187461,-0.212945,0.348477
S00035,-0.93598,-1.2041,0.654942,1.025119,0.679034
S00036,0.669437,-0.213049,2.099349,-0.166945,-0.4952
S00037,-1.134406,1.047653,1.358152,0.992092,-0.527305
S00038,0.163756,-0.092577,-0.31264,0.129503,1.423255
S00039,-1.215999,0.856733,1.062897,1.143364,1.102425
S00040,0.913618,0.151812,-1.860623,-0.646329,0.673191
S00041,-0.091477,0.670741,-0.024032,-1.104896,0.091409
S00042,0.185502,-0.32857,0.217771,-1.475101,0.837693
S00043,0.075228,0.060183,-1.232042,-0.883404,1.107518
S00044,0.227741,-0.345306,-0.948398,0.819494,1.055476
S00045,-0.801235,1.086663,0.003644,-2.598899,0.100481
S00046,0.067746,0.418077,-0.357919,-0.256484,0.133981
S00047,-0.259026,-0.965127,0.071687,-0.5995,0.562777
S00048,0.515399,-1.092853,-0.575787,-1.259028,-0.53186
S00049,-0.563986,0.38477,-0.864978,1.517307,0.076424
S00050,0.080586,0.736698,-0.673445,-0.420186,1.103563
S00051,2.396019,1.302113,0.39645,2.189083,-0.289566
S00052,0.860244,-0.832684,1.742693,0.368613,0.52762
S00053,-0.988115,-0.73014,-0.844788,0.042307,0.581845
S00054,1.219314,1.234768,-0.120159,0.423271,1.717618
S00055,-0.29641,0.311249,-0.31517,-0.464124,0.596375
S00056,-0.318338,-1.24704,-0.244682,-1.10408,0.381094
S00057,-0.300746,-0.388691,-1.47596,0.969621,2.359267
S00058,-0.774715,1.05942,2.369804,-0.493373,-0.595053
S00059,-0.805238,-2.172018,-1.098011,-0.086689,1.563366
S00060,0.634649,0.563408,0.289806,0.790276,-1.988384
S00061,1.213369,-0.173595,1.115533,-2.054496,-0.559738
S00062,-0.869282,0.173056,1.970415,2.584632,-0.131878
S00063,-0.54611,1.248248,-0.143037,-0.464891,0.580558
S00064,0.489617,-0.183699,0.33586,1.188421,0.46516
S00065,-0.520464,-0.917855,0.159987,2.114264,0.393041
S00066,-1.318384,0.238468,2.456351,1.122253,-0.788732
S00067,0.885506,0.509571,0.645885,-2.580553,-1.178274
S00068,2.110886,-0.056018,-2.316041,-0.604027,-1.730738
S00069,0.470923,0.460437,0.849868,-1.013325,1.343808
S00070,-0.861419,0.752949,-1.483201,-0.892505,-0.643382
S00071,-0.46751,-2.220497,1.241369,-0.14245,1.802735
S00072,-0.246555,0.87064,-1.099748,-0.425713,-1.487297
S00073,2.247011,-0.357342,1.146178,-1.085388,0.548287
S00074,1.296482,-0.886949,0.993607,-0.325573,-0.341997
S00075,1.348357,0.869426,2.581537,-0.004996,-0.830561
S00076,-0.702872,0.65433,1.15323,0.20278,-0.877859
S00077,-0.06569,0.212642,-1.939931,0.567477,0.795757
S00078,-1.138105,-0.417342,-0.1954,1.598309,-1.73531
S00079,-1.929878,-0.609048,-0.33509,-0.031758,0.297325
S00080,-0.309302,0.073916,0.782207,-1.279955,-0.929367
S00081,0.56541,0.19453,-0.570008,0.357767,-0.242083
S00082,0.679242,0.486491,2.688634,0.897855,0.163524
S00083,0.177553,0.211878,0.514044,-0.144339,-0.498476
S00084,-0.663104,-1.857877,0.739873,-2.168314,1.24159
S00085,0.967494,2.113956,-0.009068,0.315011,-0.443349
S00086,0.403991,0.407683,-0.268976,1.266029,-2.48431
S00087,0.797188,0.792997,1.314081,-1.408241,-0.899402
S00088,-0.198531,1.531199,0.363162,-0.458335,-0.210976
S00089,-0.368839,-0.241703,0.884657,-0.783474,1.166807
S00090,-0.245053,-1.36438,-1.757618,-1.214248,-0.478568
S00091,0.094013,0.998517,0.131731,0.55157,0.842148
S00092,1.483841,-0.42566,-1.251826,-0.083189,1.357288
S00093,1.7812,0.037486,1.284606,-0.856498,-0.235601
S00094,-1.427783,0.191346,0.955497,0.514456,-0.370562
S00095,-1.215064,0.968809,0.718266,0.503901,1.165986
S00096,-0.527496,-0.064284,-0.072878,0.332444,-0.20069
S00097,0.21325,0.651756,0.379164,0.100749,-0.218832
S00098,0.693033,0.372642,-1.207129,-1.003656,0.927066
S00099,-0.941201,0.018051,-0.518878,-0.78546,0.645195
S00100,-2.034883,-0.728043,-1.509624,-0.554749,-0.891326
S00101,-0.640909,-1.192831,0.206816,0.65977,-0.836276
S00102,-0.713582,-1.056747,0.827538,0.831886,-0.512732
S00103,1.447112,-0.002929,0.277446,0.081835,0.071251
S00104,0.663645,-0.905987,-0.215436,0.55454,-1.095383
S00105,1.139341,0.770722,0.940619,-1.616083,-0.539826
S00106,0.242114,1.580456,0.195118,-0.304142,-0.416983
S00107,0.680955,-0.017777,-0.683642,0.555916,0.892426
S00108,-0.074514,0.139235,-1.739785,-0.167898,0.259199
S00109,-1.040891,0.164911,0.041854,1.304941,-0.072742
S00110,1.002388,0.846949,-1.521324,-1.37189,0.173755
S00111,1.320988,-0.142172,-0.254752,-0.869302,-1.472213
S00112,0.704489,-0.238453,-0.025176,-0.339163,-0.789152
S00113,1.388955,0.915053,-0.803,1.927858,-0.919494
S00114,0.930443,-1.663383,-2.255519,-0.87212,-0.389887
S00115,-1.604871,1.133546,1.371506,-0.797358,0.537884
S00116,1.902327,0.202005,-0.763585,1.55351,-1.000995
S00117,-0.808597,0.702202,1.10976,0.428719,-0.584152
S00118,0.173274,-0.244285,1.013209,0.975684,0.944278
S00119,-0.631414,0.511064,-1.95699,-1.769183,0.678816
S00120,-1.554361,1.358434,0.863425,0.640908,-0.711326
S00121,-0.237335,-0.76092,1.543036,1.49508,0.482596
S00122,0.315501,-1.486216,-0.822339,0.633797,2.121305
S00123,0.462113,-0.646608,-0.224978,-1.699733,-0.208291
S00124,0.309018,0.141358,1.387324,1.565088,2.120184
S00125,-0.315415,0.093794,1.333309,-2.422224,0.561464
S00126,0.920421,-0.810904,0.969524,-0.066572,0.94587
S00127,0.486839,-1.016948,0.616838,-1.212418,-1.257957
S00128,-0.461017,2.57687,-0.514253,0.794837,0.487396
S00129,-2.186071,-1.711552,1.453502,-2.637699,-0.45335
S00130,-0.276608,0.283739,1.326552,-0.58671,0.385906
S00131,-0.021033,-0.752577,1.363303,1.176285,-2.204714
S00132,-0.748312,0.793738,-0.542853,1.201677,0.685991
S00133,-0.338799,-0.168384,-0.919841,0.354272,0.235696
S00134,0.998198,-0.110247,-1.093338,-0.635368,0.336415
