date,pm25_lag1,temperature,humidity,wind_speed,pressure,precipitation
2025-04-14,5.9,10.7,67,19.2,1001.8,0.0
2025-04-18,8.7,10.1,90,10.0,1006.1,0.9
2025-04-23,4.9,7.5,89,12.7,1013.9,1.6
2025-04-28,3.4,11.9,67,26.2,1012.0,0.2
2025-05-05,1.6,7.0,54,21.3,1008.3,0.0
2025-05-20,3.2,13.8,50,15.5,1005.6,0.0
2025-05-23,2.2,8.4,74,23.7,1001.3,1.2
2025-05-25,2.6,11.1,69,21.1,1006.0,0.5
2025-06-04,3.1,15.8,64,22.7,1002.8,0.2
2025-06-07,4.8,14.2,61,31.5,996.7,0.0
2025-06-10,4.2,13.6,71,16.5,1006.7,0.2
2025-06-17,4.7,18.3,62,22.1,1008.4,0.0
2025-07-05,2.3,14.1,90,14.1,1003.1,8.7
2025-07-09,2.5,17.5,65,8.3,1010.6,0.0
2025-07-12,3.5,17.6,86,18.4,1013.6,4.2
2025-07-14,5.6,18.3,88,9.6,1012.3,8.0
2025-07-16,7.0,20.9,80,15.0,1005.8,0.1
2025-07-19,7.7,21.1,69,10.6,1010.3,0.0
2025-07-24,8.5,22.2,76,13.3,1006.5,2.3
2025-07-27,5.9,21.9,65,13.2,1004.7,0.0
2025-08-10,4.9,17.4,67,17.4,1011.6,0.1
2025-08-13,3.9,19.0,71,9.3,1017.0,0.0
2025-08-15,5.6,20.2,73,23.0,1010.8,7.0
2025-08-18,1.6,17.3,70,11.6,1013.6,0.0
2025-08-22,3.7,10.5,88,18.6,1001.3,27.0
2025-08-27,2.8,12.4,81,9.8,1009.4,0.0
2025-08-29,4.8,15.5,90,17.5,1000.8,2.4
2025-08-31,4.4,14.8,90,6.9,1009.2,0.6
2025-09-05,7.3,18.5,84,13.6,1012.6,0.0
2025-09-11,8.5,17.4,90,36.9,1005.0,15.0
2025-09-20,3.2,17.6,81,23.0,1004.0,1.2
2025-09-22,4.9,11.6,65,22.5,1003.7,0.2
2025-09-24,1.7,9.5,71,14.8,1026.5,0.0
2025-09-28,5.3,11.5,84,14.5,1029.5,0.0
2025-10-04,5.0,9.9,79,27.8,999.7,14.8
2025-10-08,4.5,12.2,89,17.7,1008.2,3.1
2025-10-10,3.6,9.2,79,16.5,1007.7,0.0
2025-10-13,1.5,5.6,79,15.7,1018.2,0.0
2025-10-15,2.8,8.8,90,11.0,1013.1,0.0
2025-10-18,2.6,3.0,82,11.8,1019.9,0.0
2025-10-22,7.1,10.6,94,21.4,995.4,4.3
2025-10-31,4.4,6.5,92,15.3,1006.8,0.0
2025-11-02,3.0,8.9,94,20.0,1002.5,5.0
2025-11-04,5.1,10.3,92,19.0,1006.1,0.7
2025-11-06,6.4,10.8,96,11.6,1009.9,1.5
2025-11-08,11.3,5.5,98,7.5,1010.7,0.0
2025-11-10,7.2,5.4,92,5.8,1009.4,0.0
2025-11-13,6.0,6.9,90,20.7,993.7,3.4
2025-11-19,4.2,-3.1,90,7.1,1001.2,2.8
2025-11-27,7.8,-0.2,92,21.4,1006.3,2.5
2025-11-30,4.7,5.4,96,17.5,1005.1,3.9
2025-12-04,8.7,4.3,94,10.4,1011.3,0.8
2025-12-06,13.0,5.7,98,13.5,1007.9,10.9
2025-12-08,11.5,6.2,98,19.4,998.5,6.8
2025-12-12,3.6,2.9,87,11.7,1017.8,0.0
2025-12-15,3.4,7.8,86,19.8,1003.1,0.1
2025-12-17,11.6,5.1,95,19.8,1007.7,0.5
2025-12-20,7.1,6.0,86,18.9,1005.1,0.0
2025-12-27,4.2,1.8,62,29.7,1012.5,0.0
2026-01-08,5.3,-0.7,83,21.8,1010.7,0.7
2026-01-14,5.6,0.6,92,25.0,1006.2,12.9
2026-01-19,12.8,-0.2,96,9.8,1026.9,0.0
2026-01-23,2.6,-3.6,84,14.4,1018.3,0.0
2026-01-25,4.9,-4.1,89,14.2,1013.1,1.3
2026-01-27,4.6,-5.6,91,13.0,1010.7,0.0
2026-01-29,2.9,-5.5,86,15.4,1014.9,0.1
2026-02-01,2.5,-6.4,85,15.3,1026.4,0.1
2026-02-06,3.3,-8.3,90,16.1,1009.6,0.0
2026-02-08,2.9,-6.2,92,12.4,1021.0,0.0
2026-02-12,5.7,-7.4,88,16.2,991.6,0.0
2026-02-20,6.5,-5.8,74,23.9,1012.8,0.0
2026-02-23,3.9,-0.6,92,12.7,1001.2,0.4
2026-02-28,6.9,2.6,98,14.4,1010.8,2.1
2026-03-08,5.8,3.4,82,13.1,1025.8,0.0
2026-03-15,4.1,2.1,94,13.3,1005.0,6.3
2026-03-17,7.5,3.5,88,14.3,1017.4,0.0
2026-03-28,2.8,4.1,81,18.4,1009.2,0.2
2026-03-30,4.0,4.1,82,25.8,1004.2,0.7
2026-04-01,5.5,6.6,71,16.3,1015.8,0.0
2026-04-03,4.9,2.4,94,14.4,1004.4,7.9
2026-04-14,6.0,6.7,74,15.3,1026.0,0.0
2026-04-24,2.6,9.6,57,15.3,1007.0,0.0
2026-04-27,2.0,5.5,49,20.3,1019.2,0.1
2026-05-01,3.3,15.3,51,21.1,1016.9,0.0
2026-05-03,5.1,7.8,78,12.7,1006.6,2.1
2026-05-06,2.2,7.4,45,17.0,1010.4,0.0
2026-05-21,3.6,13.2,77,17.1,1016.1,3.1
2026-05-24,3.9,18.0,57,20.2,1015.8,0.0
2026-05-29,2.0,14.5,55,10.3,1014.0,0.0
2026-05-31,4.1,16.8,53,13.9,1008.3,0.0
