row_id,account_id,event_time,amount,category
R00000,A0042,1767226440000,14.32,rent
R00001,A0033,1767230940000,116.56,salary
R00002,A0003,1767252900000,16.19,travel
R00003,A0101,1767260520000,21.26,other
R00004,A0084,1767275040000,14.94,salary
R00005,A0018,1767275100000,10.0,rent
R00006,A0036,1767283920000,36.39,other
R00007,A0077,1767287100000,38.05,other
R00008,A0045,1767287340000,68.76,salary
R00009,A0053,1767292980000,4.41,travel
R00010,A0004,1767331620000,44.6,other
R00011,A0058,1767354600000,27.48,other
R00012,A0103,1767362760000,32.18,travel
R00013,A0003,1767367500000,88.91,travel
R00014,A0031,1767377700000,6.61,other
R00015,A0115,1767393360000,255.64,travel
R00016,A0077,1767411420000,9.44,rent
R00017,A0018,1767415620000,9.4,salary
R00018,A0079,1767424440000,13.56,travel
R00019,A0052,1767429000000,4.3,travel
R00020,A0045,1767442560000,23.78,rent
R00021,A0006,1767442740000,22.56,other
R00022,A0110,1767456900000,38.27,other
R00023,A0099,1767471540000,39.78,other
R00024,A0057,1767476940000,30.9,grocery
R00025,A0052,1767478200000,10.18,grocery
R00026,A0108,1767481380000,13.05,salary
R00027,A0080,1767481800000,40.07,travel
R00028,A0012,1767496620000,4.45,other
R00029,A0099,1767508680000,10.1,grocery
R00030,A0019,1767516240000,17.55,salary
R00031,A0100,1767532920000,12.19,salary
R00032,A0113,1767539520000,10.39,travel
R00033,A0070,1767548400000,30.82,rent
R00034,A0101,1767590760000,52.93,grocery
R00035,A0062,1767592740000,22.37,rent
R00036,A0095,1767594120000,19.54,grocery
R00037,A0050,1767601320000,7.9,salary
R00038,A0017,1767610560000,32.13,salary
R00039,A0010,1767613860000,10.22,other
R00040,A0037,1767627780000,11.33,rent
R00041,A0016,1767632340000,6.9,grocery
R00042,A0047,1767632460000,9.45,salary
R00043,A0071,1767635940000,2.03,other
R00044,A0066,1767644820000,16.24,travel
R00045,A0081,1767668940000,4.98,grocery
R00046,A0075,1767672720000,6.19,travel
R00047,A0106,1767673800000,24.01,rent
R00048,A0043,1767691200000,65.71,rent
R00049,A0019,1767691320000,16.78,salary
R00050,A0010,1767691380000,32.26,travel
R00051,A0096,1767711780000,7.39,rent
R00052,A0018,1767715740000,40.91,other
R00053,A0086,1767722700000,16.51,other
R00054,A0029,1767727140000,16.36,salary
R00055,A0034,1767748680000,5.33,grocery
R00056,A0012,1767750960000,56.98,rent
R00057,A0006,1767755160000,29.69,salary
R00058,A0036,1767765900000,38.99,travel
R00059,A0097,1767780180000,39.6,salary
R00060,A0017,1767786240000,34.14,salary
R00061,A0047,1767789180000,45.6,rent
R00062,A0085,1767791820000,9.99,rent
R00063,A0097,1767817080000,8.87,travel
R00064,A0019,1767831240000,32.18,salary
R00065,A0044,1767833220000,3.52,grocery
R00066,A0074,1767837120000,2.27,salary
R00067,A0033,1767851220000,1.42,travel
R00068,A0009,1767853860000,21.59,salary
R00069,A0053,1767859560000,7.86,salary
R00070,A0017,1767864540000,10.34,other
R00071,A0086,1767864720000,7.32,other
R00072,A0085,1767869160000,9.47,travel
R00073,A0004,1767875640000,20.0,travel
R00074,A0114,1767879060000,11.01,rent
