account_id,label_time,churned
A0000,1772963500000,0
A0001,1772707968000,1
A0002,1772046467000,1
A0003,1772061329000,0
A0004,1772445817000,0
A0005,1773109832000,1
A0006,1772630558000,0
A0007,1773389005000,1
A0008,1773462795000,0
A0009,1772314286000,0
A0010,1772071411000,1
A0011,1772056691000,1
A0012,1773705551000,1
A0013,1772989909000,1
A0014,1772987485000,1
A0015,1772973158000,1
A0016,1773126490000,0
A0017,1772291443000,0
A0018,1773399743000,1
A0019,1773350660000,1
A0020,1773243042000,1
A0021,1773500087000,1
A0022,1771988278000,0
A0023,1772061842000,0
A0024,1773596687000,0
A0025,1772759859000,1
A0026,1772038366000,1
A0027,1773022846000,1
A0028,1772116282000,0
A0029,1773211274000,1
A0030,1772013546000,0
A0031,1772576504000,1
A0032,1772198918000,0
A0033,1773622346000,1
A0034,1773673449000,1
A0035,1773027123000,0
A0036,1772542750000,0
A0037,1772496323000,1
A0038,1772269328000,1
A0039,1772705759000,0
A0040,1772018625000,0
A0041,1772509610000,1
A0042,1773582533000,0
A0043,1773189729000,0
A0044,1772661559000,0
A0045,1773204375000,0
A0046,1772620853000,1
A0047,1772551204000,1
A0048,1773032086000,1
A0049,1772186674000,0
A0050,1772370074000,1
A0051,1773262865000,0
A0052,1772388263000,0
A0053,1773703816000,0
A0054,1773594779000,0
A0055,1772468567000,0
A0056,1773513841000,1
A0057,1773480756000,0
A0058,1772223125000,1
A0059,1773302492000,0
A0060,1772183343000,1
A0061,1772108730000,0
A0062,1772679800000,1
A0063,1773567461000,1
A0064,1773285945000,0
A0065,1772367255000,0
A0066,1773552398000,0
A0067,1772094738000,0
A0068,1773544481000,1
A0069,1773679155000,0
A0070,1772942613000,0
A0071,1773357490000,1
A0072,1772698249000,1
A0073,1772619329000,0
A0074,1773292889000,1
A0075,1773413432000,1
A0076,1773510590000,0
A0077,1773109389000,1
A0078,1773193980000,1
A0079,1773539444000,1
A0080,1773047259000,0
A0081,1773616451000,1
A0082,1772343684000,1
A0083,1772403247000,1
A0084,1772480225000,0
A0085,1773284743000,1
A0086,1772707538000,1
A0087,1772714475000,1
A0088,1773676263000,1
A0089,1773087727000,0
A0090,1772842136000,0
A0091,1772494766000,0
A0092,1772855527000,1
A0093,1772069342000,1
A0094,1773663901000,1
A0095,1772877678000,0
A0096,1772159487000,1
A0097,1772882923000,1
A0098,1773329789000,0
A0099,1772387889000,0
