row_id,f1,f2,f3,f4,f5,label
T00000,0.716734,0.020358,-0.385539,0.86097,0.49709,1
T00001,-0.390211,-0.493688,0.459744,-0.778209,0.215479,0
T00002,0.90515,0.361534,0.868429,-0.657726,-1.26643,0
T00003,-0.176348,0.171287,0.0712,0.041888,-0.656947,0
T00004,0.109974,-0.25018,-1.87335,1.917565,1.014161,1
T00005,1.819032,0.51143,1.271431,2.117258,-0.261628,1
T00006,-0.474847,0.211187,1.781409,-0.28258,0.640847,0
T00007,-0.561346,-0.305671,0.30188,-0.047806,-0.737499,0
T00008,-0.381914,-0.317086,0.084181,0.91309,0.783245,1
T00009,0.235935,0.75412,-0.072359,0.253523,0.775407,1
T00010,-0.920821,-0.889559,1.118187,-0.243542,1.975774,0
T00011,0.708389,-0.215985,-0.338429,-0.279763,-1.773895,0
T00012,1.125036,0.365949,1.989289,1.066775,0.687615,0
T00013,-0.247066,1.349201,-2.271417,0.422958,-0.716478,1
T00014,2.034507,0.832887,0.206113,-0.830766,0.216197,0
T00015,-3.320632,0.808226,-0.739927,-1.320975,1.46908,1
T00016,-1.619458,-0.509682,-1.22069,0.097151,0.393967,1
T00017,0.766504,0.444008,-1.92623,0.024483,-0.160637,1
T00018,-0.661915,0.011697,0.118359,-0.162597,-0.288077,0
T00019,0.398604,1.435805,2.078424,-1.230494,0.268029,0
T00020,0.911763,2.395901,0.388017,0.383582,-0.365278,0
T00021,0.40705,0.257427,0.136738,-1.237665,0.913823,0
T00022,-0.800562,0.649387,-1.391961,0.617406,1.463844,1
T00023,1.020435,0.358588,1.782972,0.493194,0.306716,0
T00024,-0.963923,0.087945,-0.47154,-0.324263,1.169864,1
T00025,-2.649164,0.99496,1.354425,-0.755471,0.973269,1
T00026,0.232479,-0.42609,0.595932,-0.77922,2.517232,0
T00027,0.100194,-0.764635,2.069114,0.966036,-0.390789,0
T00028,0.695678,0.039814,-0.861636,-0.901135,-1.303919,1
T00029,-1.67468,-0.890447,-1.242198,0.981712,0.353695,1
T00030,-0.418411,-0.211798,1.13678,0.079619,0.158613,1
T00031,-0.426553,1.013919,0.336717,-0.360774,1.437166,1
T00032,0.509226,-0.324027,0.200797,0.468791,-0.659688,0
T00033,0.155838,-1.630389,1.869681,2.189049,1.410736,0
T00034,-1.199063,1.580515,-0.333714,-0.451154,0.402914,1
T00035,-0.242445,-0.460693,-0.57053,0.268356,0.360852,1
T00036,-0.49637,1.46185,-1.078169,2.007508,0.666562,1
T00037,1.767173,0.385276,2.276468,0.779237,1.311841,0
T00038,-0.75688,-0.618987,0.849212,1.501045,-0.973393,0
T00039,0.613793,0.86697,0.747572,-0.025783,1.076738,0
T00040,0.685878,0.009896,-0.357687,-0.478456,0.451445,0
T00041,0.982984,0.702579,0.314436,-0.07156,0.885215,1
T00042,-0.207868,-1.652654,0.615493,1.629907,0.990789,0
T00043,-1.062469,0.692989,1.361185,1.53072,0.741774,1
T00044,-1.099966,1.234142,0.166752,0.73067,-1.04909,1
T00045,0.7661,2.058427,0.040818,-0.109763,2.269591,1
T00046,0.193277,-0.481738,-0.611027,-0.297586,-1.3749,0
T00047,1.136364,2.110056,0.470563,-0.716646,-0.412725,1
T00048,1.266575,-0.718169,-0.70455,-0.043413,-0.116962,0
T00049,0.234197,1.181784,0.562558,0.487989,0.855331,1
T00050,0.747263,-0.484404,-1.004379,-0.993849,0.989878,1
T00051,1.094547,-0.122868,0.709275,0.640079,0.197627,0
T00052,0.0088,-0.783803,0.093266,0.660959,-1.119101,0
T00053,0.54968,0.499127,-0.734773,0.54355,-0.729873,1
T00054,-0.932698,-0.237343,1.319787,-1.184937,-0.758484,0
T00055,0.234685,-0.509252,0.245311,0.909418,-0.060685,0
T00056,-0.657249,0.490651,0.471902,2.199332,2.059015,1
T00057,-0.510761,-1.191601,-0.262174,0.249634,-0.478128,0
T00058,1.190448,-0.457861,0.855011,0.151357,1.246134,0
T00059,0.502949,-0.381275,-1.435047,1.591377,0.015831,1
T00060,0.626454,0.885841,0.20575,-0.013238,-0.912842,0
T00061,0.778247,-1.330126,2.193484,-0.409639,-1.534085,0
T00062,-0.103897,0.529127,0.126922,1.459659,-0.892521,1
T00063,-1.10837,1.92764,0.882143,0.809736,1.334883,1
T00064,0.15426,-1.41559,-1.835675,1.596045,1.089641,0
T00065,0.20964,-0.183265,-0.088004,1.754051,-1.250182,0
T00066,-0.492181,0.491742,-1.349838,0.189916,-1.041367,1
T00067,0.020181,0.350138,-0.185937,0.178506,1.520867,1
T00068,-0.208619,1.386816,-0.747193,-2.141583,0.653614,1
T00069,-0.309854,1.482944,0.181547,1.046352,-0.618898,1
T00070,0.306439,0.083584,0.804311,-0.216598,-1.658841,0
T00071,-0.364181,0.20986,1.058813,-1.511364,-0.6525,0
T00072,1.588252,-0.077286,-1.200542,0.4302,0.191965,1
T00073,0.007021,0.987182,-2.6335,0.823704,-0.139182,1
T00074,-1.409369,-0.280153,-0.49417,-0.037309,0.586365,1
T00075,0.090614,-1.284418,-1.10199,-0.586158,1.480324,0
T00076,0.612904,-0.031589,-0.337089,0.783934,-0.611146,0
T00077,-0.241672,-0.359539,1.036941,-1.105987,-0.328259,0
T00078,-0.947965,2.916513,0.606442,-0.047696,0.161811,1
T00079,-0.260194,1.577352,0.323374,-0.713276,0.778325,1
T00080,0.175141,0.288433,0.397703,0.676092,1.011202,1
T00081,0.958884,1.148955,0.295549,0.1625,-1.192456,1
T00082,0.698212,-0.717269,-0.686271,-0.790498,0.084945,0
T00083,-0.129587,1.782213,0.136145,-0.131035,-2.400238,1
T00084,-0.738797,0.443218,0.537721,-0.948915,-1.138162,0
T00085,0.278468,0.0767,1.535709,0.77262,-0.296183,0
T00086,0.950139,0.705256,0.435264,1.565399,0.37076,1
T00087,0.698368,-0.797997,-1.111534,0.142146,-0.5331,1
T00088,0.294736,-0.16455,0.429725,2.482121,-0.594086,1
T00089,2.310012,1.663051,1.133759,0.189969,-0.39261,0
T00090,0.000526,-0.371349,-2.241598,0.47829,-0.827533,1
T00091,0.344886,0.459578,1.305379,1.282266,-0.737013,0
T00092,-1.318048,-0.78444,0.124079,0.960316,1.976421,1
T00093,0.446698,-0.98192,0.917849,-0.150632,-0.817814,0
T00094,0.287152,-1.585583,-2.493997,-1.187836,-0.938304,0
T00095,1.832156,-0.348679,-0.919031,-1.944247,1.747518,0
T00096,-0.4344,-1.316387,0.618065,0.258578,-0.977543,0
T00097,0.0847,-0.39119,-0.802483,2.697236,-1.222316,1
T00098,0.915626,0.36078,0.70367,-0.08698,0.531112,0
T00099,-1.508683,0.452981,1.201355,0.283992,2.781605,1
T00100,-1.585791,0.142108,-0.439326,0.198423,0.657873,1
T00101,-0.799753,-0.873722,-1.676238,-0.74887,0.279962,1
T00102,-1.05605,-0.614488,1.673575,-0.18134,0.491039,0
T00103,-0.267357,0.201237,-1.474549,-1.013561,-1.665282,1
T00104,1.254478,0.757952,-0.729908,-0.016947,0.092663,1
T00105,0.15391,0.561681,1.353724,0.261855,-0.148695,0
T00106,-0.633559,-0.36849,0.807868,0.917973,1.219366,0
T00107,1.019415,-1.067895,-0.851789,1.281718,-1.491218,0
T00108,1.028561,-0.136152,-0.130101,1.079058,0.097869,0
T00109,0.770976,-1.214644,0.745658,2.498888,-1.167912,0
T00110,-1.365482,0.620982,0.58406,-2.425481,-1.601543,1
T00111,0.210788,-0.100669,0.100477,1.811675,0.457033,0
T00112,-0.127886,0.504034,0.089021,0.468934,-0.628101,0
T00113,-1.246289,-0.205915,-1.306048,0.15158,-0.484357,1
T00114,-0.052986,-0.227319,-1.046339,1.813626,0.050327,1
T00115,1.974216,-0.17358,0.732926,-0.089792,-0.195413,0
T00116,-0.156703,0.10275,1.520795,-1.8024,1.009573,0
T00117,1.201252,0.755697,-1.369126,1.699573,-1.186853,1
T00118,0.591765,1.291854,-1.309149,-0.718273,-0.792987,1
T00119,0.859554,0.388153,-0.726807,2.053027,0.363583,1
T00120,-0.038715,0.2757,-0.594717,-0.373774,0.389994,1
T00121,-0.289664,0.048472,-0.635193,2.049108,-1.04235,1
T00122,-0.486693,0.493796,-1.066996,-0.792868,0.846015,1
T00123,0.721297,0.495628,-0.241817,1.388916,0.481191,1
T00124,0.612495,0.944289,-1.851241,-0.420172,-0.145241,1
T00125,0.430789,1.527426,1.293354,0.980714,-1.298838,0
T00126,1.429478,-0.401274,0.182312,0.823695,0.716141,0
T00127,0.003088,0.737707,-0.325018,0.400842,0.157552,1
T00128,-0.229434,-0.620914,-1.151101,0.797329,-0.539131,1
T00129,-0.745722,-0.642883,-0.095304,-1.524822,-0.456653,0
T00130,-1.193248,0.149349,-0.600077,-0.622654,-0.4819,1
T00131,0.25274,1.799822,0.653275,-1.200091,0.542575,1
T00132,-0.449114,1.099284,-1.870183,-0.664138,1.038434,1
T00133,-1.496999,-0.541052,0.437316,0.367297,-0.474156,1
T00134,-0.950022,-1.115863,-0.778213,0.786817,-0.761919,0
T00135,-0.630324,0.75107,0.568413,-0.617654,-1.16941,1
T00136,1.353989,-0.812555,-0.131784,-1.511279,0.828649,0
T00137,-1.643724,-0.442713,-0.750519,1.044434,1.240872,1
T00138,0.938392,0.508986,-0.113224,0.725721,-0.826909,1
T00139,2.29024,-0.414008,0.091581,-1.22009,0.462237,0
T00140,0.381702,0.103018,0.423849,-1.387281,-1.010069,0
T00141,-1.156736,0.197499,-1.34549,-2.183887,0.271296,1
T00142,-0.213764,-0.005346,0.053297,0.902041,-0.525253,0
T00143,-0.249798,-0.84459,0.870794,-1.308067,-0.647729,0
T00144,2.157295,1.019165,-1.08978,0.92158,0.651193,1
T00145,1.280502,-0.195911,1.033961,1.00645,-0.293799,0
T00146,-0.354259,-1.305327,-1.74169,0.398092,-0.624622,1
T00147,0.790181,-0.161325,0.803631,-1.503614,-0.269012,0
T00148,-1.260655,-0.638706,0.108655,0.814058,-0.589305,0
T00149,-0.404443,-0.281885,1.270179,-1.83063,-0.512331,0
T00150,-0.175143,-0.052861,0.423473,1.616682,-0.070603,0
T00151,-1.227036,-0.969363,-0.607116,-0.77321,-0.155566,1
T00152,0.362135,-1.773248,1.760047,-0.027063,-0.656738,0
T00153,-0.117928,0.387141,-1.15849,0.283925,1.892076,1
T00154,-0.932756,0.567813,-0.398939,-0.918685,1.884255,1
T00155,1.009085,1.167048,-1.205529,-1.492719,-0.489546,1
T00156,-0.52783,-0.18488,-1.654349,0.250614,1.065774,1
T00157,-0.736958,-0.683921,0.452761,-0.121272,0.928179,0
T00158,-0.584504,-0.174797,-0.733791,0.026007,0.804352,1
T00159,0.498337,-1.2246,-0.427658,-1.821289,0.694837,0
T00160,-1.915517,0.538564,0.388603,0.475826,-0.87613,1
T00161,-1.844619,1.147849,-0.955484,0.3452,-0.959225,1
T00162,0.849492,0.250638,-1.114741,0.580391,0.080258,1
T00163,1.857384,-1.697429,0.726435,-0.521352,-0.64028,0
T00164,-2.442216,1.868642,-0.594095,-1.569088,-0.474097,1
T00165,-1.485965,1.328963,-0.630311,-1.842493,-0.596679,1
T00166,-1.17357,1.251197,-0.389666,0.814827,0.359207,1
T00167,-0.475246,-0.456559,0.3247,1.071446,-1.576048,0
T00168,-1.057683,0.503483,-0.588251,-0.330028,-0.097547,1
T00169,0.513439,0.250568,1.138006,-1.006676,-1.074436,0
T00170,-0.724151,1.047805,0.967966,-0.908435,-0.437475,1
T00171,-0.191826,-1.6274,1.814634,-0.908865,1.083827,0
T00172,-0.628463,0.205601,-0.005113,-0.670562,-1.536204,1
T00173,-0.75806,-0.660357,1.559052,-0.052149,-0.647823,0
T00174,0.567048,-0.944879,0.063246,-0.283526,0.050834,0
T00175,0.62623,1.42969,-0.079332,0.216442,-0.373742,1
T00176,-0.120374,-0.347595,-0.60242,-0.415633,-1.380627,1
T00177,-0.157739,1.78624,0.178843,0.699406,0.117458,1
T00178,1.364234,0.010874,0.638507,-0.278975,0.557253,0
T00179,-0.250535,-1.991463,-1.113471,-0.108884,1.125974,0
T00180,1.78022,0.905649,1.253731,0.723578,-0.072698,0
T00181,0.992682,-0.532565,-1.118703,0.758698,0.069036,1
T00182,1.232331,0.104862,0.526147,-0.127662,2.583924,0
T00183,-1.000444,0.650662,0.233799,-0.840853,0.511285,1
T00184,-0.706832,0.817161,0.387264,0.601401,-0.729605,1
T00185,-1.199892,-1.217307,-0.332692,-0.908059,0.633184,1
T00186,0.45248,0.888515,-0.345833,-0.115929,1.128935,1
T00187,1.647836,0.826598,0.042545,0.124403,-0.196293,0
T00188,2.033807,0.608891,1.700278,0.901076,-2.587481,0
T00189,-3.103857,0.074857,-0.024496,0.670556,0.889925,1
T00190,2.249422,-0.3413,-0.421403,-0.116453,-0.185326,0
T00191,1.455707,0.097981,0.001924,-0.194184,1.057175,0
T00192,0.19602,-1.03137,0.063548,0.378171,0.344459,0
T00193,-0.333743,0.803976,2.636611,0.718766,0.942207,0
T00194,-2.048632,1.071509,-1.119554,0.040317,-0.782074,1
T00195,-0.83238,-0.136835,-0.463469,-0.834738,0.305568,1
T00196,0.602607,-1.062999,0.855951,1.057526,0.256977,0
T00197,1.265515,1.853301,-0.963581,0.190176,0.481326,1
T00198,-0.317505,-1.043263,-1.452675,1.028768,0.035431,1
T00199,-0.368058,0.890962,0.837734,0.527799,0.69606,1
T00200,-0.743328,-1.48413,0.914426,0.021732,-1.112468,0
T00201,0.827928,-0.638661,1.55652,1.824258,-0.970088,0
T00202,0.233504,-1.685467,0.809996,0.155743,0.203502,0
T00203,0.815463,0.918588,1.012208,0.295417,-0.409266,1
T00204,-2.103569,-0.142486,-0.038403,-0.024997,-0.857253,1
T00205,1.566833,-0.30792,1.111434,1.305903,-0.948967,1
T00206,-0.216432,-0.400266,0.54922,-0.324902,-0.851849,0
T00207,0.841843,1.353481,-1.374958,0.544833,0.348683,1
T00208,-1.125456,0.165005,0.129298,0.509068,1.357891,0
T00209,-0.659942,0.269454,0.133958,0.708269,0.379899,1
T00210,0.272005,-0.847036,-0.87269,-1.114624,-0.098502,1
T00211,-0.182112,-0.467001,0.275838,-0.399777,-1.670663,0
T00212,0.467155,2.360327,1.028418,-0.398567,0.861396,1
T00213,-0.159043,-1.457509,-0.115293,0.778848,0.72999,1
T00214,0.247749,0.341044,-1.305045,-2.353005,-0.584643,1
T00215,2.193773,-0.556674,-1.184218,-0.674936,-1.631274,0
T00216,-0.403406,-0.063507,0.777876,-0.125171,-0.007632,0
T00217,-1.541254,-2.449571,0.320217,0.53141,0.466282,0
T00218,-0.44946,1.057342,0.612447,-0.090492,1.598361,1
T00219,0.629509,0.055718,0.467023,-1.830565,-0.039346,1
T00220,-0.409115,-0.402854,1.218381,0.121561,0.504767,0
T00221,-0.428157,-0.643856,-0.66367,0.881286,0.372116,0
T00222,-1.856731,0.554395,-0.969179,1.241032,0.792472,1
T00223,-0.863022,-0.480954,-0.142866,0.192127,0.279809,1
T00224,-0.300863,0.708309,-1.121131,-0.624213,0.035067,1
T00225,0.158858,-0.472803,0.30117,-2.885662,0.552873,0
T00226,1.447286,-1.140245,0.665401,-0.229262,0.07371,0
T00227,-0.477724,-0.088092,-0.424217,-0.490535,-0.74143,1
T00228,-0.536228,-0.598597,0.17439,-1.518346,-0.455272,0
