row_id,account_id,event_time,amount,category
R00560,A0089,1772843220000,12.13,grocery
R00561,A0112,1772843640000,9.81,other
R00562,A0079,1772845320000,31.22,grocery
R00563,A0006,1772845380000,5.95,rent
R00564,A0005,1772845860000,13.59,other
R00565,A0057,1772847060000,40.23,grocery
R00566,A0052,1772847840000,24.87,other
R00567,A0018,1772848080000,59.48,other
R00568,A0149,1772849460000,8.87,travel
R00569,A0077,1772851200000,18.86,grocery
R00570,A0008,1772852700000,28.45,other
R00571,A0002,1772853660000,18.15,rent
R00572,A0125,1772854740000,12.32,rent
R00573,A0009,1772856000000,2.9,rent
R00574,A0050,1772856360000,4.37,salary
R00575,A0029,1772857980000,11.28,salary
R00576,A0070,1772859000000,11.94,other
R00577,A0102,1772859060000,9.32,grocery
R00578,A0030,1772859600000,16.31,rent
R00579,A0052,1772861880000,16.22,rent
R00580,A0062,1772862300000,48.48,rent
R00581,A0029,1772862900000,13.84,rent
R00582,A0093,1772864940000,48.56,grocery
R00583,A0085,1772865060000,32.06,rent
R00584,A0127,1772865120000,6.71,grocery
R00585,A0122,1772867040000,32.76,grocery
R00586,A0103,1772867820000,123.93,grocery
R00587,A0111,1772868780000,15.32,travel
R00588,A0114,1772868900000,66.63,salary
R00589,A0059,1772869260000,12.71,rent
R00590,A0083,1772870760000,40.95,travel
R00591,A0067,1772870880000,4.1,travel
R00592,A0107,1772871660000,24.18,travel
R00593,A0134,1772871720000,18.95,grocery
R00594,A0107,1772873100000,15.11,grocery
R00595,A0011,1772873820000,22.36,grocery
R00596,A0048,1772874600000,41.59,travel
R00597,A0037,1772874660000,78.79,travel
R00598,A0013,1772879040000,12.5,rent
R00599,A0145,1772882220000,5.06,other
R00600,A0055,1772883840000,17.33,grocery
R00601,A0143,1772884140000,37.01,rent
R00602,A0113,1772884380000,35.99,grocery
R00603,A0046,1772888280000,4.55,travel
R00604,A0061,1772889240000,20.74,salary
R00605,A0117,1772890440000,16.57,grocery
R00606,A0074,1772890860000,130.19,travel
R00607,A0132,1772892420000,19.51,salary
R00608,A0000,1772892480000,18.0,travel
R00609,A0117,1772892720000,4.36,rent
R00610,A0122,1772893140000,29.25,grocery
R00611,A0122,1772893920000,20.64,salary
R00612,A0129,1772894460000,61.07,travel
R00613,A0066,1772896500000,8.01,salary
R00614,A0039,1772897040000,48.08,rent
R00615,A0045,1772897100000,12.57,travel
R00616,A0080,1772897400000,55.95,salary
R00617,A0074,1772898120000,5.98,travel
R00618,A0009,1772898540000,133.35,travel
R00619,A0025,1772901660000,15.24,rent
R00620,A0055,1772902320000,11.21,rent
R00621,A0114,1772903340000,22.62,salary
R00622,A0062,1772903580000,8.85,rent
R00623,A0027,1772903880000,38.71,travel
R00624,A0126,1772904900000,28.43,salary
R00625,A0098,1772905680000,132.96,travel
R00626,A0113,1772907360000,34.76,rent
R00627,A0051,1772908620000,10.56,other
R00628,A0000,1772908860000,71.14,travel
R00629,A0076,1772909040000,20.21,salary
R00630,A0045,1772910360000,5.91,rent
R00631,A0012,1772910840000,67.43,rent
R00632,A0092,1772911140000,78.75,travel
R00633,A0134,1772911860000,11.44,rent
R00634,A0002,1772912100000,11.88,other
R00635,A0079,1772912520000,14.51,grocery
R00636,A0035,1772914620000,28.8,travel
R00637,A0007,1772915520000,29.86,travel
R00638,A0133,1772915640000,7.07,other
R00639,A0062,1772915700000,126.72,salary
R00640,A0025,1772916240000,42.18,grocery
R00641,A0003,1772916420000,4.46,other
R00642,A0124,1772918460000,43.43,grocery
R00643,A0055,1772918700000,30.59,other
R00644,A0034,1772918880000,28.2,other
R00645,A0113,1772919960000,130.03,rent
R00646,A0026,1772920500000,24.21,salary
R00647,A0006,1772920980000,20.5,rent
R00648,A0023,1772921160000,90.55,grocery
R00649,A0100,1772924340000,13.26,other
