account_id,label_time,churned
A0000,1772877674000,1
A0001,1772870423000,0
A0002,1772548688000,0
A0003,1772594256000,1
A0004,1772976596000,1
A0005,1772512860000,1
A0006,1772938468000,1
A0007,1772013210000,1
A0008,1773611043000,1
A0009,1772841952000,0
A0010,1773149792000,1
A0011,1773562131000,1
A0012,1772298120000,0
A0013,1772079870000,1
A0014,1773083164000,0
A0015,1772567627000,1
A0016,1772530303000,1
A0017,1773219967000,1
A0018,1772663917000,0
A0019,1772003707000,1
A0020,1772456398000,0
A0021,1773199133000,0
A0022,1772721740000,0
A0023,1772329585000,0
A0024,1772524284000,0
A0025,1773598368000,1
A0026,1772344761000,0
A0027,1773154225000,1
A0028,1773456281000,0
A0029,1772048193000,0
A0030,1772589110000,1
A0031,1772116300000,1
A0032,1773203683000,0
A0033,1773661871000,0
A0034,1772994198000,0
A0035,1772979440000,1
A0036,1773622909000,0
A0037,1772061319000,0
A0038,1772579759000,0
A0039,1772533516000,0
A0040,1772272041000,1
A0041,1772877750000,1
A0042,1772048366000,1
A0043,1773355222000,1
A0044,1772091608000,1
A0045,1773671211000,1
A0046,1772923679000,0
A0047,1772740241000,1
A0048,1773623047000,0
A0049,1772418977000,1
A0050,1772234362000,0
A0051,1773492305000,1
A0052,1773361199000,0
A0053,1772599740000,0
A0054,1772629039000,0
A0055,1773449052000,1
A0056,1772021504000,0
A0057,1772435445000,0
A0058,1772255522000,0
A0059,1772818974000,1
A0060,1773525234000,1
A0061,1773701932000,1
A0062,1772825151000,0
A0063,1772277665000,1
A0064,1772800985000,0
A0065,1772714027000,0
A0066,1772978949000,0
A0067,1772122702000,0
A0068,1773211017000,1
A0069,1773253887000,0
A0070,1773619520000,1
A0071,1773579808000,1
A0072,1773469814000,1
A0073,1773416260000,0
A0074,1773599436000,0
A0075,1773474667000,1
A0076,1773264472000,0
A0077,1772186228000,1
A0078,1772897964000,0
A0079,1773040947000,0
A0080,1772136713000,0
A0081,1772327741000,0
A0082,1773651630000,0
A0083,1773587510000,1
A0084,1773492358000,1
A0085,1771990539000,1
A0086,1772618184000,1
A0087,1773023933000,1
A0088,1772665359000,0
A0089,1772678156000,1
A0090,1773035785000,1
A0091,1772032468000,1
A0092,1772794034000,0
A0093,1773499867000,0
A0094,1773629374000,0
A0095,1772393883000,1
A0096,1773626725000,0
A0097,1773052525000,0
A0098,1772805407000,0
A0099,1772620441000,1
