account_id,event_time,credit_score,tier
A0000,1767255706000,515,gold
A0001,1767236907000,748,gold
A0001,1774312504000,769,silver
A0002,1767229237000,799,bronze
A0003,1767300635000,775,silver
A0003,1773090252000,846,bronze
A0004,1767296729000,518,bronze
A0004,1768069767000,440,silver
A0005,1767283162000,611,silver
A0006,1767265462000,683,gold
A0006,1769373434000,656,bronze
A0007,1767246363000,412,gold
A0007,1773957246000,490,silver
A0008,1767240289000,454,bronze
A0008,1769683638000,491,silver
A0009,1767281207000,697,silver
A0009,1769994059000,747,gold
A0010,1767260410000,774,bronze
A0010,1768485037000,783,gold
A0011,1767291667000,448,bronze
A0012,1767289300000,679,silver
A0013,1767231735000,438,gold
A0013,1771021070000,434,gold
A0014,1767300515000,541,gold
A0014,1773857627000,614,bronze
A0015,1767254595000,771,bronze
A0016,1767290313000,716,gold
A0016,1774817385000,652,gold
A0017,1767231531000,585,gold
A0018,1767269891000,577,gold
A0018,1772833190000,506,bronze
A0019,1767229832000,636,bronze
A0019,1770093760000,647,gold
A0020,1767310918000,567,gold
A0020,1774900484000,647,bronze
A0021,1767301059000,522,bronze
A0022,1767304427000,489,bronze
A0022,1768882974000,499,gold
A0023,1767272064000,666,silver
A0023,1773702192000,710,bronze
A0024,1767249129000,724,gold
A0024,1774979541000,789,silver
A0025,1767309971000,605,gold
A0026,1767243153000,514,bronze
A0026,1774859872000,567,bronze
A0027,1767308112000,664,gold
A0027,1771982222000,622,bronze
A0028,1767281339000,802,bronze
A0028,1773879487000,850,bronze
A0029,1767283684000,347,gold
A0030,1767310781000,500,bronze
A0030,1773190106000,439,bronze
A0031,1767276909000,640,bronze
A0031,1772861868000,616,bronze
A0032,1767262700000,743,silver
A0032,1774340691000,778,gold
A0033,1767288011000,422,gold
A0033,1774203310000,459,bronze
A0034,1767287465000,401,gold
A0035,1767230545000,745,silver
A0035,1768641665000,720,bronze
A0036,1767307529000,442,silver
A0037,1767285071000,775,gold
A0038,1767256524000,354,bronze
A0039,1767273407000,332,silver
A0039,1768391616000,404,bronze
A0040,1767245817000,558,silver
A0040,1771130943000,503,bronze
A0041,1767242436000,540,silver
A0041,1770456881000,469,silver
A0042,1767298404000,833,gold
A0043,1767298542000,743,silver
A0043,1771534866000,747,gold
A0044,1767272670000,739,silver
A0045,1767244297000,591,bronze
A0045,1774313988000,636,bronze
A0046,1767305935000,512,silver
A0046,1768174476000,528,gold
A0047,1767255779000,832,silver
A0047,1773303401000,850,gold
A0048,1767283938000,741,silver
A0048,1773112715000,706,gold
A0049,1767279979000,613,silver
A0049,1773404053000,586,gold
A0050,1767297377000,350,gold
A0050,1771184770000,307,gold
A0051,1767275065000,526,silver
A0052,1767311481000,745,bronze
A0053,1767245938000,846,gold
A0054,1767302379000,634,silver
A0054,1770044789000,592,gold
A0055,1767279894000,338,gold
A0055,1774269445000,330,bronze
A0056,1767261906000,825,bronze
A0057,1767298768000,529,bronze
A0058,1767303972000,669,gold
A0059,1767254207000,494,gold
A0059,1768611729000,535,gold
A0060,1767234044000,823,silver
A0060,1768587525000,807,silver
A0061,1767251158000,649,gold
A0061,1770652859000,580,bronze
A0062,1767256737000,300,gold
A0063,1767291053000,734,gold
A0064,1767303822000,745,silver
A0064,1772547241000,774,gold
A0065,1767259035000,428,gold
A0065,1773860524000,506,gold
A0066,1767234872000,413,gold
A0066,1774987096000,358,bronze
A0067,1767286204000,822,bronze
A0067,1769529747000,850,silver
A0068,1767242815000,700,bronze
A0068,1772855274000,693,silver
A0069,1767293106000,799,silver
A0069,1770086991000,850,gold
A0070,1767280630000,641,gold
A0071,1767298465000,814,silver
A0071,1774606376000,831,bronze
A0072,1767306519000,386,silver
A0073,1767311210000,502,silver
A0073,1774575813000,481,bronze
A0074,1767289220000,698,bronze
A0074,1774532362000,662,silver
A0075,1767308268000,670,silver
A0075,1771251970000,712,bronze
A0076,1767252767000,495,gold
A0077,1767302140000,558,bronze
A0077,1772277014000,561,gold
A0078,1767232624000,502,gold
A0078,1772297760000,504,silver
A0079,1767254291000,564,gold
A0080,1767298750000,380,gold
A0081,1767234935000,627,bronze
A0081,1770861680000,630,silver
A0082,1767300764000,676,gold
A0082,1773828612000,648,bronze
A0083,1767232686000,805,silver
A0083,1768285554000,815,silver
A0084,1767242732000,381,silver
A0085,1767300010000,844,bronze
A0085,1768485432000,776,silver
A0086,1767307788000,387,silver
A0086,1774212117000,356,silver
A0087,1767232029000,303,gold
A0088,1767247969000,611,bronze
A0088,1773983753000,671,bronze
A0089,1767246866000,322,bronze
A0089,1773128101000,321,gold
A0090,1767298134000,586,silver
A0090,1772069519000,512,bronze
A0091,1767287348000,377,silver
A0091,1770585930000,382,bronze
A0092,1767287991000,631,silver
A0092,1768039489000,617,silver
A0093,1767274273000,570,gold
A0093,1774038380000,626,bronze
A0094,1767270565000,792,gold
A0095,1767252168000,735,gold
A0095,1773056073000,703,gold
A0096,1767267768000,376,silver
A0096,1771658985000,454,silver
A0097,1767285290000,750,bronze
A0097,1773271428000,756,bronze
A0098,1767236894000,812,gold
A0098,1767843205000,845,silver
A0099,1767286780000,584,silver
A0099,1772181844000,591,bronze
